player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
14,"Kim, Michael",KIM_MICHAEL,confirmed,TBD,TBD,22,-0.302,0.218,0.01,0.55,-0.2,0.36,0.07,0.4,0.22,111,1.0,0.03,-4.0,-3.1,-0.07,-0.05,0.0,0.0,-0.03,6.9,11.7,1.9,1.3,1.9,6.1,5.9,3.4,deep,high,False,,False
15,"Mccarthy, Denny",MCCARTHY_DENNY,confirmed,TBD,TBD,24,1.211,0.73,0.035,0.51,-0.33,0.2,0.07,0.61,-0.06,86,0.0,0.0,-8.4,-1.1,-0.05,-0.06,0.0,0.02,-0.01,6.9,11.7,2.0,1.4,1.8,6.1,6.1,3.5,deep,high,False,,False
8,"Meissner, Mac",MEISSNER_MAC,confirmed,TBD,TBD,6,0.765,0.812,0.01,0.72,0.07,0.3,0.25,0.14,0.62,92,0.0,0.0,2.2,-1.3,-0.06,-0.04,0.0,0.0,-0.02,6.9,11.7,1.9,1.3,1.9,6.1,5.9,3.4,deep,high,False,,False
16,"Homa, Max",HOMA_MAX,confirmed,TBD,TBD,10,0.924,1.69,0.034,0.49,0.17,0.19,-0.08,0.3,0.28,84,0.0,0.0,3.1,-0.4,-0.05,-0.02,0.0,-0.01,-0.02,6.9,11.8,2.1,1.3,1.9,6.1,5.8,3.4,deep,high,False,,False
34,"Yellamaraju, Sudarshan",YELLAMARAJU_SUDARSHAN,confirmed,TBD,TBD,0,,,,0.18,0.48,0.21,-0.05,0.27,0.63,107,0.0,0.0,9.1,1.8,-0.01,-0.01,0.0,-0.02,0.01,6.9,11.8,2.0,1.3,1.9,6.2,5.8,3.4,deep,high,True,B,False
58,"Finau, Tony",FINAU_TONY,confirmed,TBD,TBD,2,-0.292,-1.117,-0.004,0.01,-0.17,-0.1,0.31,0.01,0.04,80,0.0,0.0,7.1,-6.2,-0.09,-0.02,0.0,-0.02,-0.05,6.8,11.7,2.0,1.3,2.0,6.2,5.7,3.3,deep,high,False,,False
7,"Spieth, Jordan",SPIETH_JORDAN,confirmed,TBD,TBD,20,1.82,0.753,0.03,0.77,0.27,0.23,0.15,0.12,0.65,80,0.0,0.0,6.6,-1.6,-0.04,-0.02,0.0,-0.01,-0.01,6.9,11.7,1.9,1.2,1.9,6.2,5.8,3.4,deep,high,False,,False
28,"Greyserman, Max",GREYSERMAN_MAX,confirmed,TBD,TBD,4,1.068,1.22,0.01,0.33,-0.11,0.0,0.09,0.15,-0.03,78,0.0,0.0,7.5,-5.4,-0.08,-0.02,0.0,-0.02,-0.05,6.9,11.8,2.0,1.3,2.0,6.2,5.7,3.3,deep,high,False,,False
24,"Pendrith, Taylor",PENDRITH_TAYLOR,confirmed,TBD,TBD,0,,,,0.36,0.47,0.03,0.03,-0.13,0.54,81,0.0,0.0,9.9,-2.1,-0.04,0.0,0.0,-0.02,-0.02,6.9,11.8,2.0,1.3,2.0,6.2,5.7,3.3,deep,high,True,B,False
20,"Brennan, Michael",BRENNAN_MICHAEL,confirmed,TBD,TBD,0,,,,0.4,0.93,0.01,-0.37,-0.22,0.56,109,4.0,0.13,17.9,1.6,-0.01,0.03,0.0,-0.04,0.0,7.0,12.0,2.0,1.2,2.0,6.2,5.5,3.3,deep,high,True,B,False
12,"Mitchell, Keith",MITCHELL_KEITH,confirmed,TBD,TBD,18,0.657,0.313,0.011,0.66,0.63,0.22,-0.08,-0.11,0.76,100,0.0,0.0,8.8,-1.7,-0.03,0.0,0.0,-0.02,-0.01,6.9,11.9,1.9,1.2,2.0,6.2,5.7,3.4,deep,high,False,,False
30,"Putnam, Andrew",PUTNAM_ANDREW,confirmed,TBD,TBD,14,-1.548,-1.457,-0.041,0.28,-0.58,0.22,0.49,0.31,0.13,97,0.0,0.0,-21.6,10.5,0.1,-0.06,0.0,0.05,0.11,6.8,11.5,2.0,1.4,1.5,5.9,6.4,3.8,deep,high,False,,False
84,"Peterson, Paul",PETERSON_PAUL,confirmed,TBD,TBD,2,0.159,0.88,0.004,-0.41,-0.74,0.06,0.13,0.22,-0.55,82,0.0,0.0,-22.4,8.7,0.13,-0.01,0.0,0.05,0.09,6.9,11.7,2.1,1.5,1.5,5.9,6.5,3.8,deep,high,False,,False
49,"Eckroat, Austin",ECKROAT_AUSTIN,confirmed,TBD,TBD,4,1.87,1.724,0.014,0.06,0.02,0.43,-0.35,0.08,0.11,81,0.0,0.0,-1.7,1.2,0.03,0.02,0.0,0.0,0.01,7.0,12.0,2.0,1.3,1.8,6.1,5.9,3.5,deep,high,False,,False
