"POS","Player","TOT","1","2","3","4","5","6","7","8","9","OUT","10","11","12","13","14","15","16","17","18","IN","TOTAL"
"T53","S. Jamieson","-1","5","5","3","3","3","5","5","4","4","37","4","4","4","3","3","3","4","3","4","32","69"
"T53","L. Canter","-1","5","4","2","4","3","4","5","5","3","35","4","4","5","3","3","3","4","4","4","34","69"
"T53","G. Forrest","-1","4","5","4","4","3","4","5","4","3","36","4","4","4","4","4","3","3","3","4","33","69"
"T53","M. Siem","-1","5","4","2","3","3","4","6","4","3","34","5","3","5","3","4","3","4","3","5","35","69"
"T53","X. Schauffele","-1","5","5","3","3","2","4","5","3","3","33","4","5","4","4","4","3","4","4","4","36","69"
"T53","A. Scott","-1","5","4","3","3","3","4","5","4","4","35","4","4","4","4","3","3","4","3","5","34","69"
"T53","B. Snedeker","-1","4","3","4","4","3","3","5","5","3","34","4","5","5","4","3","3","4","3","4","35","69"
"T53","V. Perez","-1","5","4","3","4","4","3","5","4","3","35","3","5","5","3","3","3","4","4","4","34","69"
"T53","A. Noren","-1","5","4","3","5","3","4","5","4","4","37","5","4","5","3","3","3","4","2","3","32","69"
"T53","O. Strydom","-1","5","3","3","4","2","3","5","4","4","33","4","5","5","4","3","3","4","4","4","36","69"
"T53","A. Meronk","-1","5","4","2","4","3","4","4","5","3","34","4","4","5","4","4","3","4","3","4","35","69"
"T53","N. Elvira","-1","4","5","2","3","3","4","5","4","3","33","5","5","5","4","3","3","4","3","4","36","69"
"T53","N. Von Dellingshausen","-1","5","4","2","4","3","4","5","4","3","34","3","5","4","4","4","3","4","3","5","35","69"
"T53","A. Rozner","-1","3","3","3","4","3","5","4","6","3","34","3","4","5","6","3","2","4","3","5","35","69"
"T53","M. Greyserman","-1","5","4","2","3","3","4","5","3","4","33","4","4","5","5","4","3","4","3","4","36","69"
"T53","J. Thomas","-1","4","4","3","3","3","4","5","4","4","34","3","5","5","4","3","3","4","4","4","35","69"
"T53","J. Kruyswijk","-1","4","4","3","3","3","4","4","5","4","34","4","4","5","4","3","3","4","3","5","35","69"
"T72","T. Moore","E","4","4","3","4","3","4","5","4","3","34","5","4","4","4","4","3","4","4","4","36","70"
"T72","M. Wallace","E","5","4","3","4","2","4","5","4","3","34","4","4","5","4","4","3","5","3","4","36","70"
"T72","M. Penge","E","4","5","3","4","2","4","4","4","3","33","4","5","5","4","4","3","5","3","4","37","70"
"T72","J. Svensson","E","6","5","3","4","4","4","5","4","3","38","3","4","5","4","4","3","3","3","3","32","70"
"T72","E. Ferguson","E","5","4","3","3","3","4","4","5","3","34","4","5","5","4","4","3","3","4","4","36","70"
"T72","A. Potgieter","E","5","5","3","4","3","3","5","4","4","36","5","4","4","4","3","2","4","4","4","34","70"
"T72","T. Olesen","E","5","4","2","4","3","5","4","4","4","35","4","4","5","4","4","4","3","3","4","35","70"
"T72","E. Chacarra","E","4","5","2","3","3","4","4","6","4","35","4","4","5","4","4","2","5","3","4","35","70"
"T72","T. Hatton","E","5","4","2","4","2","4","4","3","4","32","7","4","4","4","3","4","4","3","5","38","70"
"T72","A. Eckroat","E","4","4","3","4","3","5","5","4","3","35","4","4","6","4","4","3","4","2","4","35","70"
"T72","D. Frittelli","E","3","4","4","4","2","4","5","4","3","33","4","6","4","5","4","3","4","3","4","37","70"
"T72","D. Van Driel","E","6","4","3","3","2","5","5","4","3","35","4","3","5","4","4","3","4","3","5","35","70"
"T72","R. Castillo","E","4","5","3","5","3","5","5","3","3","36","3","4","5","4","4","3","4","3","4","34","70"
"T72","C. Davis","E","5","4","4","4","3","4","5","4","3","36","3","4","4","5","4","3","5","2","4","34","70"
"T72","C. Kirk","E","4","5","3","4","3","5","5","4","4","37","3","4","4","3","3","4","5","3","4","33","70"
"T72","H. Du Plessis","E","4","4","2","4","4","4","5","4","3","34","4","4","5","4","4","3","4","3","5","36","70"
"T72","N. Taylor","E","4","5","3","4","3","4","5","4","2","34","4","5","4","5","4","3","3","3","5","36","70"
"T72","S. Theegala","E","5","4","3","5","3","5","5","3","3","36","4","4","4","4","4","2","4","3","5","34","70"
"T72","B. Harman","E","5","4","2","4","2","4","6","4","3","34","5","5","5","4","3","3","5","3","3","36","70"
"T72","M. Pavon","E","4","5","3","3","3","4","5","4","4","35","3","4","5","3","3","3","6","3","5","35","70"
"T72","S. Straka","E","5","4","3","4","3","4","5","4","3","35","4","4","4","6","3","3","3","4","4","35","70"
"T72","S.W. Kim","E","5","6","3","4","3","3","4","4","4","36","4","4","4","3","4","3","5","3","4","34","70"
"T72","R. Mansell","E","4","4","3","3","3","3","5","5","3","33","4","4","5","5","4","3","5","2","5","37","70"
"T72","J. Lagergren","E","5","4","3","4","3","4","5","4","3","35","5","5","4","4","3","3","3","3","5","35","70"
"T72","D. Naidoo","E","6","5","3","3","2","4","4","4","3","34","4","4","5","5","4","3","4","4","3","36","70"
"T72","M. Hubbard","E","5","4","3","4","2","3","5","4","3","33","4","4","5","4","5","3","4","4","4","37","70"
"T72","K. Vilips","E","4","4","3","4","2","5","5","4","3","34","4","5","5","4","3","3","4","3","5","36","70"
"T99","M. Meissner","+1","5","4","3","4","4","4","4","4","3","35","4","4","5","5","3","3","4","3","5","36","71"
"T99","R. Fox","+1","4","5","2","4","3","3","7","4","2","34","5","5","5","4","4","2","4","4","4","37","71"
"T99","P. Larrazabal","+1","6","4","4","3","3","4","5","4","3","36","3","4","5","5","4","3","3","3","5","35","71"
"T99","K. Reitan","+1","5","4","4","3","3","3","5","5","3","35","4","4","5","5","3","3","4","3","5","36","71"
"T99","T. Lawrence","+1","5","4","3","4","3","4","5","4","3","35","4","4","5","4","4","3","4","3","5","36","71"
"T99","S. Lowry","+1","5","4","3","3","3","3","5","5","5","36","4","5","5","4","4","3","3","3","4","35","71"
"T99","A. Rai","+1","5","3","3","3","3","4","6","4","3","34","4","4","6","4","5","3","4","3","4","37","71"
"T99","Y. Premlall","+1","5","4","3","3","3","4","5","4","3","34","4","4","5","5","4","3","4","3","5","37","71"
"T99","Y. Katsuragawa","+1","5","4","3","4","4","3","5","4","2","34","4","5","6","4","5","2","4","3","4","37","71"
"T99","S. Choi","+1","4","4","3","4","3","3","5","5","4","35","4","5","4","5","4","3","4","3","4","36","71"
"T99","Pi. Coody","+1","4","4","3","4","4","5","5","4","3","36","4","4","4","4","4","3","4","3","5","35","71"
"T99","D. Ghim","+1","6","4","3","4","4","3","4","5","4","37","4","3","4","4","4","2","5","3","5","34","71"
"T99","D. Bradbury","+1","3","4","2","3","4","4","6","4","3","33","6","4","4","6","3","3","5","3","4","38","71"
"T99","N. Nørgaard","+1","5","4","3","4","3","4","5","4","3","35","3","3","6","5","4","3","4","3","5","36","71"
"T99","J. Highsmith","+1","5","4","4","4","4","4","5","4","3","37","4","4","4","4","3","3","5","3","4","34","71"
"T99","K. Kaneko","+1","5","5","3","3","3","5","4","4","3","35","5","4","4","4","4","3","5","3","4","36","71"
"T99","H. English","+1","5","4","3","4","3","4","4","4","3","34","4","4","5","4","4","3","4","3","6","37","71"
"T99","P. Waring","+1","4","4","4","4","3","4","4","5","3","35","4","4","4","4","4","3","5","4","4","36","71"
"T99","H. Hall","+1","6","4","3","3","3","5","4","3","3","34","5","5","6","4","3","3","4","3","4","37","71"
"T99","E. Cole","+1","4","5","3","4","4","4","6","4","2","36","4","5","5","4","3","3","4","3","4","35","71"
"T99","J. Guerrier","+1","4","5","3","3","3","4","5","3","3","33","4","5","5","5","4","3","4","3","5","38","71"
"T99","E. van Rooyen","+1","4","4","4","4","4","4","4","4","3","35","3","4","4","5","4","3","4","3","6","36","71"
"T99","A. Fitzpatrick","+1","6","4","3","4","2","4","5","4","4","36","4","5","5","4","3","3","4","3","4","35","71"
"T99","A. Putnam","+1","5","4","3","4","3","4","5","5","2","35","3","4","5","4","4","3","5","3","5","36","71"
"T99","R. Hoshino","+1","5","4","3","4","3","4","4","5","3","35","4","4","4","4","4","4","4","4","4","36","71"
"T124","R. Johnston","+2","4","5","3","4","3","4","5","4","4","36","5","5","5","4","4","2","4","3","4","36","72"
"T124","J. Lee","+2","6","4","3","3","3","4","5","4","4","36","4","4","6","4","4","2","4","4","4","36","72"
"T124","A. Saddier","+2","4","4","3","4","3","4","5","5","3","35","5","5","4","4","4","3","4","3","5","37","72"
"T124","B. Campbell","+2","6","6","4","4","2","3","5","4","2","36","4","4","5","5","3","3","4","4","4","36","72"
"T124","A. Smalley","+2","5","4","3","4","3","4","5","4","3","35","4","4","5","4","4","3","5","3","5","37","72"
"T124","A. Del Rey","+2","6","4","3","3","4","4","5","3","3","35","4","5","4","4","4","4","5","3","4","37","72"
"T124","R. Sterne","+2","4","5","3","3","4","5","4","6","3","37","3","5","4","5","4","3","3","3","5","35","72"
"T124","J. Knapp","+2","5","4","3","4","2","5","5","4","4","36","4","4","4","4","4","4","5","3","4","36","72"
"T124","S. Im","+2","5","5","3","3","3","4","5","4","3","35","5","4","5","4","4","4","4","3","4","37","72"
"T124","J. Gumberg","+2","4","4","2","4","3","5","5","5","3","35","5","5","5","4","4","3","3","4","4","37","72"
"T124","T. Ok","+2","4","5","3","4","3","5","3","4","4","35","4","5","5","4","4","2","5","3","5","37","72"
"T124","M. Manassero","+2","5","4","3","4","3","5","4","4","3","35","5","4","5","4","4","4","4","2","5","37","72"
"T124","D. Rodrigues","+2","5","3","3","4","3","5","4","4","4","35","4","4","5","4","4","4","4","3","5","37","72"
"T137","F. LaCroix","+3","5","4","3","4","3","4","5","4","4","36","4","4","6","4","4","3","4","3","5","37","73"
"T137","M. Couvra","+3","5","5","3","4","2","4","5","5","4","37","3","4","5","4","4","4","4","3","5","36","73"
"T137","A. Wu","+3","8","4","2","4","3","5","4","4","3","37","5","4","4","3","4","3","4","4","5","36","73"
"T137","B. Cauley","+3","5","4","3","5","3","4","4","4","4","36","4","4","5","4","4","2","5","4","5","37","73"
"T137","D. Ravetto","+3","4","4","3","4","4","4","5","5","3","36","4","4","5","5","3","4","5","3","4","37","73"
"T137","J. Veerman","+3","5","4","3","5","3","5","5","4","3","37","4","4","5","5","3","4","4","3","4","36","73"
