player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scott, Adam",2,8,0,0,0,0,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.585,11,-0.839,-0.483,1.233,3.136,4.918,2.410,1.585,11,-0.839,-0.483,1.233,3.136,4.918,2.410,22.013,3,11.827,19.358,23.919,25.605,28.828,6.578,0.002,21,-0.084,-0.065,0.012,0.062,0.083,0.070
"Fowler, Rickie",1,4,0,0,0,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.552,12,-0.165,0.636,1.751,2.666,2.992,1.558,1.552,12,-0.165,0.636,1.751,2.666,2.992,1.558,9.632,18,3.275,4.529,10.041,15.145,15.418,6.555,-0.008,23,-0.115,-0.064,-0.028,0.028,0.128,0.117
"Berger, Daniel",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.302,13,-1.708,-0.834,1.583,3.719,3.920,2.951,1.302,13,-1.708,-0.834,1.583,3.719,3.920,2.951,1.382,32,-14.187,-9.141,2.246,12.770,15.743,15.114,0.153,2,-0.107,-0.024,0.162,0.340,0.400,0.254
"Day, Jason",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.302,13,-1.693,-0.756,1.303,3.360,4.297,2.967,1.302,13,-1.693,-0.756,1.303,3.360,4.297,2.967,4.632,24,-9.104,-3.362,1.041,9.035,23.396,15.956,-0.115,38,-0.201,-0.190,-0.135,-0.060,0.000,0.101
"Fleetwood, Tommy",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.302,13,-3.330,-0.531,2.083,3.916,4.842,4.002,1.302,13,-3.330,-0.531,2.083,3.916,4.842,4.002,-8.618,39,-22.857,-16.230,-7.959,-0.346,4.700,13.251,0.064,7,0.022,0.047,0.069,0.086,0.098,0.037
"Canter, Laurie",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.052,16,-1.803,0.860,2.022,2.213,2.550,2.366,1.052,16,-1.803,0.860,2.022,2.213,2.550,2.366,13.632,10,6.974,8.748,13.019,17.904,21.150,6.964,0.117,4,0.001,0.062,0.129,0.185,0.216,0.104
"Henley, Russell",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.052,17,-4.353,0.110,2.803,3.744,4.007,4.441,1.052,17,-4.353,0.110,2.803,3.744,4.007,4.441,-5.243,37,-21.332,-6.605,0.041,1.404,3.450,13.316,0.046,12,-0.038,-0.021,0.036,0.103,0.143,0.090
"Uihlein, Peter",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.802,18,0.054,0.391,0.583,0.994,1.857,0.896,0.802,18,0.054,0.391,0.583,0.994,1.857,0.896,8.632,20,-6.000,2.154,11.041,17.520,19.893,12.785,-0.043,26,-0.193,-0.147,-0.049,0.054,0.114,0.151
"Rahm, Jon",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.802,18,-0.388,-0.063,0.354,1.219,2.620,1.514,0.802,18,-0.388,-0.063,0.354,1.219,2.620,1.514,16.757,7,-0.891,5.421,18.269,29.605,32.290,16.789,0.028,13,-0.105,-0.071,0.036,0.135,0.149,0.133
"Fitzpatrick, Matt",1,4,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.802,18,-1.850,0.213,1.302,1.891,2.754,2.261,0.802,18,-1.850,0.213,1.302,1.891,2.754,2.261,-9.618,40,-24.009,-10.247,-4.276,-3.647,-2.705,11.920,0.064,7,-0.059,-0.047,0.058,0.169,0.194,0.135
"Rose, Justin",2,8,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.085,21,-3.880,0.416,0.803,1.414,1.562,2.518,0.085,21,-3.880,0.416,0.803,1.414,1.562,2.518,2.450,28,-11.537,-3.985,3.925,10.554,13.548,10.025,-0.060,30,-0.172,-0.141,-0.108,0.012,0.119,0.118
