rank,player_name,tier,vts_final,nsi,vfs,vhn,form,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,brie_score,tvl_score,vfr_score,hew_score,app_150_200,ch_rounds,ch_vs_exp,ap_flags,form_class,badges,best_bet
24,Robert MacIntyre,2,66.69,90.97,50.68,49.9,50.72,1.21,5.79,11.01,20.39,79.7,0.055,0.469,0.186,0.653,0.055,0.469,0.186,0.71,-0.018,0,0,1,NEUTRAL,Elite NSI; Debut Watch; Fragile Favorite,Make Cut
25,Joaquin Niemann,2,66.35,70.32,71.85,49.6,61.52,1.18,5.68,10.84,20.14,79.2,0.422,0.699,0.037,-0.113,0.422,0.699,0.037,1.153,0.059,0,0,0,WARM,Iron Edge; Form Spike; Debut Watch,Make Cut
26,Jacob Bridgeman,2,65.85,77.42,65.64,49.96,51.32,1.14,5.52,10.58,19.77,78.3,0.306,0.18,0.07,0.449,0.306,0.18,0.07,0.556,0.03,0,0,0,NEUTRAL,Iron Edge; Debut Watch,Make Cut
27,Shane Lowry,2,65.71,81.29,65.09,41.34,49.76,1.13,5.47,10.51,19.67,78.1,0.878,0.147,-0.027,0.124,0.878,0.147,-0.027,0.997,0.029,2,-2.564,0,NEUTRAL,Iron Edge,Make Cut
28,Rickie Fowler,2,65.09,84.52,61.95,47.96,36.68,1.08,5.28,10.2,19.22,77.0,0.334,0.435,0.05,0.406,0.334,0.435,0.05,0.819,-0.002,4,-0.228,1,COOL,Form Cold; Fragile Favorite,Make Cut
29,Ben Griffin,2,64.94,88.39,46.06,49.94,55.16,1.07,5.24,10.13,19.11,76.7,0.265,0.029,0.422,0.604,0.265,0.029,0.422,0.715,-0.026,0,0,2,NEUTRAL,Elite NSI; Debut Watch; Fragile Favorite,Make Cut
30,Ryan Gerard,2,64.76,78.06,57.78,49.94,58.04,1.05,5.18,10.05,18.99,76.4,0.54,0.2,-0.097,0.047,0.54,0.2,-0.097,0.643,0.013,0,0,1,WARM,Debut Watch; Fragile Favorite,Make Cut
31,Alex Noren,2,64.4,82.58,54.2,59.03,41.72,1.03,5.08,9.87,18.74,75.8,0.283,0.065,0.13,0.817,0.283,0.065,0.13,0.478,-0.016,8,0.758,1,COOL,Course Horse; Form Cold; Fragile Favorite,Make Cut
32,Min Woo Lee,2,64.13,81.94,54.92,49.54,49.64,1.01,5.0,9.75,18.55,75.3,0.051,0.574,0.313,0.178,0.051,0.574,0.313,0.938,-0.001,0,0,0,NEUTRAL,Debut Watch,Make Cut
33,Jake Knapp,2,63.92,87.1,51.52,49.58,41.24,0.99,4.94,9.65,18.41,74.9,0.149,0.574,-0.146,0.735,0.149,0.574,-0.146,0.576,-0.003,0,0,2,COOL,Elite NSI; Form Cold; Debut Watch; Fragile Favorite,Make Cut
34,Patrick Reed,2,63.54,72.9,65.82,42.73,54.8,0.97,4.83,9.48,18.15,74.2,0.588,0.045,0.291,0.146,0.588,0.045,0.291,0.924,0.042,2,-2.087,0,NEUTRAL,Iron Edge,Make Cut
35,Keegan Bradley,3,63.39,78.71,53.86,49.8,55.16,0.96,4.79,9.41,18.05,73.9,0.189,0.276,0.377,0.105,0.189,0.276,0.377,0.842,0.005,0,0,0,NEUTRAL,Debut Watch,Make Cut
36,Maverick McNealy,3,63.32,87.74,49.46,40.3,48.92,0.95,4.77,9.38,18.0,73.7,0.196,0.289,0.324,0.573,0.196,0.289,0.324,0.809,-0.015,2,-2.938,1,NEUTRAL,Elite NSI,Make Cut
37,Nicolai Hojgaard,3,63.29,80.0,56.91,49.46,45.32,0.95,4.77,9.37,17.98,73.7,0.532,0.4,0.058,0.062,0.532,0.4,0.058,0.989,0.018,0,0,0,NEUTRAL,Debut Watch,Make Cut
38,Keith Mitchell,3,62.87,72.26,60.43,49.7,55.88,0.92,4.65,9.18,17.7,72.8,0.201,0.676,-0.014,-0.07,0.201,0.676,-0.014,0.863,0.033,0,0,0,NEUTRAL,Debut Watch,Make Cut
39,Adam Scott,3,62.7,74.19,62.57,53.57,41.48,0.91,4.61,9.11,17.59,72.5,0.701,0.269,0.01,-0.149,0.701,0.269,0.01,0.98,0.041,8,0.282,1,COOL,Course Horse; Form Cold,Make Cut
40,Nick Taylor,3,62.19,73.55,61.12,50.16,46.04,0.88,4.48,8.89,17.26,71.5,0.317,0.01,0.311,0.231,0.317,0.01,0.311,0.638,0.017,0,0,0,NEUTRAL,Debut Watch,Pass
41,Tyrrell Hatton,3,61.63,75.48,55.13,39.62,59.72,0.84,4.33,8.65,16.91,70.3,0.524,0.184,0.044,0.072,0.524,0.184,0.044,0.748,0.02,2,-3.173,0,WARM,,Pass
42,Corey Conners,3,61.51,63.87,72.31,50.06,45.08,0.84,4.31,8.61,16.83,70.1,0.599,0.211,0.004,-0.211,0.599,0.211,0.004,0.814,0.045,0,0,1,NEUTRAL,Iron Edge; Debut Watch,Pass
43,Bryson DeChambeau,3,61.12,80.65,54.49,37.23,46.16,0.81,4.21,8.45,16.59,69.3,0.187,0.948,-0.291,0.198,0.187,0.948,-0.291,0.837,0.015,2,-4.009,1,NEUTRAL,,Pass
44,J.T. Poston,3,60.94,69.03,57.97,50.12,56.12,0.8,4.17,8.37,16.48,68.9,0.212,0.284,-0.063,0.216,0.212,0.284,-0.063,0.432,0.005,0,0,0,NEUTRAL,Debut Watch,Pass
45,Bud Cauley,3,59.95,60.0,66.11,49.98,57.44,0.75,3.94,7.99,15.89,66.7,0.39,0.164,0.267,-0.228,0.39,0.164,0.267,0.821,0.04,0,0,1,NEUTRAL,Iron Edge; Debut Watch,Pass
46,Alex Fitzpatrick,3,59.88,61.29,61.9,49.98,62.0,0.74,3.92,7.96,15.85,66.6,0.333,0.172,0.176,0.017,0.333,0.172,0.176,0.681,0.018,0,0,0,WARM,Form Spike; Debut Watch,Pass
47,Kristoffer Reitan,3,59.49,74.84,48.31,49.72,50.72,0.72,3.84,7.82,15.62,65.7,0.085,0.655,-0.19,0.287,0.085,0.655,-0.19,0.551,-0.006,0,0,2,NEUTRAL,Debut Watch; Anti-Pattern,Pass
48,Alex Smalley,3,59.41,71.61,51.21,49.92,52.76,0.72,3.82,7.79,15.57,65.5,0.347,0.214,-0.068,0.159,0.347,0.214,-0.068,0.493,0.003,0,0,0,NEUTRAL,Debut Watch,Pass
49,Justin Thomas,3,59.17,79.35,40.47,44.37,57.56,0.71,3.77,7.7,15.44,65.0,0.15,0.19,0.578,0.16,0.15,0.19,0.578,0.918,-0.029,2,-1.513,2,NEUTRAL,Anti-Pattern,Pass
50,Tom Kim,3,58.56,58.71,59.08,50.06,65.6,0.68,3.64,7.48,15.09,63.6,0.496,-0.1,0.213,-0.023,0.496,-0.1,0.213,0.609,0.022,0,0,0,WARM,Form Spike; Debut Watch,Pass
51,Gary Woodland,3,58.42,67.1,57.17,45.09,51.08,0.67,3.61,7.43,15.01,63.2,0.323,0.646,-0.356,0.32,0.323,0.646,-0.356,0.613,0.012,4,-0.723,1,NEUTRAL,,Pass
52,Brian Harman,3,58.24,66.45,57.32,42.46,53.96,0.66,3.57,7.36,14.91,62.8,0.393,-0.041,0.183,0.159,0.393,-0.041,0.183,0.536,0.016,2,-2.174,0,NEUTRAL,,Pass
53,Matt McCarty,3,56.6,68.39,51.56,50.14,41.72,0.59,3.25,6.81,14.03,58.9,0.206,0.08,-0.045,0.334,0.206,0.08,-0.045,0.241,0.013,0,0,0,COOL,Form Cold; Debut Watch; Cut Sweat,Pass
54,Jordan Spieth,3,56.48,70.32,40.56,66.31,41.6,0.58,3.23,6.77,13.97,58.6,0.241,0.24,0.08,0.162,0.241,0.24,0.08,0.561,-0.026,4,2.981,2,COOL,Course Horse; Form Cold; Cut Sweat; Anti-Pattern,Pass
55,Angel Ayora,3,56.18,65.81,51.81,49.64,45.8,0.57,3.17,6.68,13.82,57.9,0.205,0.625,-0.082,-0.041,0.205,0.625,-0.082,0.748,0,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Pass
56,Michael Thorbjornsen,3,55.47,67.74,45.57,49.7,48.32,0.54,3.05,6.45,13.46,56.1,0.022,0.454,0.186,-0.185,0.022,0.454,0.186,0.662,-0.009,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Pass
57,Jayden Schaper,3,55.44,62.58,57.03,50.2,38.48,0.54,3.04,6.45,13.44,56.1,-0.072,0.221,0.132,0.077,-0.072,0.221,0.132,0.282,0,0,0,1,COOL,Form Cold; Debut Watch; Cut Sweat,Pass
58,Eric Cole,3,54.86,61.94,47.8,50.06,54.92,0.52,2.94,6.27,13.16,54.6,0.302,-0.523,0.319,0.486,0.302,-0.523,0.319,0.098,0.016,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Pass
59,Daniel Berger,3,54.32,51.61,62.55,50.13,49.28,0.5,2.85,6.11,12.9,53.3,0.677,0.198,-0.279,-0.18,0.677,0.198,-0.279,0.596,0.034,4,0.157,2,NEUTRAL,Cut Sweat; Anti-Pattern,Pass
