rank,player_name,tier,vts_final,nsi,vfs,vhn,form,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,brie_score,tvl_score,vfr_score,hew_score,app_150_200,ch_rounds,ch_vs_exp,ap_flags,form_class,badges,best_bet
99,Sungjae Im,4,41.57,40.0,37.97,50.02,44.48,0.2,1.38,3.33,8.04,24.2,-0.567,0.23,0.462,0.112,-0.567,0.23,0.462,0.125,-0.069,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
100,Dan Brown,4,41.23,37.42,40.99,50.2,42.92,0.2,1.35,3.28,7.94,23.6,0.468,0.044,-0.198,-0.191,0.468,0.044,-0.198,0.314,-0.008,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
101,Jose Luis Ballester,4,40.88,45.81,31.41,49.54,38.0,0.19,1.32,3.22,7.84,22.9,-0.328,0.728,-0.368,-0.088,-0.328,0.728,-0.368,0.026,-0.023,0,0,3,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
102,Aldrich Potgieter,4,40.76,35.48,32.98,49.28,61.88,0.19,1.32,3.2,7.81,22.7,-0.037,0.465,-0.326,-0.182,-0.037,0.465,-0.326,0.101,-0.004,0,0,4,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
103,Max Greyserman,4,40.43,42.58,27.84,49.72,50.6,0.19,1.29,3.15,7.71,22.1,-0.114,-0.117,0.148,0.054,-0.114,-0.117,0.148,-0.082,-0.005,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
104,Billy Horschel,4,40.4,34.84,44.58,39.31,47.96,0.18,1.29,3.15,7.7,22.1,0.228,-0.258,-0.153,0.154,0.228,-0.258,-0.153,-0.183,0.026,2,-3.276,1,NEUTRAL,Cut Sweat,Miss Cut
105,Jackson Suber,4,40.12,36.77,27.11,49.92,65.24,0.18,1.27,3.11,7.62,21.6,0.054,0.12,-0.035,-0.101,0.054,0.12,-0.035,0.139,-0.035,0,0,2,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
106,Laurie Canter,4,39.92,27.74,38.9,61.13,53.24,0.18,1.25,3.08,7.57,21.3,-0.038,0.422,-0.307,-0.414,-0.038,0.422,-0.307,0.073,-0.01,4,2.077,4,NEUTRAL,Course Horse; Cut Sweat; Anti-Pattern,Miss Cut
107,Francesco Laporta,4,39.87,28.39,48.69,50.12,42.56,0.18,1.25,3.07,7.55,21.2,-0.221,0.212,0.024,-0.338,-0.221,0.212,0.024,0.015,0,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
108,Antoine Rozner,4,39.77,34.19,36.77,49.96,50.48,0.18,1.24,3.06,7.52,21.0,0.329,-0.138,-0.135,-0.136,0.329,-0.138,-0.135,0.056,0.003,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
109,Andy Sullivan,4,39.47,32.26,41.81,43.87,49.64,0.17,1.22,3.01,7.44,20.5,-0.111,-0.187,-0.012,0.097,-0.111,-0.187,-0.012,-0.311,0,4,-0.936,1,NEUTRAL,Cut Sweat,Miss Cut
110,Kota Kaneko,4,39.42,32.9,34.68,50.56,55.16,0.17,1.22,3.01,7.43,20.5,0.051,-0.441,0.006,0.548,0.051,-0.441,0.006,-0.384,-0.121,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
111,Cameron Smith,4,39.31,40.65,26.25,43.97,57.2,0.17,1.21,2.99,7.4,20.3,-0.237,-0.548,0.561,0.552,-0.237,-0.548,0.561,-0.23,-0.045,2,-1.651,2,NEUTRAL,Cut Sweat; Anti-Pattern,Miss Cut
112,Shaun Norris,4,38.6,18.06,44.27,55.63,65.0,0.16,1.16,2.89,7.21,19.2,-0.548,-0.516,0.096,0.657,-0.548,-0.516,0.096,-0.968,0,4,1.116,1,WARM,Course Horse; Form Spike; Cut Sweat,Miss Cut
113,Bernd Wiesberger,4,38.6,29.03,41.27,40.56,56.84,0.16,1.16,2.89,7.21,19.2,0.059,-0.126,0.028,-0.57,0.059,-0.126,0.028,-0.039,0,4,-1.517,1,NEUTRAL,Cut Sweat; Volatile Putter,Miss Cut
114,Kazuma Kobori,4,38.3,24.52,42.79,50.64,53.72,0.16,1.14,2.85,7.13,18.7,-0.121,-0.345,-0.041,-0.078,-0.121,-0.345,-0.041,-0.507,0,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
115,Jesper Svensson,4,38.12,33.55,28.77,49.56,57.56,0.16,1.13,2.83,7.08,18.4,-0.137,0.571,-0.165,-0.336,-0.137,0.571,-0.165,0.269,-0.038,0,0,4,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
116,Alistair Docherty,4,38.08,23.87,43.32,49.76,53.84,0.16,1.13,2.82,7.07,18.4,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
117,Austen Truslow,4,37.86,23.23,45.22,50.02,50.0,0.15,1.11,2.79,7.01,18.0,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
118,Trav Smyth,4,37.01,21.29,46.6,50.14,46.64,0.15,1.06,2.68,6.79,16.8,-0.178,-1.23,-0.03,0.332,-0.178,-1.23,-0.03,-1.448,0.078,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
119,Adrien Saddier,4,36.92,29.68,36.71,50.06,43.52,0.14,1.06,2.67,6.77,16.7,-0.083,0.174,0.008,-0.174,-0.083,0.174,0.008,0.099,-0.025,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
120,Kazuki Higa,4,36.3,20.65,43.46,50.4,49.64,0.14,1.02,2.59,6.62,15.8,0.571,-0.11,-0.54,-0.397,0.571,-0.11,-0.54,-0.079,0,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
121,Ryutaro Nagano,4,35.96,17.42,45.36,50.06,52.52,0.13,1.0,2.55,6.53,15.4,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
122,Michael Hollick,4,35.59,16.13,42.42,50.3,59.12,0.13,0.98,2.5,6.45,14.9,0.133,-0.351,0.146,-0.374,0.133,-0.351,0.146,-0.071,0,0,0,1,WARM,Debut Watch; Cut Sweat,Miss Cut
123,Joe Dean,4,35.5,19.35,35.95,49.25,63.92,0.13,0.97,2.49,6.42,14.8,-0.748,-0.324,0.163,0.15,-0.748,-0.324,0.163,-0.909,0,4,0,1,WARM,Form Spike; Cut Sweat,Miss Cut
124,Tim Wiedemeyer,4,35.33,14.84,45.22,50.02,55.52,0.13,0.96,2.47,6.38,14.6,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
125,Frederic LaCroix,4,35.24,21.94,39.27,50.02,47.84,0.13,0.96,2.46,6.36,14.5,-0.061,0.036,-0.207,-0.45,-0.061,0.036,-0.207,-0.232,0,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
126,Darren Clarke,4,35.21,5.16,53.56,56.04,57.8,0.13,0.96,2.46,6.36,14.4,-0.555,0.241,0.762,-2.202,-0.555,0.241,0.762,0.448,0,2,2.557,2,NEUTRAL,Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
127,Martin Couvra,4,35.09,25.81,34.91,50.1,45.2,0.13,0.95,2.45,6.33,14.3,-0.234,-0.039,-0.103,-0.325,-0.234,-0.039,-0.103,-0.375,0,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
128,Joakim Lagergren,4,34.99,27.1,31.89,49.88,47.36,0.13,0.95,2.43,6.3,14.2,-0.267,-0.069,-0.192,0.249,-0.267,-0.069,-0.192,-0.529,0,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
129,Matthew Jordan,4,34.96,26.45,31.47,50.06,49.52,0.13,0.94,2.43,6.3,14.1,-0.335,-0.299,0.113,-0.257,-0.335,-0.299,0.113,-0.521,0,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
130,MJ Daffue,4,33.7,15.48,36.6,49.72,60.44,0.11,0.88,2.29,6.01,12.7,-1.092,0.364,-0.012,-0.257,-1.092,0.364,-0.012,-0.74,0,0,0,2,WARM,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
131,Cameron John,4,33.55,12.9,44.64,49.84,50.12,0.11,0.87,2.27,5.98,12.5,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
132,James Nicholas,4,33.2,20.0,34.16,49.78,49.88,0.11,0.85,2.24,5.9,12.1,-1.25,-0.259,0.022,0.828,-1.25,-0.259,0.022,-1.487,0,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
133,Stuart Grehan,4,33.04,9.68,45.81,50.2,52.64,0.11,0.85,2.22,5.86,12.0,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
134,Caleb Surratt,4,33.0,30.32,23.74,49.74,41.96,0.11,0.84,2.21,5.86,11.9,-0.686,0.104,-0.226,0.446,-0.686,0.104,-0.226,-0.815,-0.043,0,0,3,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
135,David Duval,5,32.76,0.65,46.4,67.86,56.0,0.11,0.83,2.19,5.8,11.7,0,0,0,0,0,0,0,0,0,6,2.101,0,NEUTRAL,Course Horse; Cut Sweat,Miss Cut
136,Alejandro De Castro Piera,5,32.56,6.45,45.81,50.2,58.04,0.11,0.82,2.17,5.76,11.5,0,0,0,0,0,0,0,0,0,0,0,0,WARM,Debut Watch; Cut Sweat,Miss Cut
137,Baard Skogen,5,32.23,7.1,45.62,50.14,54.56,0.1,0.81,2.13,5.69,11.1,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
138,Jiho Yang,5,32.16,1.94,45.88,50.22,67.28,0.1,0.8,2.13,5.68,11.1,0,0,0,0,0,0,0,0,0,0,0,0,WARM,Form Spike; Debut Watch; Cut Sweat,Miss Cut
139,Sam Bairstow,5,32.11,16.77,36.15,49.9,47.12,0.1,0.8,2.12,5.67,11.0,-0.392,-0.012,-0.221,-0.215,-0.392,-0.012,-0.221,-0.626,0,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
140,Padraig Harrington,5,31.88,12.26,25.37,65.75,63.32,0.1,0.79,2.1,5.62,10.8,0.143,-0.987,0.178,-0.677,0.143,-0.987,0.178,-0.666,-0.005,6,1.853,2,WARM,Course Horse; Form Spike; Cut Sweat; Anti-Pattern,Miss Cut
141,Jack McDonald,5,31.68,13.55,46.27,50.34,32.18,0.1,0.78,2.08,5.58,10.6,0,0,0,0,0,0,0,0,0,0,0,0,COOL,Form Cold; Debut Watch; Cut Sweat,Miss Cut
142,Jeong Woo Ham,5,31.59,14.19,39.09,50.34,44.24,0.1,0.78,2.07,5.56,10.5,-0.906,-0.626,-0.014,0.807,-0.906,-0.626,-0.014,-1.553,0,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
143,Marcus Plunkett,5,31.18,11.61,39.12,49.76,48.92,0.1,0.76,2.03,5.47,10.1,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
144,Jack Buchanan,5,30.78,4.52,45.82,50.2,51.32,0.09,0.74,1.99,5.39,9.8,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
145,Peter Uihlein,5,30.49,25.16,21.76,50.07,42.56,0.09,0.73,1.96,5.34,9.5,-0.179,-1.206,0.153,0.613,-0.179,-1.206,0.153,-1.238,-0.047,4,0.144,2,NEUTRAL,Cut Sweat; Anti-Pattern,Miss Cut
146,David Howard,5,30.21,0.0,46.47,50.4,58.05,0.09,0.72,1.94,5.28,9.3,0,0,0,0,0,0,0,0,0,0,0,0,WARM,Debut Watch; Cut Sweat,Miss Cut
147,Matthew Southgate,5,30.06,5.81,29.24,68.04,58.4,0.09,0.71,1.92,5.25,9.2,-0.377,-0.069,-0.72,-1.139,-0.377,-0.069,-0.72,-1.166,0,4,3.278,3,WARM,Course Horse; Cut Sweat; Anti-Pattern,Miss Cut
148,Tiger Christensen,5,29.67,3.87,44.51,49.8,48.68,0.09,0.7,1.89,5.18,8.8,0,0,0,0,0,0,0,0,0,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
149,Matthew Baldwin,5,29.2,10.32,34.19,50.32,48.44,0.08,0.68,1.85,5.09,8.5,-0.712,-0.081,-0.416,-0.488,-0.712,-0.081,-0.416,-1.209,0,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
150,Nevill Ruiter,5,27.67,3.23,32.33,49.68,61.52,0.07,0.62,1.72,4.81,7.4,0.082,0.324,-0.548,-1.671,0.082,0.324,-0.548,-0.142,0,0,0,2,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
151,Lev Grinberg,5,26.89,10.97,21.21,49.94,57.68,0.07,0.6,1.65,4.67,6.8,-1.284,-0.652,-0.604,-0.163,-1.284,-0.652,-0.604,-2.54,0,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
152,Naoyuki Kataoka,5,25.68,9.03,24.99,50.24,46.88,0.06,0.56,1.56,4.47,6.1,-2.9,-1.0,-1.693,0.249,-2.9,-1.0,-1.693,-5.592,0,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
153,Fifa Laopakdee,5,24.36,8.39,24.54,49.84,41.12,0.06,0.52,1.47,4.25,5.4,-1.192,-1.948,-0.501,0.297,-1.192,-1.948,-0.501,-3.641,0,0,0,2,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
154,Mason Howell,5,23.87,7.74,21.23,49.78,46.28,0.06,0.5,1.43,4.18,5.2,-1.094,0.243,-0.877,-0.697,-1.094,0.243,-0.877,-1.728,-0.027,0,0,4,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
155,Mateo Pulcini,5,22.66,2.58,17.96,49.96,58.28,0.05,0.47,1.35,3.99,4.6,-0.693,-0.722,-1.239,-1.436,-0.693,-0.722,-1.239,-2.654,0,0,0,3,WARM,Debut Watch; Cut Sweat; Anti-Pattern; Volatile Putter,Miss Cut
156,Tom Sloman,5,20.74,1.29,19.47,49.96,45.92,0.05,0.42,1.23,3.72,3.8,-2.853,-0.332,-1.285,-0.408,-2.853,-0.332,-1.285,-4.47,0,0,0,3,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
