pos-normal,Last Name,First Name,TOTAL,R4,sg-ott,driver-distance,driver-accuracy,sg-app,GIR,Fairway Prox,Rough Prox,sg-putt,sg-arg,scrambling,great shots,poor shots,sg-total,sg-t2g,sg-bs
63,HAHN,JAMES,-1,3,-0.46,293.4,58.90%,-0.83,68.10%,"33' 11""","52' 10""",-0.13,0.01,70.40%,2.25,4,-1.41,-1.28,-1.29
64,KIRK,CHRIS,,1,-0.61,294.7,57.10%,-0.45,63.90%,"28' 3""","74' 2""",0.32,-1.42,51.50%,3.5,6,-2.16,-2.47,-1.06
,,,,,,,,,,,,,,,,,,,
,PEREZ,VICTOR,-4,,-0.52,296.4,71.40%,0.09,80.60%,"31' 10""","61' 4""",2.27,-1.28,40.00%,5,3.5,0.56,-1.7,-0.43
,KIM,TOM,-4,,-2.02,288.2,53.60%,2.41,66.70%,"29' 1""","58' 0""",-0.23,0.4,58.30%,3.5,5.5,0.56,0.79,0.4
,MARTIN,BEN,-4,,-1.94,291.9,60.70%,0.18,69.40%,"38' 5""","41' 8""",1.46,0.87,64.30%,5,3.5,0.56,-0.9,-1.76
,RYDER,SAM,-4,,0.71,297.1,78.60%,-1.6,61.10%,"33' 11""","59' 2""",0.02,1.43,68.40%,3.5,4,0.56,0.54,-0.89
,GRIFFIN,LANTO,-4,,0.28,294.5,75.00%,-0.58,66.70%,"33' 4""","105' 11""",1.43,-0.57,64.70%,3.5,2,0.56,-0.86,-0.29
,SIGG,GREYSON,-4,,0.04,292.7,67.90%,0.53,69.40%,"26' 8""","86' 4""",-0.74,0.74,57.10%,4,2.5,0.56,1.3,0.57
,CONE,TREVOR,-4,,1.57,317,75.00%,-0.67,72.20%,"31' 6""","21' 10""",-0.35,0.01,75.00%,5,4.5,0.56,0.91,0.9
,TOSTI,ALEJANDRO,-4,,0.72,306.9,53.60%,0.12,69.40%,"27' 3""","55' 11""",0.24,-0.51,62.50%,4,4,0.56,0.32,0.83
,GERARD,RYAN,-4,,0.7,304.3,71.40%,2.44,75.00%,"22' 2""","36' 1""",-2.82,0.24,61.50%,3,4,0.56,3.38,3.14
,MOUW,WILLIAM,-4,,0.03,303.9,60.70%,1.17,91.70%,"25' 6""","57' 9""",-1.04,0.41,66.70%,2.5,3,0.56,1.6,1.2
,PETERSON,PAUL,-4,,-0.41,279.9,85.70%,1.46,77.80%,"26' 7""","58' 6""",-0.39,-0.1,33.30%,4.5,5,0.56,0.95,1.05
,SUBER,JACKSON,-4,,0.01,301.8,60.70%,0.06,75.00%,"28' 7""","41' 7""",0.74,-0.24,53.80%,3.5,3,0.56,-0.17,0.06
,HRUBY,PETR,-4,,0.15,307,39.30%,0.99,66.70%,"25' 10""","41' 5""",-0.81,0.23,66.70%,3,2.5,0.56,1.37,1.14
,RADCLIFF,JOSH,-4,,-0.72,296.5,64.30%,0.06,63.90%,"31' 5""","88' 4""",0.53,0.69,75.00%,3,3,0.56,0.04,-0.66
,GRIFFIN,BEN,-3,,0.55,304.9,60.70%,0.27,66.70%,"31' 10""","34' 6""",-1.84,1.08,57.90%,2.5,3.5,0.06,1.9,0.82
,SCHENK,ADAM,-3,,0.03,309.5,64.30%,-0.21,63.90%,"28' 11""","80' 6""",0.04,0.21,57.10%,4,4,0.06,0.02,-0.19
,KIM,MICHAEL,-3,,-1.11,296.8,64.30%,0.43,72.20%,"29' 7""","51' 6""",0.41,0.34,54.50%,4.5,3,0.06,-0.34,-0.69
,LIST,LUKE,-3,,0.8,305.7,71.40%,0.41,58.30%,"30' 8""","48' 2""",-0.96,-0.18,57.10%,4,4,0.06,1.02,1.21
,HADLEY,CHESSON,-3,,0.85,301.1,78.60%,-0.36,72.20%,"27' 11""","96' 3""",-0.44,0.01,63.60%,3.5,4.5,0.06,0.5,0.49
,LAIRD,MARTIN,-3,,0.07,296.8,67.90%,1.4,83.30%,"30' 4""","28' 9""",-1.47,0.06,62.50%,3,4,0.06,1.53,1.47
,SMALLEY,ALEX,-3,,0.44,297.8,67.90%,-0.95,72.20%,"29' 8""","52' 8""",0.96,-0.39,54.50%,3,3.5,0.06,-0.9,-0.51
,PHILLIPS,CHANDLER,-3,,-0.73,297,64.30%,-0.29,61.10%,"27' 7""","62' 8""",0.19,0.9,75.00%,3.5,5.5,0.06,-0.13,-1.03
,DICKSON,TAYLOR,-3,,-0.4,299.5,75.00%,0.37,69.40%,"28' 0""","8' 1""",0.34,-0.25,66.70%,4,3.5,0.06,-0.28,-0.03
,KANAYA,TAKUMI,-3,,0.06,284.2,82.10%,-1.01,63.90%,"32' 3""","25' 11""",1.38,-0.37,69.20%,3.5,3.5,0.06,-1.32,-0.95
,MCCARTY,MATT,-3,,0.44,294.2,75.00%,1.07,66.70%,"23' 8""","93' 6""",-1.24,-0.21,57.10%,1.5,1.5,0.06,1.3,1.52
,CLANTON,LUKE,-3,,1.01,308.4,64.30%,1.53,80.60%,"25' 11""","55' 8""",-1.98,-0.5,42.90%,3,4.5,0.06,2.04,2.54
,FORD,DAVID,-3,,0.69,295.5,92.90%,-1.67,63.90%,"32' 11""","0' 0""",0.81,0.23,68.80%,2,4.5,0.06,-0.75,-0.98
,DAY,JASON,-2,,-0.22,300.4,64.30%,-1.23,66.70%,"35' 11""","60' 4""",1.94,-0.92,62.50%,3.5,3.5,-0.44,-2.38,-1.46
,RODGERS,PATRICK,-2,,0.54,312.3,57.10%,-0.63,50.00%,"33' 2""","51' 3""",0.7,-1.04,56.50%,5,4,-0.44,-1.14,-0.09
,MALNATI,PETER,-2,,0.18,297.6,60.70%,-2.56,61.10%,"36' 4""","44' 6""",1.81,0.13,60.00%,4.5,4,-0.44,-2.25,-2.38
,FRITTELLI,DYLAN,-2,,0.23,303.9,64.30%,-1.24,72.20%,"43' 2""","46' 10""",0.35,0.23,66.70%,4,4.5,-0.44,-0.78,-1.01
,BRAMLETT,JOSEPH,-2,,-0.72,300.8,53.60%,0.77,69.40%,"28' 2""","65' 1""",-0.94,0.45,81.80%,3,4,-0.44,0.5,0.05
,MEISSNER,MAC,-2,,0.07,295.5,60.70%,-0.12,72.20%,"27' 1""","63' 2""",-0.33,-0.05,71.40%,3,3.5,-0.44,-0.1,-0.05
,VALIMAKI,SAMI,-2,,-0.25,298.5,67.90%,-0.15,77.80%,"21' 1""","69' 10""",0.5,-0.54,37.50%,3.5,5.5,-0.44,-0.94,-0.4
,JAMES,BEN,-2,,-0.1,300.6,64.30%,0.05,69.40%,"33' 0""","52' 5""",-0.55,0.17,46.70%,5,4.5,-0.44,0.11,-0.06
,PAK,JOHN,-2,,-0.49,287.6,75.00%,-0.76,63.90%,"25' 1""","70' 6""",1.39,-0.57,62.50%,4,4,-0.44,-1.82,-1.25
,RIEDEL,MATTHEW,-2,,0.68,301.9,67.90%,-0.04,72.20%,"28' 6""","32' 10""",-1.02,-0.06,46.70%,2,3,-0.44,0.58,0.64
,KISNER,KEVIN,-1,,-1.21,285.1,57.10%,-0.47,61.10%,"33' 8""","37' 6""",0.88,-0.13,53.80%,5,4,-0.94,-1.82,-1.68
,BEZUIDENHOUT,CHRISTIAAN,-1,,-1.37,280.6,78.60%,1.03,75.00%,"27' 10""","37' 5""",-1.06,0.46,77.80%,2.5,3,-0.94,0.12,-0.34
,POSTON,J.T.,-1,,0.45,295,75.00%,1.25,66.70%,"23' 6""","60' 9""",-2.6,-0.04,60.00%,3,3,-0.94,1.67,1.7
,HARDY,NICK,-1,,-0.61,304.4,42.90%,-0.64,72.20%,"34' 7""","33' 2""",0.04,0.28,84.60%,3,3,-0.94,-0.98,-1.25
,CROWE,TRACE,-1,,0.85,303.4,64.30%,-0.65,66.70%,"30' 6""","57' 6""",-0.18,-0.95,47.40%,3,4,-0.94,-0.75,0.2
,ROSENMUELLER,THOMAS,-1,,1.48,309.3,75.00%,0.85,75.00%,"29' 8""","51' 6""",-2.48,-0.79,50.00%,2,5.5,-0.94,1.54,2.33
,ONISHI,KAITO,-1,,-0.67,298.6,60.70%,-0.09,50.00%,"31' 6""","44' 9""",0.12,-0.3,50.00%,4.5,4,-0.94,-1.06,-0.76
,FISCHER,ZACK,-1,,-0.48,293.8,67.90%,0.33,69.40%,"28' 7""","42' 5""",-1.71,0.93,75.00%,2.5,4.5,-0.94,0.78,-0.15
,GORDON,WILL,-1,,0.9,301.4,75.00%,-0.59,83.30%,"33' 1""","107' 6""",-1.35,0.1,50.00%,3.5,4.5,-0.94,0.41,0.31
,PIERCY,SCOTT,,,0.13,300.6,60.70%,-2.25,58.30%,"36' 10""","51' 7""",-0.21,0.89,73.70%,2.5,2,-1.44,-1.23,-2.12
,NESMITH,MATT,,,-0.25,299.1,60.70%,-1.99,63.90%,"27' 4""","82' 10""",1.02,-0.22,61.50%,2.5,4.5,-1.44,-2.46,-2.24
,WISE,AARON,,,-0.41,299.9,53.60%,-0.11,63.90%,"28' 2""","56' 0""",-1.04,0.13,56.20%,3,3.5,-1.44,-0.4,-0.53
,HIGHSMITH,JOE,,,0.47,301.6,75.00%,-2.06,61.10%,"35' 7""","54' 0""",-0.18,0.34,68.40%,2.5,5.5,-1.44,-1.25,-1.59
,FISK,STEVEN,,,0.04,310.9,57.10%,-0.4,69.40%,"26' 4""","70' 4""",-0.46,-0.61,58.80%,3,4,-1.44,-0.97,-0.36
,CHANDLER,WILL,,,0.61,301.6,75.00%,-1.21,63.90%,"33' 9""","50' 6""",-0.45,-0.39,50.00%,2.5,4.5,-1.44,-0.99,-0.6
,VILIPS,KARL,,,-0.23,305.4,67.90%,0.02,66.70%,"30' 2""","50' 4""",0.13,-1.35,50.00%,5,5,-1.44,-1.57,-0.22
,WILLETT,DANNY,,,-0.33,292.4,60.70%,-2.29,63.90%,"34' 6""","76' 11""",0.69,0,61.10%,2.5,5.5,-1.94,-2.62,-2.63
,COOK,AUSTIN,,,-2.5,281.6,57.10%,-0.06,69.40%,"33' 5""","50' 2""",0.43,0.19,60.00%,2,3,-1.94,-2.37,-2.56
,OLESEN,THORBJORN,,,0.2,302.6,64.30%,-0.5,75.00%,"28' 10""","51' 10""",-0.8,-0.83,33.30%,2,2.5,-1.94,-1.13,-0.3
,SALINDA,ISAIAH,,,0.77,311.5,60.70%,-0.58,66.70%,"25' 11""","91' 4""",-1.44,-0.69,50.00%,3,4,-1.94,-0.5,0.19
,SKINNS,DAVID,,,-1.64,300.6,71.40%,1.25,69.40%,"23' 2""","53' 7""",-1.06,-0.5,56.30%,4.5,6,-1.94,-0.88,-0.38
,IM,SUNGJAE,,,1.1,297.8,78.60%,-1.52,75.00%,"34' 1""","0' 0""",-2.34,0.33,40.00%,2,5,-2.44,-0.1,-0.43
,HADWIN,ADAM,,,0.47,298.7,71.40%,-1.41,52.80%,"33' 11""","36' 8""",-0.61,-0.88,54.50%,4,7,-2.44,-1.82,-0.94
,GARNETT,BRICE,,,0.31,292.9,75.00%,-0.9,75.00%,"33' 5""","43' 8""",-2.73,0.88,53.80%,1,4.5,-2.44,0.29,-0.59
,ECHAVARRIA,NICO,,,0.01,291,75.00%,-1.05,58.30%,"30' 11""","66' 1""",-1.27,-0.12,55.60%,2.5,4.5,-2.44,-1.16,-1.05
,WIDING,TIM,,,-0.87,296.8,50.00%,-0.82,69.40%,"34' 1""","78' 5""",0.48,-1.23,50.00%,3.5,4.5,-2.44,-2.92,-1.69
,LA SASSO,MICHAEL,,,-0.63,306.4,42.90%,-0.46,63.90%,"30' 10""","46' 11""",-0.85,-0.51,60.00%,4,7.5,-2.44,-1.59,-1.08
,STANLEY,KYLE,,,-0.7,281.4,67.90%,-0.91,72.20%,"32' 2""","102' 4""",-1.06,-0.26,36.40%,1.5,4.5,-2.94,-1.88,-1.61
,RAMEY,CHAD,,,-2.07,299.1,57.10%,-0.62,61.10%,"25' 9""","51' 2""",0.26,-0.51,63.60%,4,7.5,-2.94,-3.2,-2.69
,MCGREEVY,MAX,,,0.63,298.6,60.70%,-1.47,63.90%,"35' 8""","58' 11""",-2.09,0,47.60%,1.5,6.5,-2.94,-0.84,-0.84
,ALBERTSON,ANDERS,,,-1.31,294.9,53.60%,-0.4,63.90%,"33' 6""","46' 8""",-0.13,-1.09,50.00%,4.5,5,-2.94,-2.81,-1.71
,KIM,CHAN,,,0.59,304.5,71.40%,0.1,77.80%,"28' 10""","95' 2""",-3.09,-0.53,27.30%,3,6,-2.94,0.16,0.68
,CASTILLO,RICKY,,,0.61,306.9,78.60%,-1.45,72.20%,"33' 4""","121' 7""",-1.4,-0.71,46.70%,1.5,7,-2.94,-1.54,-0.83
,ANDERSEN,MASON,,,0.11,308.5,53.60%,-1.98,72.20%,"32' 0""","63' 11""",-0.65,-0.42,50.00%,2.5,6,-2.94,-2.29,-1.87
,WARING,PAUL,,,0.29,297.4,67.90%,-1.46,58.30%,"35' 3""","63' 5""",0.18,-1.95,40.00%,4.5,5.5,-2.94,-3.12,-1.17
,THORNBERRY,BRADEN,,,0.42,300.4,67.90%,-2.74,63.90%,"34' 9""","68' 4""",-1.16,0.05,53.30%,1,6,-3.44,-2.27,-2.33
,CAMPOS,RAFAEL,,,-0.28,306.5,64.30%,-1.01,63.90%,"34' 1""","63' 11""",-0.64,-1.51,52.60%,3,6,-3.44,-2.8,-1.29
,GOODWIN,NOAH,,,-0.49,292.8,71.40%,-1.43,66.70%,"35' 7""","57' 0""",-0.75,-0.77,53.30%,2,3.5,-3.44,-2.69,-1.92
,SUMMERHAYS,PRESTON,,,-0.64,298,57.10%,-1.61,61.10%,"27' 7""","74' 7""",-0.76,-0.43,58.80%,2.5,7.5,-3.44,-2.68,-2.25
,GIANNETTO,JAY,,,0.22,296.8,82.10%,-3.9,55.60%,"47' 0""","54' 11""",0.55,-0.31,52.60%,3.5,7.5,-3.44,-3.98,-3.68
,MULLINAX,TREY,,,-1.97,299.5,46.40%,-0.16,69.40%,"33' 8""","74' 7""",-0.59,-1.21,41.20%,3.5,6.5,-3.94,-3.35,-2.13
,BUCKLEY,HAYDEN,,,-0.82,298.1,53.60%,-2.12,52.80%,"35' 10""","80' 5""",-0.95,-0.05,52.60%,1.5,4,-3.94,-2.98,-2.94
,MATTHEWS,BRANDON,,,-0.93,302.9,53.60%,-0.41,63.90%,"39' 3""","56' 1""",-0.78,-1.82,38.90%,3.5,6.5,-3.94,-3.15,-1.34
