"RANK","PLAYER","%","PAR 5 BIRDIES OR BETTER","PAR 5 HOLES"
"1","Collin Morikawa","59.72%","86","144"
"2","William Mouw","59.09%","91","154"
"3","Jake Knapp","58.90%","86","146"
"4","Scottie Scheffler","58.10%","122","210"
"5","Ludvig Åberg","55.15%","107","194"
"6","Brooks Koepka","54.86%","79","144"
"7","Stephan Jaeger","54.79%","103","188"
"8","Tony Finau","54.17%","117","216"
"9","Kevin Roy","54.08%","106","196"
"10","Keith Mitchell","54.02%","121","224"
"11","Jackson Suber","53.90%","83","154"
"12","Xander Schauffele","53.68%","102","190"
"13","Kevin Yu","53.45%","93","174"
"14","Matti Schmid","53.16%","101","190"
"15","Michael Brennan","52.91%","109","206"
"15","Eric Cole","52.91%","109","206"
"17","Pierceson Coody","52.86%","120","227"
"18","Joe Highsmith","52.58%","102","194"
"19","Min Woo Lee","52.55%","103","196"
"20","Max Homa","52.48%","106","202"
"21","Taylor Moore","52.44%","86","164"
"22","Maverick McNealy","52.29%","114","218"
"23","Rory McIlroy","52.27%","69","132"
"24","Jimmy Stanger","52.17%","72","138"
"25","Tommy Fleetwood","52.04%","102","196"
"25","Nicolai Højgaard","52.04%","102","196"
"27","Si Woo Kim","51.98%","131","252"
"28","Matt Fitzpatrick","51.92%","108","208"
"29","Pontus Nyholm","51.88%","83","160"
"30","Ryan Gerard","51.74%","119","230"
"31","Adam Scott","51.56%","99","192"
"32","Rico Hoey","51.40%","110","214"
"33","Sudarshan Yellamaraju","51.36%","113","220"
"34","Lee Hodges","51.33%","77","150"
"35","Akshay Bhatia","51.11%","92","180"
"36","Tom Kim","51.00%","102","200"
"37","Wyndham Clark","50.99%","103","202"
"38","Max McGreevy","50.97%","105","206"
"39","Zach Bauchou","50.96%","106","208"
"40","Peter Malnati","50.65%","78","154"
"41","Aldrich Potgieter","50.58%","87","172"
"42","Austin Eckroat","50.54%","94","186"
"43","Sam Burns","50.52%","97","192"
"43","Mac Meissner","50.52%","97","192"
"45","A.J. Ewart","50.49%","103","204"
"46","Adrien Dumont de Chassart","50.00%","85","170"
"46","Rickie Fowler","50.00%","97","194"
"46","Ben Griffin","50.00%","108","216"
"46","Hideki Matsuyama","50.00%","112","224"
"46","Rasmus Neergaard-Petersen","50.00%","80","160"
"51","Sahith Theegala","49.60%","123","248"
"52","Robert MacIntyre","49.49%","97","196"
"53","Kristoffer Reitan","49.48%","95","192"
"54","Daniel Berger","49.47%","93","188"
"55","Justin Rose","49.40%","82","166"
"56","Doug Ghim","49.38%","79","160"
"57","David Lipsky","49.35%","76","154"
"58","Jesper Svensson","49.22%","63","128"
"59","Chris Gotterup","49.13%","113","230"
"60","Jordan Spieth","49.10%","109","222"
"61","Harris English","49.05%","103","210"
"62","Ricky Castillo","48.98%","96","196"
"63","Mackenzie Hughes","48.95%","93","190"
"64","Chandler Phillips","48.77%","79","162"
"65","Dylan Wu","48.67%","73","150"
"66","J.T. Poston","48.47%","95","196"
"67","Harry Hall","48.42%","92","190"
"68","Shane Lowry","48.24%","82","170"
"69","Chris Kirk","48.13%","77","160"
"70","Chad Ramey","47.94%","93","194"
"71","Jordan Smith","47.87%","90","188"
"72","Jacob Bridgeman","47.84%","111","232"
"73","Alejandro Tosti","47.83%","66","138"
"74","Zecheng Dou","47.75%","85","178"
"75","Matt McCarty","47.73%","105","220"
"76","Dan Brown","47.58%","59","124"
"77","Haotong Li","47.56%","78","164"
"78","Keegan Bradley","47.52%","96","202"
"79","Karl Vilips","47.44%","74","156"
"80","Michael Thorbjornsen","47.42%","92","194"
"81","Austin Smotherman","47.22%","85","180"
"82","Davis Riley","47.16%","83","176"
"83","Alex Smalley","47.14%","99","210"
"84","Andrew Putnam","47.06%","96","204"
"85","Patrick Rodgers","47.03%","111","236"
"86","Matt Wallace","46.91%","76","162"
"87","Seamus Power","46.82%","81","173"
"88","Patrick Cantlay","46.70%","85","182"
"88","Russell Henley","46.70%","85","182"
"90","Viktor Hovland","46.59%","82","176"
"91","Michael Kim","46.58%","109","234"
"92","Ryo Hisatsune","46.54%","121","260"
"93","Bud Cauley","46.36%","102","220"
"94","Justin Thomas","46.34%","76","164"
"95","Justin Lower","46.32%","63","136"
"96","Keita Nakajima","46.09%","53","115"
"97","Erik van Rooyen","46.05%","70","152"
"98","Max Greyserman","45.88%","89","194"
"99","Cameron Young","45.83%","88","192"
"100","Sungjae Im","45.65%","84","184"
"101","Billy Horschel","45.59%","93","204"
"102","Gary Woodland","45.45%","90","198"
"103","Jason Day","45.40%","79","174"
"104","Kristoffer Ventura","45.24%","57","126"
"105","John VanDerLaan","45.18%","75","166"
"106","Nick Dunlap","45.16%","56","124"
"107","Brian Harman","45.13%","102","226"
"107","Tom Hoge","45.13%","102","226"
"107","Denny McCarthy","45.13%","102","226"
"110","Kurt Kitayama","45.09%","101","224"
"111","Emiliano Grillo","45.00%","81","180"
"111","Adam Schenk","45.00%","72","160"
"111","Nick Taylor","45.00%","108","240"
"114","Sepp Straka","44.85%","87","194"
"115","Christo Lamprecht","44.78%","60","134"
"116","Christiaan Bezuidenhout","44.71%","93","208"
"117","Johnny Keefer","44.55%","90","202"
"118","Jeffrey Kang","44.44%","64","144"
"119","Brice Garnett","44.37%","63","142"
"120","J.J. Spaun","44.33%","86","194"
"121","Rasmus Højgaard","44.25%","77","174"
"122","Taylor Pendrith","44.14%","98","222"
"123","Marcelo Rozo","43.85%","57","130"
"124","Alex Noren","43.69%","90","206"
"125","Chandler Blanchet","43.41%","79","182"
"126","Davis Thompson","43.33%","78","180"
"127","Andrew Novak","43.30%","97","224"
"128","Nico Echavarria","43.20%","89","206"
"129","Adrien Saddier","43.18%","57","132"
"130","Steven Fisk","42.86%","78","182"
"131","Danny Walker","42.78%","77","180"
"132","Beau Hossler","42.77%","71","166"
"133","Marco Penge","42.54%","57","134"
"134","Aaron Rai","42.47%","62","146"
"135","John Parry","42.42%","84","198"
"136","Adam Svensson","42.36%","61","144"
"137","Sam Stevens","42.31%","99","234"
"137","Camilo Villegas","42.31%","55","130"
"139","Brandt Snedeker","42.25%","60","142"
"140","Rafael Campos","42.19%","54","128"
"141","Mark Hubbard","41.94%","78","186"
"142","Takumi Kanaya","41.76%","76","182"
"143","Davis Chatfield","41.56%","64","154"
"144","Joel Dahmen","41.01%","73","178"
"145","Corey Conners","40.99%","91","222"
"146","Lanto Griffin","40.98%","50","122"
"147","Jhonattan Vegas","40.96%","68","166"
"148","Vince Whaley","40.74%","66","162"
"149","Neal Shipley","40.58%","56","138"
"150","Patrick Fishburn","40.26%","62","154"
"151","Ryan Fox","39.89%","71","178"
"152","Kensei Hirata","38.82%","59","152"
"153","Lucas Glover","38.64%","68","176"
"154","Matthieu Pavon","37.95%","63","166"
"155","Garrick Higgo","37.80%","62","164"
"156","Luke Clanton","36.23%","50","138"
"157","Brian Campbell","35.71%","65","182"
"158","Hank Lebioda","35.47%","61","172"
