player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Hughes, Mackenzie",6,14,12,0,0,0,0,-0.016,62,-2.430,-1.528,0.027,0.902,2.746,1.885,0.301,30,-0.607,-0.040,0.292,0.514,1.522,0.711,-0.315,93,-2.297,-1.301,-0.939,0.491,2.433,1.750,-0.423,106,-2.617,-1.092,-0.085,0.719,1.010,1.297,-0.738,106,-3.844,-2.485,-1.353,1.371,2.839,2.501,-0.437,96,-3.539,-2.071,-1.105,1.552,3.310,2.517,-0.571,96,-4.470,-3.392,-1.121,2.915,3.520,3.244,-0.571,96,-4.470,-3.392,-1.121,2.915,3.520,3.244,-1.165,77,-20.636,-10.297,-0.324,5.022,20.575,13.819,-0.074,116,-0.262,-0.149,-0.070,-0.003,0.088,0.123
"Chatfield, Davis",4,9,4,0,0,0,0,-0.246,81,-1.486,-0.740,-0.235,0.259,0.980,1.167,-0.171,95,-0.598,-0.290,-0.121,-0.002,0.185,0.376,0.350,35,-0.573,-0.098,0.262,0.709,1.396,0.937,-1.214,129,-1.601,-1.495,-1.229,-0.947,-0.805,0.395,-0.864,113,-2.174,-1.593,-0.849,-0.120,0.425,1.245,-1.035,118,-2.344,-2.120,-1.071,0.014,0.323,1.384,-0.580,97,-2.271,-1.788,-1.240,0.545,1.488,1.525,-0.580,97,-2.271,-1.788,-1.240,0.545,1.488,1.525,-16.690,129,-28.261,-25.336,-19.531,-11.500,-1.045,10.537,0.063,23,-0.053,0.009,0.024,0.118,0.224,0.106
"Svensson, Adam",8,20,12,0,0,0,0,-0.107,72,-1.841,-0.446,0.117,0.304,1.288,1.009,0.017,69,-0.965,-0.615,-0.265,0.148,1.924,1.042,-0.278,91,-2.429,-0.899,-0.297,0.959,1.342,1.379,-0.602,115,-1.902,-1.033,-0.580,-0.224,0.863,0.919,-0.880,115,-2.935,-1.466,-1.242,-0.387,1.553,1.541,-0.863,113,-3.069,-2.151,-1.005,0.116,1.766,1.735,-0.603,98,-3.018,-2.251,-0.986,0.712,3.333,2.377,-0.603,98,-3.018,-2.251,-0.986,0.712,3.333,2.377,-12.038,127,-29.976,-18.968,-10.638,-5.616,3.844,11.626,0.063,20,-0.078,-0.025,0.033,0.137,0.278,0.123
"Kuchar, Matt",4,8,6,0,0,0,0,-0.593,109,-1.606,-0.665,-0.452,-0.154,0.009,0.703,0.034,63,-0.505,-0.417,-0.194,0.242,1.000,0.663,0.111,59,-1.242,-0.647,0.480,0.910,1.006,1.017,-0.648,117,-1.155,-1.030,-0.607,-0.356,-0.129,0.442,-0.537,100,-1.724,-1.076,-0.330,0.149,0.311,0.877,-0.503,100,-1.729,-1.294,-0.524,-0.205,1.076,1.166,-0.670,99,-3.114,-1.239,-0.666,0.049,1.609,1.745,-0.670,99,-3.114,-1.239,-0.666,0.049,1.609,1.745,-13.796,128,-23.210,-17.848,-14.285,-10.193,-3.350,7.431,0.016,54,-0.087,-0.066,-0.006,0.040,0.192,0.111
"Eckroat, Austin",7,23,18,0,0,0,0,-0.368,93,-2.956,-1.948,-0.052,0.939,2.174,1.710,-0.631,127,-2.817,-0.998,-0.339,-0.062,0.921,1.411,0.331,38,-3.533,-1.284,0.547,2.050,2.906,2.105,-0.170,88,-1.406,-0.924,-0.128,0.552,1.228,0.930,0.161,63,-4.169,-0.907,0.637,1.750,2.627,2.214,-0.470,98,-4.997,-1.916,-0.599,2.216,3.433,3.058,-0.704,100,-4.089,-1.936,-0.946,1.367,3.299,3.009,-0.704,100,-4.089,-1.936,-0.946,1.367,3.299,3.009,-5.985,104,-26.140,-7.264,-4.921,-1.755,6.164,9.779,-0.011,81,-0.230,-0.086,0.008,0.089,0.168,0.137
"Brennan, Michael",4,9,4,0,0,0,0,-0.590,108,-3.021,-2.148,-0.680,0.879,1.967,2.414,-0.091,84,-0.712,-0.623,-0.246,0.286,0.747,0.730,-1.609,127,-4.318,-2.542,-0.993,-0.060,0.239,2.288,0.509,23,0.043,0.203,0.463,0.768,1.038,0.480,-1.100,119,-4.217,-2.050,-0.281,0.668,0.871,2.602,-1.191,122,-4.248,-2.576,-0.941,0.444,1.516,2.757,-0.707,101,-3.526,-1.788,0.006,0.521,1.487,1.931,-0.707,101,-3.526,-1.788,0.006,0.521,1.487,1.931,16.195,6,2.601,13.227,17.778,19.380,28.527,9.195,-0.004,71,-0.185,-0.143,0.016,0.066,0.181,0.140
"Ventura, Kristoffer",7,12,8,0,0,0,0,0.308,36,-2.009,-0.228,0.321,0.768,2.698,1.751,0.003,74,-1.651,-0.340,0.256,0.616,1.095,1.051,-1.423,126,-3.102,-1.875,-1.019,-0.711,-0.526,1.080,0.233,52,-0.689,-0.204,0.169,0.639,1.276,0.762,-1.190,121,-3.034,-1.334,-1.137,-0.499,0.057,1.231,-1.187,121,-4.024,-1.386,-0.942,-0.148,0.618,1.774,-0.761,102,-2.709,-1.301,-0.740,-0.205,1.058,1.320,-0.761,102,-2.709,-1.301,-0.740,-0.205,1.058,1.320,4.505,43,-11.085,-2.519,3.203,10.631,21.799,12.065,0.001,66,-0.114,-0.067,-0.005,0.061,0.135,0.090
"Smotherman, Austin",2,3,2,0,0,1,1,-1.144,128,-1.537,-1.362,-1.144,-0.925,-0.751,0.618,-0.602,125,-1.447,-1.072,-0.602,-0.133,0.243,1.328,-0.332,95,-0.578,-0.468,-0.332,-0.195,-0.086,0.386,0.564,19,0.115,0.315,0.564,0.813,1.013,0.705,0.232,57,-0.462,-0.154,0.232,0.618,0.927,1.091,-0.370,92,-1.910,-1.225,-0.370,0.485,1.169,2.419,-0.797,103,-2.533,-1.514,-0.240,0.198,0.548,1.778,-0.797,103,-2.533,-1.514,-0.240,0.198,0.548,1.778,-9.018,118,-21.155,-13.640,-4.247,-2.010,-0.220,12.342,0.045,29,-0.068,-0.009,0.066,0.109,0.144,0.119
"Walker, Danny",8,20,10,0,0,0,1,-0.208,79,-1.737,-0.609,-0.421,0.358,1.321,1.129,0.101,54,-1.577,-0.753,0.439,0.768,1.629,1.218,-0.453,108,-2.820,-1.013,-0.217,0.503,1.149,1.488,-0.173,89,-1.248,-0.595,-0.204,0.306,0.809,0.741,-0.627,103,-2.772,-0.863,-0.531,-0.074,1.030,1.387,-0.526,103,-3.856,-1.750,-0.011,1.149,1.947,2.219,-0.821,104,-4.818,-2.502,0.063,0.667,2.080,2.481,-0.821,104,-4.818,-2.502,0.063,0.667,2.080,2.481,7.043,28,-7.163,-1.618,5.616,15.593,22.159,10.677,-0.100,126,-0.275,-0.159,-0.102,-0.022,0.074,0.120
"Wallace, Matt",6,12,5,0,0,0,0,-0.995,124,-2.450,-2.098,-1.329,-0.232,0.931,1.517,-0.110,88,-0.643,-0.312,0.056,0.123,0.273,0.412,-0.355,98,-1.482,-1.364,-0.467,-0.260,1.407,1.335,-0.029,69,-0.477,-0.393,-0.328,-0.272,1.022,0.773,-0.384,96,-1.850,-1.636,-0.794,-0.757,2.384,2.050,-0.494,99,-1.878,-1.594,-0.701,-0.671,1.821,1.734,-0.832,105,-3.443,-2.114,-0.747,0.731,1.558,1.854,-0.832,105,-3.443,-2.114,-0.747,0.731,1.558,1.854,-2.649,86,-10.235,-8.186,-3.950,1.566,7.956,7.094,0.025,43,-0.179,-0.069,0.046,0.121,0.211,0.136
