"Last Name","First Name","SHORT GAME","APPROACH","Driving-Distance","Driving-Accuracy","Total SG Adjustment","putting-2-5ft","putting-5-30ft","putting-30+","aroundgreen-Fairway","aroundgreen-Rought","approach-50-100","main-text 8","approach-150-200","approach-200+"
"WALLACE","MATT","-0.01","-0.01","+0.00","+0.00","-0.02","7.0","11.6","3.3","2.9","2.4","2.9","5.6","5.1","4.2"
"KANAYA","TAKUMI","-0.04","+0.01","+0.01","-0.01","-0.02","7.0","11.5","3.4","3.1","2.8","2.6","5.7","5.7","4.1"
"HOSSLER","BEAU","-0.03","+0.00","+0.00","+0.00","-0.03","7.0","11.6","3.4","3.0","2.7","2.9","5.6","5.2","4.2"
"KUCHAR","MATT","-0.04","+0.01","+0.02","-0.01","-0.03","7.0","11.5","3.4","3.0","2.7","2.3","5.9","6.1","3.9"
"PHILLIPS","CHANDLER","-0.04","+0.01","+0.00","-0.00","-0.03","7.0","11.5","3.4","3.0","2.7","2.8","5.7","5.4","4.1"
"HOJGAARD","NICOLAI","-0.01","-0.01","-0.02","+0.01","-0.03","7.0","11.7","3.3","2.9","2.4","3.5","5.4","4.2","4.6"
"KIM","MICHAEL","-0.03","-0.01","+0.00","+0.01","-0.03","7.0","11.7","3.4","2.9","2.4","2.9","5.7","5.2","4.2"
"FOWLER","RICKIE","-0.01","-0.01","+0.00","-0.01","-0.03","7.1","11.8","3.3","2.9","2.5","2.9","5.6","5.1","4.3"
"KNAPP","JAKE","-0.01","-0.01","-0.01","+0.01","-0.03","7.1","11.9","3.4","2.9","2.5","3.3","5.4","4.5","4.5"
"CONNERS","COREY","-0.00","-0.02","+0.00","-0.01","-0.03","7.1","11.8","3.3","2.9","2.4","2.9","5.6","5.2","4.3"
"HUGHES","MACKENZIE","-0.05","+0.01","-0.00","+0.01","-0.03","6.9","11.4","3.3","3.0","2.7","3.0","5.6","5.0","4.2"
"BRADLEY","KEEGAN","-0.02","-0.01","-0.01","+0.00","-0.03","7.0","11.6","3.3","2.9","2.4","3.1","5.5","4.8","4.4"
"THORBJORNSEN","MICHAEL","-0.01","-0.01","-0.01","-0.00","-0.03","7.0","11.7","3.3","2.9","2.5","3.2","5.4","4.7","4.5"
"IM","SUNGJAE","-0.04","+0.01","+0.00","-0.01","-0.04","6.9","11.5","3.3","3.0","2.7","2.9","5.6","5.2","4.3"
"TAYLOR","NICK","-0.04","-0.00","+0.01","-0.01","-0.04","7.0","11.6","3.4","2.9","2.5","2.7","5.7","5.5","4.1"
"HALL","HARRY","-0.05","+0.00","+0.00","+0.01","-0.04","6.9","11.4","3.3","2.9","2.6","2.9","5.7","5.2","4.2"
"SPAUN","J.J.","-0.01","-0.02","+0.00","-0.01","-0.04","7.0","11.7","3.2","2.8","2.3","2.9","5.6","5.1","4.3"
"COLE","ERIC","-0.05","-0.01","+0.00","+0.01","-0.04","7.0","11.5","3.3","2.9","2.5","2.9","5.7","5.2","4.2"
"BRIDGEMAN","JACOB","-0.03","-0.01","-0.00","-0.00","-0.04","7.1","11.7","3.3","2.9","2.5","2.9","5.6","5.1","4.3"
"MCCARTHY","DENNY","-0.05","-0.00","+0.01","+0.00","-0.04","7.0","11.6","3.4","2.9","2.5","2.7","5.8","5.5","4.1"
"PUTNAM","ANDREW","-0.04","-0.00","+0.02","-0.02","-0.04","7.0","11.5","3.4","2.9","2.5","2.2","5.9","6.3","3.8"
"BEZUIDENHOUT","CHRISTIAAN","-0.04","-0.01","+0.01","-0.01","-0.04","7.0","11.6","3.3","2.9","2.4","2.6","5.8","5.6","4.0"
"MEISSNER","MAC","-0.04","-0.01","-0.00","+0.00","-0.05","7.0","11.6","3.3","2.9","2.5","3.0","5.6","5.1","4.3"
"GOTTERUP","CHRIS","-0.03","-0.02","-0.02","+0.01","-0.05","7.1","11.8","3.3","2.9","2.4","3.5","5.4","4.2","4.6"
"GERARD","RYAN","-0.02","-0.01","-0.00","-0.01","-0.05","7.1","11.8","3.3","2.9","2.4","3.0","5.5","5.0","4.4"
"BHATIA","AKSHAY","-0.04","-0.01","-0.00","+0.00","-0.05","7.0","11.7","3.3","2.9","2.4","2.9","5.6","5.1","4.3"
"KOIVUN","JACKSON","-0.03","-0.01","-0.00","-0.01","-0.05","7.1","11.8","3.3","2.9","2.5","3.0","5.5","5.0","4.4"
"ENGLISH","HARRIS","-0.04","-0.00","-0.00","-0.01","-0.05","7.0","11.6","3.3","2.9","2.6","3.0","5.6","5.0","4.3"
"CANTLAY","PATRICK","-0.03","-0.02","-0.00","-0.00","-0.05","7.0","11.7","3.2","2.8","2.3","3.0","5.5","4.9","4.4"
"SCHAUFFELE","XANDER","-0.02","-0.02","-0.01","-0.00","-0.06","7.0","11.7","3.2","2.8","2.4","3.3","5.4","4.4","4.6"
"MATSUYAMA","HIDEKI","-0.05","-0.01","+0.00","-0.00","-0.07","6.9","11.4","3.2","2.9","2.4","2.9","5.6","5.2","4.2"
"YOUNG","CAMERON","-0.03","-0.02","-0.01","-0.00","-0.07","7.0","11.7","3.2","2.8","2.3","3.3","5.4","4.5","4.6"
"HENLEY","RUSSELL","-0.03","-0.02","+0.01","-0.03","-0.07","7.0","11.7","3.3","2.9","2.4","2.6","5.7","5.6","4.2"
"GRIFFIN","BEN","-0.05","-0.01","-0.00","-0.00","-0.07","6.9","11.5","3.2","2.9","2.4","3.0","5.6","5.0","4.3"
"CLARK","WYNDHAM","-0.06","-0.01","-0.01","+0.01","-0.07","6.9","11.5","3.2","2.9","2.4","3.2","5.5","4.7","4.4"
"KIM","SI WOO","-0.03","-0.02","+0.00","-0.02","-0.07","7.0","11.6","3.2","2.8","2.3","2.8","5.6","5.3","4.3"
