event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
Rocket Classic,Detroit Golf Club,"Greyserman, Max",23465,51977,98,83,99,1:27 PM,late,1,8:17 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Griffin, Ben",24968,54591,21,19,36,12:54 PM,late,1,7:44 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Griffin, Lanto",15330,35310,245,226,154,7:00 AM,early,1,12:10 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Grillo, Emiliano",12808,31646,89,101,103,7:11 AM,early,1,12:21 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hall, Harry",27194,57975,78,86,60,8:17 AM,early,1,1:27 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Henley, Russell",14578,34098,9,5,14,12:43 PM,late,1,7:33 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Higgo, Garrick",24342,54421,232,110,161,12:43 PM,late,10,7:33 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Highsmith, Joe",28469,60067,397,193,153,12:54 PM,late,10,7:44 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hirata, Kensei",20954,49120,null,316,166,8:39 AM,early,1,1:49 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hisatsune, Ryo",22760,51287,70,65,40,12:32 PM,late,1,7:22 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hodges, Lee",25157,54628,118,122,100,12:32 PM,late,1,7:22 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hoey, Rico",23504,51696,168,112,120,12:21 PM,late,1,7:11 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hoge, Tom",15575,35532,179,118,77,1:27 PM,late,1,8:17 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hojgaard, Nicolai",23602,52453,43,38,30,1:16 PM,late,10,8:06 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hojgaard, Rasmus",23838,52686,133,95,125,1:38 PM,late,10,8:28 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hooks, Joe",33913,59862,null,null,null,8:50 AM,early,10,2:00 PM,late,1,null,null,null,null,null,null,1
