player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Koepka, Brooks",16243,pga,pga,pga-the cj cup byron nelson-T14_pga-rbc canadian open-WD_major-u.s. open-CUT_pga-genesis scottish open-CUT_major-the open championship-T28,0.7,0.3
"McCarthy, Denny",19870,pga,pga,pga-rbc canadian open-T60_pga-travelers championship-T14_pga-john deere classic-CUT_pga-isco championship-T39_pga-3m open-T3,0.7,0.18
"Potgieter, Aldrich",27900,pga,pga,pga-rbc canadian open-T8_pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-T59_pga-3m open-CUT,0.69,0.77
"Svensson, Jesper",26850,pga,pga,pga-the cj cup byron nelson-T9_pga-rbc canadian open-T4_pga-genesis scottish open-T52_major-the open championship-78_pga-3m open-T44,0.67,1.04
"Horschel, Billy",11276,pga,pga,pga-rbc canadian open-T15_major-u.s. open-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-3m open-T13,0.65,0.71
"Yu, Kevin",17881,pga,pga,pga-rbc canadian open-T29_pga-john deere classic-T15_pga-genesis scottish open-CUT_pga-corales puntacana championship-T24_pga-3m open-T16,0.57,0.54
"Thompson, Davis",27364,pga,pga,pga-rbc canadian open-T45_major-u.s. open-CUT_pga-john deere classic-T26_pga-isco championship-CUT_pga-3m open-T7,0.56,0.09
"Echavarria, Nico",22833,pga,pga,pga-the memorial tournament presented by workday-T40_major-u.s. open-T56_pga-travelers championship-T30_pga-genesis scottish open-T36_major-the open championship-T67,0.5,0.19
"Meissner, Mac",28159,pga,pga,pga-rbc canadian open-CUT_pga-travelers championship-T44_pga-john deere classic-T6_pga-genesis scottish open-T30_pga-3m open-CUT,0.46,-0.46
"Mouw, William",29770,pga,pga,pga-rbc canadian open-T20_major-u.s. open-T65_pga-john deere classic-T26_pga-isco championship-T10_pga-3m open-CUT,0.44,0.19
"Fisk, Steven",26657,pga,pga,pga-charles schwab challenge-T10_pga-rbc canadian open-CUT_pga-john deere classic-T67_pga-isco championship-1_pga-3m open-CUT,0.44,0.31
"McGreevy, Max",23505,pga,pga,major-u.s. open-T32_pga-john deere classic-T51_pga-genesis scottish open-CUT_pga-corales puntacana championship-T11_pga-3m open-CUT,0.42,0.03
"Hisatsune, Ryo",22760,pga,pga,pga-the memorial tournament presented by workday-52_major-u.s. open-T43_pga-travelers championship-T38_pga-john deere classic-T9_major-the open championship-T53,0.4,0.07
"Chatfield, Davis",30620,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T33_pga-isco championship-T5_pga-corales puntacana championship-T34_pga-3m open-T16,0.4,0.83
"Power, Seamus",10104,pga,pga,pga-charles schwab challenge-T54_pga-rbc canadian open-CUT_pga-john deere classic-WD_pga-corales puntacana championship-T11_pga-3m open-T10,0.39,0.18
