"RANK","PLAYER","STATUS","PAR 5 AVG","TOTAL PAR"
"141","Brice Garnett","-49","4.65","710"
"141","Hank Lebioda","-49","4.72","860"
"141","Brandt Snedeker","-49","4.65","710"
"145","Nico Echavarria","-48","4.77","1,030"
"145","Garrick Higgo","-48","4.71","820"
"145","Kensei Hirata","-48","4.68","760"
"148","Brian Campbell","-47","4.74","910"
"148","Lanto Griffin","-47","4.61","610"
"150","Rafael Campos","-46","4.64","640"
"150","Keita Nakajima","-46","4.60","575"
"150","Adrien Saddier","-46","4.65","660"
"153","Alejandro Tosti","-45","4.67","690"
"154","Marco Penge","-44","4.67","670"
"154","Marcelo Rozo","-44","4.66","650"
"156","Nick Dunlap","-41","4.67","620"
"157","Luke Clanton","-39","4.72","690"
"158","Camilo Villegas","-38","4.71","650"
