"RANK","PLAYER","STATUS","PAR 5 AVG","TOTAL PAR"
"1","Vince Whaley","-157","4.50","1,570"
"2","Ben Griffin","-155","4.52","1,610"
"3","Rico Hoey","-152","4.51","1,550"
"4","Jesper Svensson","-142","4.49","1,400"
"5","Si Woo Kim","-138","4.54","1,510"
"5","Kevin Yu","-138","4.53","1,470"
"7","Scottie Scheffler","-136","4.44","1,220"
"8","Harry Hall","-135","4.52","1,420"
"8","Max McGreevy","-135","4.53","1,430"
"10","Jake Knapp","-134","4.47","1,270"
"11","Max Greyserman","-133","4.55","1,480"
"12","Michael Thorbjornsen","-132","4.50","1,320"
"13","Sungjae Im","-130","4.55","1,450"
"14","Keith Mitchell","-128","4.51","1,310"
"14","Davis Thompson","-128","4.56","1,460"
"16","Mark Hubbard","-127","4.58","1,500"
"16","Taylor Moore","-127","4.52","1,320"
"18","Sam Burns","-125","4.57","1,460"
"19","Chris Gotterup","-124","4.55","1,380"
"19","Beau Hossler","-124","4.59","1,500"
"21","Steven Fisk","-122","4.54","1,320"
"21","David Lipsky","-122","4.53","1,310"
"21","Matti Schmid","-122","4.56","1,380"
"24","Patrick Rodgers","-121","4.60","1,530"
"25","Andrew Novak","-120","4.55","1,330"
"25","Kevin Roy","-120","4.57","1,390"
"25","Kris Ventura","-120","4.56","1,370"
"28","Doug Ghim","-119","4.57","1,390"
"28","Ryo Hisatsune","-119","4.60","1,470"
"28","Maverick McNealy","-119","4.59","1,440"
"28","Matt Wallace","-119","4.51","1,225"
"32","Michael Kim","-118","4.60","1,460"
"32","Taylor Pendrith","-118","4.52","1,230"
"32","Sepp Straka","-118","4.50","1,190"
"35","Nico Echavarria","-117","4.58","1,390"
"36","Emiliano Grillo","-116","4.60","1,435"
"36","Alex Smalley","-116","4.57","1,340"
"36","Cameron Young","-116","4.57","1,340"
"39","Davis Riley","-115","4.57","1,340"
"39","J.J. Spaun","-115","4.59","1,395"
"39","Sami Valimaki","-115","4.59","1,390"
"42","Tom Hoge","-114","4.61","1,480"
"42","Chan Kim","-114","4.57","1,330"
"42","Sam Stevens","-114","4.65","1,620"
"45","Kurt Kitayama","-112","4.48","1,080"
"45","Matt McCarty","-112","4.58","1,340"
"45","Thorbjørn Olesen","-112","4.54","1,230"
"48","Wyndham Clark","-111","4.57","1,280"
"48","Stephan Jaeger","-111","4.62","1,455"
"48","Chad Ramey","-111","4.60","1,380"
"51","Seamus Power","-110","4.59","1,330"
"52","Matt Fitzpatrick","-109","4.53","1,150"
"52","Lee Hodges","-109","4.54","1,190"
"52","Robert MacIntyre","-109","4.54","1,180"
"52","Hayden Springer","-109","4.54","1,180"
"56","Jacob Bridgeman","-108","4.63","1,440"
"56","Eric Cole","-108","4.68","1,700"
"56","Antoine Rozner","-108","4.56","1,240"
"59","Harris English","-107","4.60","1,330"
"59","J.T. Poston","-107","4.63","1,430"
"61","Victor Perez","-106","4.59","1,300"
"61","Adam Svensson","-106","4.59","1,280"
"63","Jackson Suber","-105","4.56","1,180"
"63","Justin Thomas","-105","4.59","1,290"
"65","Ricky Castillo","-104","4.60","1,300"
"65","Ryan Gerard","-104","4.65","1,470"
"65","Mac Meissner","-104","4.61","1,330"
"65","Aaron Rai","-104","4.54","1,130"
"69","Patrick Fishburn","-103","4.62","1,350"
"69","Hideki Matsuyama","-103","4.59","1,270"
"69","Henrik Norlander","-103","4.62","1,370"
"69","Andrew Putnam","-103","4.60","1,295"
"69","Xander Schauffele","-103","4.46","960"
"74","Austin Eckroat","-102","4.63","1,370"
"74","Tommy Fleetwood","-102","4.55","1,140"
"74","Brian Harman","-102","4.62","1,330"
"74","Takumi Kanaya","-102","4.61","1,300"
"74","Ben Kohles","-102","4.63","1,360"
"79","Harry Higgs","-100","4.63","1,350"
"79","Justin Lower","-100","4.61","1,290"
"79","Thomas Rosenmueller","-100","4.60","1,260"
"79","Adam Schenk","-100","4.59","1,220"
"79","Greyson Sigg","-100","4.61","1,270"
"84","Corey Conners","-99","4.61","1,270"
"84","Tom Kim","-99","4.64","1,360"
"86","Quade Cummins","-98","4.63","1,330"
"86","Trey Mullinax","-98","4.57","1,140"
"86","Adam Scott","-98","4.52","1,030"
"89","Keegan Bradley","-97","4.61","1,240"
"89","Joe Highsmith","-97","4.62","1,270"
"91","Akshay Bhatia","-96","4.65","1,380"
"91","Pierceson Coody","-96","4.42","830"
"91","Joel Dahmen","-96","4.61","1,220"
"91","Noah Goodwin","-96","4.59","1,180"
"91","Adam Hadwin","-96","4.65","1,380"
"91","Luke List","-96","4.60","1,205"
"91","Denny McCarthy","-96","4.64","1,330"
"91","Jeremy Paul","-96","4.61","1,220"
"99","Christiaan Bezuidenhout","-95","4.65","1,370"
"99","Chandler Phillips","-95","4.63","1,300"
"99","Jordan Spieth","-95","4.55","1,050"
"99","Nick Taylor","-95","4.61","1,230"
"103","Luke Clanton","-94","4.49","920"
"103","Rickie Fowler","-94","4.60","1,165"
"103","Mackenzie Hughes","-94","4.66","1,380"
"103","Collin Morikawa","-94","4.60","1,180"
"107","Ludvig Åberg","-93","4.56","1,050"
"107","Chris Kirk","-93","4.62","1,210"
"107","John Pak","-93","4.62","1,230"
"107","Isaiah Salinda","-93","4.62","1,210"
