"RANK","PLAYER","TOTAL","TOTAL PAR 5 HOLES","TOTAL HOLE OUT"
"1","Rico Hoey","15","310","4"
"1","Jesper Svensson","15","280","3"
"3","Alejandro Tosti","14","176","2"
"4","Nico Echavarria","13","278","1"
"4","Ryan Gerard","13","294","4"
"4","Kurt Kitayama","13","216","5"
"4","David Skinns","13","242","1"
"4","Alex Smalley","13","268","1"
"9","Steven Fisk","12","264","2"
"9","Sungjae Im","12","290","3"
"9","Antoine Rozner","12","248","4"
"9","Michael Thorbjornsen","12","264","2"
"9","Matt Wallace","12","245","3"
"14","Ben Griffin","11","322","1"
"14","Justin Lower","11","258","1"
"14","Rory McIlroy","11","172","1"
"14","Kevin Roy","11","278","2"
"14","Scottie Scheffler","11","244","3"
"14","Jackson Suber","11","236","2"
"14","Davis Thompson","11","292","1"
"14","Kevin Yu","11","294","2"
"22","Matt Fitzpatrick","10","230","2"
"22","Will Gordon","10","200","1"
"22","Rasmus Højgaard","10","202","2"
"22","Max McGreevy","10","286","0"
"22","Maverick McNealy","10","288","4"
"22","Keith Mitchell","10","262","1"
"22","Taylor Moore","10","264","1"
"22","Andrew Novak","10","266","5"
"22","Isaiah Salinda","10","242","2"
"22","Sami Valimaki","10","278","4"
"32","Keegan Bradley","9","248","4"
"32","Patrick Cantlay","9","244","2"
"32","Quade Cummins","9","266","4"
"32","Cam Davis","9","194","3"
"32","Jason Day","9","198","5"
"32","Chris Gotterup","9","276","0"
"32","Max Greyserman","9","296","3"
"32","Lee Hodges","9","238","1"
"32","Chan Kim","9","266","0"
"32","Tom Kim","9","272","2"
"32","Jake Knapp","9","254","1"
"32","Thorbjørn Olesen","9","246","0"
"32","Jordan Spieth","9","210","4"
"32","Sam Stevens","9","324","1"
"32","Karl Vilips","9","188","2"
"47","Christiaan Bezuidenhout","8","274","1"
"47","Sam Burns","8","292","2"
"47","Trevor Cone","8","218","1"
"47","Austin Eckroat","8","274","2"
"47","Harry Hall","8","284","2"
"47","Tom Hoge","8","296","2"
"47","Si Woo Kim","8","302","5"
"47","Chris Kirk","8","242","1"
"47","Denny McCarthy","8","266","1"
"47","Collin Morikawa","8","236","0"
"47","Trey Mullinax","8","228","0"
"47","Henrik Norlander","8","274","1"
"47","Matthieu Pavon","8","260","0"
"47","Taylor Pendrith","8","246","2"
"47","Davis Riley","8","268","2"
"47","Greyson Sigg","8","254","2"
"47","Hayden Springer","8","236","1"
"47","Erik van Rooyen","8","214","3"
"47","Kris Ventura","8","274","3"
"66","Ludvig Åberg","7","210","1"
"66","Ricky Castillo","7","260","3"
"66","Wyndham Clark","7","256","0"
"66","Eric Cole","7","340","1"
"66","Corey Conners","7","254","0"
"66","Thomas Detry","7","246","2"
"66","Tony Finau","7","226","0"
"66","Joe Highsmith","7","254","2"
"66","Ryo Hisatsune","7","294","2"
"66","Rikuya Hoshino","7","180","1"
"66","Stephan Jaeger","7","291","0"
"66","Michael Kim","7","292","4"
"66","Ben Kohles","7","272","3"
"66","Luke List","7","241","1"
"66","Ben Martin","7","172","2"
"66","Hideki Matsuyama","7","254","1"
"66","Niklas Norgaard","7","182","0"
"66","J.T. Poston","7","286","4"
"66","Aaron Rai","7","226","2"
"66","Patrick Rodgers","7","306","2"
"66","Thomas Rosenmueller","7","252","1"
"66","Xander Schauffele","7","192","1"
"66","Matti Schmid","7","276","1"
