"RANK","PLAYER","%","PAR 5 BIRDIES OR BETTER","PAR 5 HOLES"
"132","Brandt Snedeker","44.74%","102","228"
"133","Gary Woodland","44.64%","100","224"
"134","Nick Hardy","44.55%","90","202"
"135","Henrik Norlander","44.53%","122","274"
"136","Corey Conners","44.49%","113","254"
"137","Lanto Griffin","44.40%","103","232"
"138","Thomas Detry","44.31%","109","246"
"139","Joel Dahmen","44.26%","108","244"
"140","Chris Kirk","44.21%","107","242"
"141","Adam Hadwin","44.20%","122","276"
"142","Byeong Hun An","44.18%","129","292"
"143","Ben Kohles","44.12%","120","272"
"143","Nate Lashley","44.12%","75","170"
"145","Collin Morikawa","44.07%","104","236"
"146","Quade Cummins","43.98%","117","266"
"146","Brian Harman","43.98%","117","266"
"148","Frankie Capan III","43.89%","97","221"
"149","Chandler Phillips","43.85%","114","260"
"150","Justin Lower","43.80%","113","258"
"151","Mason Andersen","43.75%","98","224"
"151","Nick Dunlap","43.75%","105","240"
"153","Andrew Putnam","43.63%","113","259"
"154","Eric Cole","43.53%","148","340"
"155","Peter Malnati","43.50%","87","200"
"156","Lucas Glover","42.86%","96","224"
"157","Rafael Campos","42.80%","113","264"
"158","Aldrich Potgieter","42.70%","76","178"
"159","Nick Taylor","42.68%","105","246"
"160","Kevin Velo","42.66%","93","218"
"161","Brice Garnett","42.59%","92","216"
"162","Ryan Gerard","42.52%","125","294"
"163","Daniel Berger","42.50%","102","240"
"164","Denny McCarthy","42.48%","113","266"
"165","Will Chandler","42.34%","105","248"
"166","Brian Campbell","42.16%","86","204"
"167","Cristobal Del Solar","42.13%","91","216"
"167","Greyson Sigg","42.13%","107","254"
"169","Christiaan Bezuidenhout","41.97%","115","274"
"170","Takumi Kanaya","41.92%","109","260"
"171","Carson Young","41.67%","105","252"
"172","Matthieu Pavon","41.54%","108","260"
"173","Matthew Riedel","41.36%","91","220"
"174","Mackenzie Hughes","41.30%","114","276"
"175","Matt Kuchar","40.99%","91","222"
"176","Zach Johnson","40.96%","68","166"
"177","Paul Peterson","39.60%","80","202"
"178","Shane Lowry","39.25%","84","214"
"179","Matteo Manassero","38.95%","67","172"
"180","Taylor Dickson","35.19%","76","216"
