"RANK","PLAYER","AVG","TOTAL STROKES","TOTAL HOLES"
"1","Pierceson Coody","4.42","734","166"
"2","Scottie Scheffler","4.44","1,084","244"
"3","Xander Schauffele","4.46","857","192"
"4","Jake Knapp","4.47","1,136","254"
"5","Nicolai Højgaard","4.48","725","162"
"5","Kurt Kitayama","4.48","968","216"
"5","Rory McIlroy","4.48","771","172"
"8","Luke Clanton","4.49","826","184"
"8","Jesper Svensson","4.49","1,258","280"
"10","Sepp Straka","4.50","1,072","238"
"10","Michael Thorbjornsen","4.50","1,188","264"
"10","Vince Whaley","4.50","1,413","314"
"13","Rico Hoey","4.51","1,398","310"
"13","Ben Martin","4.51","776","172"
"13","Keith Mitchell","4.51","1,182","262"
"13","Matt Wallace","4.51","1,106","245"
"17","Ben Griffin","4.52","1,455","322"
"17","Harry Hall","4.52","1,285","284"
"17","Taylor Moore","4.52","1,193","264"
"17","Taylor Pendrith","4.52","1,112","246"
"17","Adam Scott","4.52","932","206"
"22","Joseph Bramlett","4.53","688","152"
"22","Matt Fitzpatrick","4.53","1,041","230"
"22","Garrick Higgo","4.53","724","160"
"22","David Lipsky","4.53","1,188","262"
"22","Max McGreevy","4.53","1,295","286"
"22","Kevin Yu","4.53","1,332","294"
"28","Steven Fisk","4.54","1,198","264"
"28","Lee Hodges","4.54","1,081","238"
"28","Si Woo Kim","4.54","1,372","302"
"28","Robert MacIntyre","4.54","1,071","236"
"28","Thorbjørn Olesen","4.54","1,118","246"
"28","Ryan Palmer","4.54","818","180"
"28","Aaron Rai","4.54","1,026","226"
"28","Hayden Springer","4.54","1,071","236"
"36","Hayden Buckley","4.55","891","196"
"36","Tommy Fleetwood","4.55","1,038","228"
"36","Chris Gotterup","4.55","1,256","276"
"36","Max Greyserman","4.55","1,347","296"
"36","Sungjae Im","4.55","1,320","290"
"36","Andrew Novak","4.55","1,210","266"
"36","Jordan Spieth","4.55","955","210"
"43","Ludvig Åberg","4.56","957","210"
"43","Will Gordon","4.56","912","200"
"43","Niklas Norgaard","4.56","830","182"
"43","Antoine Rozner","4.56","1,132","248"
"43","Matti Schmid","4.56","1,258","276"
"43","Jackson Suber","4.56","1,075","236"
"43","Davis Thompson","4.56","1,332","292"
"43","Kris Ventura","4.56","1,250","274"
"51","Sam Burns","4.57","1,335","292"
"51","Wyndham Clark","4.57","1,169","256"
"51","Doug Ghim","4.57","1,271","278"
"51","Viktor Hovland","4.57","904","198"
"51","Chan Kim","4.57","1,216","266"
"51","Taylor Montgomery","4.57","959","210"
"51","Trey Mullinax","4.57","1,042","228"
"51","Davis Riley","4.57","1,225","268"
"51","Justin Rose","4.57","831","182"
"51","Kevin Roy","4.57","1,270","278"
"51","Alex Smalley","4.57","1,224","268"
"51","Cameron Young","4.57","1,224","268"
"63","Trevor Cone","4.58","999","218"
"63","Nico Echavarria","4.58","1,273","278"
"63","Ryan Fox","4.58","952","208"
"63","Mark Hubbard","4.58","1,373","300"
"63","Matt McCarty","4.58","1,228","268"
"63","Alejandro Tosti","4.58","806","176"
"69","Noah Goodwin","4.59","1,084","236"
"69","Russell Henley","4.59","1,000","218"
"69","Beau Hossler","4.59","1,376","300"
"69","Patton Kizzire","4.59","977","213"
"69","Hideki Matsuyama","4.59","1,167","254"
"69","Maverick McNealy","4.59","1,321","288"
"69","Victor Perez","4.59","1,194","260"
"69","Seamus Power","4.59","1,220","266"
"69","Adam Schenk","4.59","1,120","244"
"69","J.J. Spaun","4.59","1,280","279"
"69","Adam Svensson","4.59","1,174","256"
"69","Justin Thomas","4.59","1,185","258"
"69","Sami Valimaki","4.59","1,275","278"
"69","Erik van Rooyen","4.59","983","214"
"83","Ricky Castillo","4.60","1,196","260"
"83","Harris English","4.60","1,223","266"
"83","Rickie Fowler","4.60","1,071","233"
"83","Emiliano Grillo","4.60","1,319","287"
"83","Ryo Hisatsune","4.60","1,351","294"
"83","Rasmus Højgaard","4.60","929","202"
"83","Rikuya Hoshino","4.60","828","180"
"83","Michael Kim","4.60","1,342","292"
"83","Luke List","4.60","1,109","241"
"83","Collin Morikawa","4.60","1,086","236"
"83","Andrew Putnam","4.60","1,192","259"
"83","Chad Ramey","4.60","1,269","276"
"83","Patrick Rodgers","4.60","1,409","306"
"83","Thomas Rosenmueller","4.60","1,160","252"
"83","Ben Silverman","4.60","1,030","224"
"83","Karl Vilips","4.60","864","188"
"83","Danny Walker","4.60","1,057","230"
"83","Tim Widing","4.60","717","156"
"101","Keegan Bradley","4.61","1,143","248"
"101","Corey Conners","4.61","1,171","254"
"101","Joel Dahmen","4.61","1,124","244"
"101","Jason Day","4.61","913","198"
"101","Tom Hoge","4.61","1,366","296"
"101","Takumi Kanaya","4.61","1,198","260"
"101","Nate Lashley","4.61","784","170"
"101","Min Woo Lee","4.61","958","208"
"101","Justin Lower","4.61","1,190","258"
"101","Mac Meissner","4.61","1,226","266"
"101","Jeremy Paul","4.61","1,124","244"
"101","Greyson Sigg","4.61","1,170","254"
"101","Brandt Snedeker","4.61","1,052","228"
"101","Nick Taylor","4.61","1,135","246"
"115","Zac Blair","4.62","877","190"
"115","Patrick Fishburn","4.62","1,247","270"
"115","Lanto Griffin","4.62","1,071","232"
"115","Brian Harman","4.62","1,228","266"
"115","Joe Highsmith","4.62","1,173","254"
"115","Stephan Jaeger","4.62","1,344","291"
"115","Chris Kirk","4.62","1,117","242"
"115","William Mouw","4.62","1,062","230"
"115","Henrik Norlander","4.62","1,267","274"
"115","John Pak","4.62","1,137","246"
"115","Isaiah Salinda","4.62","1,117","242"
"115","Braden Thornberry","4.62","933","202"
"127","Jacob Bridgeman","4.63","1,332","288"
"127","Bud Cauley","4.63","981","212"
"127","Quade Cummins","4.63","1,232","266"
"127","Austin Eckroat","4.63","1,268","274"
"127","Brice Garnett","4.63","999","216"
"127","Harry Higgs","4.63","1,250","270"
"127","Ben Kohles","4.63","1,258","272"
