POS,PLAYER,THRU,R3,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
1,Viktor Hovland,-20,64,2.979,(1st),3.823,(8th),-0.026,(34th),5.78,(1st),12.555,(1st)
2,Scottie Scheffler,-19,67,1.775,(9th),4.655,(6th),0.659,(25th),4.467,(7th),11.555,(2nd)
T3,Patrick Cantlay,-15,64,0.412,(30th),5.797,(4th),-1.436,(59th),2.783,(18th),7.555,(T3)
T3,Akshay Bhatia,-15,67,0.692,(26th),1.314,(23rd),0.345,(29th),5.205,(3rd),7.555,(T3)
T5,Shane Lowry,-13,64,2.907,(2nd),2.758,(12th),0.111,(31st),-0.22,(35th),5.555,(T5)
T5,Wyndham Clark,-13,65,-1.641,(63rd),-1.219,(48th),3.486,(2nd),4.93,(5th),5.555,(T5)
T5,Matt Fitzpatrick,-13,67,1.519,(13th),1.882,(18th),2.74,(T5),-0.585,(44th),5.555,(T5)
T5,Ben Griffin,-13,67,-0.019,(39th),0.296,(34th),1.638,(13th),3.641,(13th),5.555,(T5)
T5,Eric Cole,-13,69,-1.897,(T64),3.412,(10th),1.987,(11th),2.054,(23rd),5.555,(T5)
T10,Keith Mitchell,-12,63,1.532,(11th),1.177,(25th),-1.051,(54th),2.898,(16th),4.555,(T10)
T10,Si Woo Kim,-12,65,1.073,(T20),2.675,(13th),-0.756,(50th),1.564,(24th),4.555,(T10)
T10,Sam Burns,-12,66,1.77,(10th),3.016,(11th),-0.617,(45th),0.387,(30th),4.555,(T10)
T10,Justin Rose,-12,67,-1.896,(T64),0.302,(33rd),1.609,(14th),4.541,(6th),4.555,(T10)
T14,Brian Harman,-11,63,0.036,(37th),6.129,(2nd),-0.057,(35th),-2.552,(58th),3.555,(T14)
T14,Collin Morikawa,-11,64,2.833,(3rd),4.793,(5th),-3.151,(70th),-0.919,(45th),3.555,(T14)
T14,Chris Gotterup,-11,63,0.067,(36th),0.291,(35th),-0.953,(52nd),4.151,(9th),3.555,(T14)
T14,Jackson Suber,-11,64,2.548,(4th),-0.138,(40th),2.234,(8th),-1.088,(46th),3.555,(T14)
T14,Alex Fitzpatrick,-11,64,2.328,(5th),3.835,(7th),-0.683,(48th),-1.924,(53rd),3.555,(T14)
T14,Justin Thomas,-11,65,1.193,(19th),-0.094,(38th),2.738,(T5),-0.281,(38th),3.555,(T14)
T14,Robert MacIntyre,-11,67,0.453,(29th),2.149,(16th),0.754,(23rd),0.2,(33rd),3.555,(T14)
T14,J.J. Spaun,-11,68,-0.356,(43rd),1.502,(19th),-0.358,(42nd),2.768,(19th),3.555,(T14)
T22,Hideki Matsuyama,-10,66,1.075,(T20),-0.363,(41st),1.077,(22nd),0.767,(28th),2.555,(T22)
T22,Sungjae Im,-10,66,1.229,(T17),-1.652,(52nd),-1.248,(58th),4.227,(8th),2.555,(T22)
T22,Aaron Rai,-10,67,1.045,(22nd),0.423,(30th),1.384,(T15),-0.296,(39th),2.555,(T22)
T22,Kristoffer Reitan,-10,68,0.664,(T27),-2.63,(59th),-1.139,(56th),5.661,(2nd),2.555,(T22)
T22,Corey Conners,-10,67,1.423,(16th),1.375,(21st),2.772,(4th),-3.014,(61st),2.555,(T22)
T22,Bud Cauley,-10,70,1.527,(12th),0.047,(37th),2.425,(7th),-1.443,(49th),2.555,(T22)
T28,Russell Henley,-9,65,2.111,(6th),-1.277,(49th),-3.266,(71st),3.988,(10th),1.555,(T28)
T28,Denny McCarthy,-9,66,-0.576,(49th),-0.879,(43rd),0.215,(30th),2.796,(17th),1.555,(T28)
T28,Nico Echavarria,-9,68,-1.545,(62nd),3.699,(9th),1.251,(19th),-1.849,(52nd),1.555,(T28)
T28,Kurt Kitayama,-9,69,-0.505,(45th),6.591,(1st),-1.932,(63rd),-2.598,(59th),1.555,(T28)
T28,Tommy Fleetwood,-9,70,0.149,(33rd),0.396,(32nd),1.179,(20th),-0.168,(34th),1.555,(T28)
T33,Matt McCarty,-8,63,-0.864,(52nd),5.865,(3rd),-0.872,(51st),-3.573,(62nd),0.555,(T33)
T33,Ryo Hisatsune,-8,64,-0.561,(48th),1.259,(24th),-0.496,(43rd),0.354,(32nd),0.555,(T33)
T33,Tom Hoge,-8,65,-2.652,(68th),0.415,(31st),0.623,(26th),2.17,(21st),0.555,(T33)
T33,Daniel Berger,-8,65,-0.804,(51st),2.333,(14th),3.395,(3rd),-4.368,(65th),0.555,(T33)
T33,Harris English,-8,70,0.298,(32nd),1.489,(20th),1.382,(T15),-2.613,(60th),0.555,(T33)
