POS,Player,Total,1,2,3,4,5,6,7,8,9,OUT,10,11,12,13,14,15,16,17,18,IN,TOT,RD3
1,V. Hovland,-20,3,4,3,3,3,5,4,3,4,32,5,2,4,4,4,3,3,4,3,32,64,-6
2,S. Scheffler,-19,4,4,3,4,3,5,4,3,4,34,5,2,4,4,3,3,3,4,5,33,67,-3
T3,P. Cantlay,-15,4,3,3,4,2,5,3,3,4,31,4,2,4,6,3,5,2,4,3,33,64,-6
T3,A. Bhatia,-15,3,3,4,4,3,4,4,2,4,31,4,3,5,4,4,4,3,5,4,36,67,-3
T5,S. Lowry,-13,4,4,4,4,3,4,3,3,4,33,4,2,4,4,4,3,2,4,4,31,64,-6
T5,W. Clark,-13,4,3,4,4,3,5,3,3,4,33,3,3,5,4,4,3,3,3,4,32,65,-5
T5,M. Fitzpatrick,-13,5,3,4,4,3,4,4,3,3,33,4,3,4,4,4,4,3,4,4,34,67,-3
T5,B. Griffin,-13,4,3,3,5,3,4,4,3,4,33,4,2,5,5,4,4,3,3,4,34,67,-3
T5,E. Cole,-13,4,4,4,5,3,6,4,3,4,37,4,3,5,4,4,3,3,3,3,32,69,-1
T10,K. Mitchell,-12,4,3,3,4,3,4,3,4,3,31,4,2,4,5,4,3,2,4,4,32,63,-7
T10,S.W. Kim,-12,4,4,4,4,3,4,3,2,3,31,4,3,4,6,4,3,3,3,4,34,65,-5
T10,S. Burns,-12,5,3,4,4,3,4,4,3,3,33,4,2,4,3,4,5,4,4,3,33,66,-4
T10,J. Rose,-12,5,3,4,4,3,5,4,2,3,33,4,2,4,5,3,5,3,4,4,34,67,-3
T14,B. Harman,-11,3,4,4,4,3,4,4,3,4,33,4,3,3,3,4,3,3,3,4,30,63,-7
T14,C. Morikawa,-11,4,5,4,3,3,4,3,3,3,32,4,3,3,4,5,3,2,4,4,32,64,-6
T14,C. Gotterup,-11,4,3,4,3,2,4,4,2,4,30,4,2,4,4,4,3,3,5,4,33,63,-7
T14,J. Suber,-11,3,4,3,3,3,4,4,3,4,31,4,3,4,4,3,4,2,4,5,33,64,-6
T14,A. Fitzpatrick,-11,3,4,3,5,3,5,3,3,3,32,4,3,4,4,4,4,2,3,4,32,64,-6
T14,J. Thomas,-11,4,3,3,4,3,4,4,3,3,31,4,3,4,5,3,4,2,4,5,34,65,-5
T14,R. MacIntyre,-11,4,4,3,5,3,5,4,3,3,34,4,3,4,4,3,5,3,4,3,33,67,-3
T14,J.J. Spaun,-11,5,3,4,3,3,5,4,2,4,33,4,3,4,5,4,3,3,4,5,35,68,-2
T22,H. Matsuyama,-10,4,4,4,4,3,3,4,3,4,33,4,4,4,4,3,3,3,4,4,33,66,-4
T22,S. Im,-10,3,4,3,4,3,4,5,2,5,33,4,3,4,4,3,4,3,4,4,33,66,-4
T22,A. Rai,-10,4,4,4,4,3,4,4,2,4,33,4,3,4,4,4,4,3,4,4,34,67,-3
T22,K. Reitan,-10,4,5,3,4,3,5,4,3,4,35,4,2,4,5,4,4,3,3,4,33,68,-2
