event_name,course_name,player_name,dg_id,player_num,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
3M Open,TPC Twin Cities,"Dunlap, Nick",28270,59866,12:22 PM,late,1,7:07 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Eckroat, Austin",26653,57362,12:11 PM,late,1,6:56 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Ewart, A.J.",21883,50286,8:24 AM,early,1,1:39 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Fahrny, Brannon",34058,66776,8:46 AM,early,1,2:01 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Finau, Tony",11676,29725,12:44 PM,late,1,7:29 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Fishburn, Patrick",25094,54576,8:24 AM,early,10,1:39 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Fisk, Steven",26657,57123,7:40 AM,early,10,12:55 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Garnett, Brice",11451,29535,12:22 PM,late,10,7:07 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Ghim, Doug",24550,52375,1:06 PM,late,10,7:51 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Glover, Lucas",7399,25900,7:40 AM,early,10,12:55 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Gomez, Fabian",8571,28679,1:17 PM,late,1,8:02 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Gordon, Will",26660,56762,1:17 PM,late,10,8:02 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Greyserman, Max",23465,51977,6:45 AM,early,1,12:00 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Griffin, Lanto",15330,35310,1:17 PM,late,10,8:02 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Grillo, Emiliano",12808,31646,8:02 AM,early,1,1:17 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hadwin, Adam",13965,33399,8:02 AM,early,10,1:17 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hardy, Nick",19865,47988,7:51 AM,early,10,1:06 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Harman, Brian",8825,27644,7:40 AM,early,10,12:55 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Higgo, Garrick",24342,54421,7:40 AM,early,1,12:55 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Higgs, Harry",14140,33597,6:56 AM,early,10,12:11 PM,late,1,null,null,null,null,null,null,2
