position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
T25,"Thorbjornsen, Michael",AN,-2,18,-2,-0.04,273.1,0.57143,1.3,0.77778,29.7014,36.2833,0.67,0.42,1,4,0,2.35,1.68,1.26
T38,"Parry, John",AN,-1,18,-2,1.86,280.7,0.92857,0.33,0.72222,35.2031,22.1667,-0.06,0.22,0.6,4,0,2.35,2.41,2.19
T38,"Norris, Shaun",AN,-1,18,0,-0.77,276.1,0.64286,2.01,0.77778,24.6833,69.4167,-0.67,-0.23,0.5,3,3,0.35,1.02,1.25
T38,"Svensson, Jesper",AN,-1,18,-4,3.52,308.7,0.64286,-1.09,0.61111,35.7179,56.7708,1.35,0.57,0.77778,5,1,4.35,3,2.43
T38,"McIlroy, Rory",AN,-1,18,-3,3.32,317.1,0.57143,-0.92,0.77778,33.1667,41.8333,0.4,0.54,0.66667,6,2,3.35,2.95,2.41
T38,"Bridgeman, Jacob",AN,-1,18,-1,-1.81,274.7,0.35714,1.83,0.66667,30.7372,31.375,1.3,0.03,0.8,6,4,1.35,0.05,0.02
T38,"Cantlay, Patrick",AN,-1,18,-2,0.56,278.2,0.5,1.54,0.77778,25.7407,57.4405,0.2,0.05,0.5,6,3,2.35,2.15,2.1
T38,"Sullivan, Andy",AN,-1,18,-1,1.58,278.6,0.92857,-0.32,0.66667,36.2202,16.4167,0.17,-0.08,0.75,3,0,1.35,1.18,1.26
T38,"Du Plessis, Hennie",AN,-1,18,-1,-0.73,266.4,0.5,1.19,0.61111,30.9833,42.5139,1.55,-0.66,0.55556,4,4,1.35,-0.2,0.47
T38,"Griffin, Ben",AN,-1,18,0,1.26,281.1,0.71429,-0.89,0.55556,37.3214,55.625,-1.12,1.09,0.63636,2,4,0.35,1.46,0.37
T38,"Matsuyama, Hideki",AN,-1,18,-3,1.33,281.2,0.78571,1.03,0.66667,36.9375,50.6944,1.06,-0.06,0.71429,5,1,3.35,2.29,2.36
T38,"Thomas, Justin",AN,-1,18,-1,-2.31,279.7,0.57143,2.78,0.61111,24.9615,22.5417,0.63,0.24,0.66667,5,5,1.35,0.71,0.47
T38,"Taylor, Nick",AN,-1,18,1,-0.76,257,0.5,-1.52,0.38889,28.5,50.3889,1.77,-0.14,0.77778,3,1,-0.65,-2.42,-2.28
T38,"Kobori, Kazuma",AN,-1,18,-1,0.12,267.3,0.64286,0.78,0.61111,25.0889,36.7917,0.09,0.35,0.85714,2,0,1.35,1.26,0.9
T38,"Daffue, MJ",AN,-1,18,2,0.37,311.9,0.57143,0.08,0.72222,23.8819,68.1667,-4,1.9,0.42857,7,8,-1.65,2.35,0.44
T52,"Cole, Eric",AN,0,18,-6,1.65,290.9,0.64286,2.01,0.77778,24.1845,45.8333,2.13,0.56,0.66667,6,0,6.35,4.22,3.66
T52,"Chacarra, Eugenio",AN,0,18,0,0.15,290.2,0.42857,-1.62,0.55556,39.9931,74.2,1.7,0.12,0.55556,3,1,0.35,-1.35,-1.47
T52,"Brennan, Michael",AN,0,18,-2,1.06,286.7,0.5,-0.53,0.5,29.4773,78.5833,2.14,-0.32,0.77778,3,0,2.35,0.21,0.53
T52,"Theegala, Sahith",AN,0,18,-1,0.11,281.3,0.64286,0.93,0.72222,33.7431,78.3333,0.79,-0.49,0.57143,4,3,1.35,0.56,1.04
T52,"Canter, Laurie",AN,0,18,1,-0.51,276.1,0.57143,0.48,0.55556,33.7292,72.9583,0.24,-0.87,0.61538,6,8,-0.65,-0.89,-0.02
T52,"Kitayama, Kurt",AN,0,18,1,0.24,280.1,0.71429,0.52,0.72222,33.7222,57,-1.2,-0.21,0.33333,4,4,-0.65,0.55,0.76
T52,"Jarvis, Casey",AN,0,18,-3,0.52,293.8,0.28571,2.26,0.83333,30.2014,26.1458,2.16,-1.59,0.6,7,3,3.35,1.19,2.79
T52,"Penge, Marco",AN,0,18,-2,1.48,306,0.42857,1.17,0.72222,26.3452,79.5,-0.28,-0.02,0.57143,4,4,2.35,2.63,2.65
T52,"Reitan, Kristoffer",AN,0,18,1,1.23,302.1,0.5,-1.4,0.61111,46.7727,31.2292,1.44,-1.92,0.6,5,3,-0.65,-2.09,-0.17
T52,"Schauffele, Xander",AN,0,18,-1,-1.1,276.7,0.5,1.22,0.66667,24.3125,34.6667,-0.41,1.64,0.83333,6,2,1.35,1.76,0.12
T52,"Fox, Ryan",AN,0,18,-2,0.21,297.6,0.5,1.46,0.66667,37.3571,3.6667,2.27,-1.6,0.5,10,6,2.35,0.08,1.67
T52,"Homa, Max",AN,0,18,-1,-0.31,282.5,0.35714,0.68,0.61111,20.6042,51.3333,0.9,0.08,0.4,6,3,1.35,0.45,0.37
T52,"Fowler, Rickie",AN,0,18,-1,1.31,284.5,0.64286,0.41,0.88889,30.1964,50.8333,-0.26,-0.1,0.5,4,3,1.35,1.61,1.71
T52,"Smalley, Alex",AN,0,18,3,0.51,261.4,0.85714,-1.62,0.5,44.9702,32.3333,0.35,-1.9,0.5,3,4,-2.65,-3,-1.11
T52,"Noren, Alex",AN,0,18,-1,-0.3,275.4,0.42857,3.97,0.83333,35.0625,13.0333,-2.61,0.28,0.8,5,4,1.35,3.95,3.67
T67,"Bradley, Keegan",AN,1,18,2,-0.9,282.5,0.57143,1.41,0.66667,22.8194,40.3958,-1.27,-0.9,0.28571,3,5,-1.65,-0.38,0.51
T67,"Potgieter, Aldrich",AN,1,18,2,0.65,325.3,0.28571,-2.03,0.5,38.1,83.9583,0,-0.28,0.45455,8,6,-1.65,-1.65,-1.37
T67,"Koepka, Brooks",AN,1,18,1,1.42,303.2,0.5,0.2,0.66667,26.0303,80.2917,-2.73,0.46,0.28571,5,6,-0.65,2.08,1.62
T67,"Uihlein, Peter",AN,1,18,-2,-0.03,285.5,0.42857,-1.57,0.55556,30.8333,40.0972,0.61,3.34,0.8,6,5,2.35,1.74,-1.6
T67,"Kataoka, Naoyuki",AN,1,18,-2,-1.21,289.7,0.5,0.72,0.77778,26.256,58.6389,4.21,-1.37,0.5,5,2,2.35,-1.86,-0.49
T67,"Plunkett, Marcus",AN,1,18,1,1.54,290.3,0.5,-2.39,0.55556,38.2847,112.4833,-0.87,1.07,0.63636,4,5,-0.65,0.22,-0.85
T67,"Higa, Kazuki",AN,1,18,-2,0.57,291.4,0.42857,0.38,0.66667,40.2803,30.7333,1.49,-0.09,0.625,6,4,2.35,0.86,0.95
T67,"Ballester, Jose Luis",AN,1,18,0,-1.13,272,0.35714,1.27,0.61111,31.75,50.75,-0.38,0.59,0.625,5,7,0.35,0.72,0.14
T67,"Hisatsune, Ryo",AN,1,18,3,-0.06,264.4,0.71429,0.6,0.55556,41.3452,19.5833,-2.23,-0.96,0.55556,3,3,-2.65,-0.43,0.54
T67,"Lee, Min Woo",AN,1,18,1,0.88,295.4,0.64286,-1.85,0.66667,34.4551,36.3056,-1.54,1.86,0.625,3,7,-0.65,0.89,-0.97
