RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
157,1,63454,Johnny Keefer,-0.430,-10.738,25
158,1,54788,Chandler Blanchet,-0.436,-6.979,16
159,1,63343,Aldrich Potgieter,-0.456,-9.120,20
160,1,66743,Luke Clanton,-0.500,-7.503,15
161,2,61522,Michael Brennan,-0.593,-13.053,22
162,3,56781,Isaiah Salinda,-0.648,-9.068,14
163,3,12716,Charley Hoffman,-0.666,-7.987,12
164,3,35658,Kris Ventura,-0.677,-8.119,12
165,3,63807,Neal Shipley,-0.780,-12.487,16
166,3,32070,Rafael Campos,-1.012,-15.183,15
