RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
132,-7,39997,Corey Conners,3.50,105,30
133,3,60067,Joe Highsmith,3.48,115,33
133,3,34466,Peter Malnati,3.48,87,25
133,3,47347,Adam Schenk,3.48,101,29
136,3,23108,Matt Kuchar,3.44,55,16
137,3,54422,Christo Lamprecht,3.43,79,23
138,3,54788,Chandler Blanchet,3.39,78,23
138,3,48887,Matt Wallace,3.39,78,23
140,0,39971,Sungjae Im,3.38,54,16
141,3,37076,Marcelo Rozo,3.33,70,21
141,3,38991,Alejandro Tosti,3.33,70,21
143,3,32757,Patton Kizzire,3.30,76,23
144,3,36801,Mark Hubbard,3.29,102,31
144,3,63807,Neal Shipley,3.29,69,21
144,3,35658,Kris Ventura,3.29,56,17
147,3,59006,Davis Chatfield,3.21,77,24
147,3,35506,Mackenzie Hughes,3.21,93,29
149,4,66743,Luke Clanton,3.19,67,21
149,4,56781,Isaiah Salinda,3.19,67,21
151,4,27649,Brandt Snedeker,3.18,54,17
152,4,34076,Joel Dahmen,3.17,76,24
152,4,47917,Takumi Kanaya,3.17,111,35
152,4,49766,Hank Lebioda,3.17,92,29
152,-9,46414,Aaron Rai,3.17,76,24
156,3,40162,Justin Lower,3.16,60,19
157,3,54576,Patrick Fishburn,3.11,59,19
158,4,46443,Brian Campbell,3.08,80,26
159,2,49120,Kensei Hirata,3.07,83,27
160,3,47393,Jeffrey Kang,3.04,70,23
161,3,59866,Nick Dunlap,3.00,48,16
161,3,12716,Charley Hoffman,3.00,51,17
163,3,29535,Brice Garnett,2.96,74,25
164,3,25900,Lucas Glover,2.88,49,17
165,3,45157,Cam Davis,2.84,54,19
166,3,54421,Garrick Higgo,2.58,62,24
