RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
113,1,51634,Sahith Theegala,-0.131,-4.588,35
114,1,28252,Seamus Power,-0.158,-3.962,25
115,1,27349,Alex Noren,-0.165,-3.622,22
116,1,35461,Beau Hossler,-0.169,-3.049,18
117,1,36699,Patrick Rodgers,-0.170,-6.307,37
118,1,51766,Wyndham Clark,-0.182,-4.549,25
118,1,55573,John VanDerLaan,-0.182,-3.646,20
120,1,55182,Tom Kim,-0.195,-6.046,31
121,1,37275,Sam Ryder,-0.196,-3.732,19
122,1,57123,Steven Fisk,-0.200,-5.192,26
123,1,31646,Emiliano Grillo,-0.202,-5.659,28
124,1,35506,Mackenzie Hughes,-0.216,-5.619,26
125,1,57975,Harry Hall,-0.240,-5.760,24
126,1,27644,Brian Harman,-0.246,-6.641,27
127,1,25493,Nick Taylor,-0.253,-8.091,32
128,1,54591,Ben Griffin,-0.264,-7.396,28
129,2,22405,Justin Rose,-0.283,-4.526,16
130,2,46717,Viktor Hovland,-0.287,-6.319,22
131,2,47993,Denny McCarthy,-0.298,-9.232,31
132,2,45522,Christiaan Bezuidenhout,-0.306,-7.642,25
133,2,36326,David Lipsky,-0.310,-4.032,13
134,2,48001,Zach Bauchou,-0.311,-9.022,29
135,2,25900,Lucas Glover,-0.319,-5.424,17
136,2,34256,Andrew Putnam,-0.341,-8.535,25
137,2,36801,Mark Hubbard,-0.344,-8.260,24
138,2,39975,Michael Kim,-0.360,-10.428,29
139,2,27214,Kevin Streelman,-0.374,-5.233,14
140,2,60067,Joe Highsmith,-0.376,-11.283,30
141,2,52666,Sami Valimaki,-0.378,-8.325,22
142,2,29725,Tony Finau,-0.398,-12.749,32
143,2,32070,Rafael Campos,-0.412,-6.184,15
144,3,47347,Adam Schenk,-0.434,-11.284,26
145,3,29420,Billy Horschel,-0.465,-14.430,31
146,3,37338,Zecheng Dou,-0.468,-12.647,27
147,3,35532,Tom Hoge,-0.497,-13.417,27
148,3,37076,Marcelo Rozo,-0.505,-7.066,14
149,3,66743,Luke Clanton,-0.514,-7.712,15
150,3,55851,Pontus Nyholm,-0.526,-9.461,18
151,3,60019,Jackson Suber,-0.569,-9.098,16
152,3,51894,Vince Whaley,-0.609,-14.625,24
153,3,54607,Danny Walker,-0.630,-17.644,28
154,3,29535,Brice Garnett,-0.632,-11.373,18
154,3,54304,Karl Vilips,-0.632,-13.273,21
156,3,34466,Peter Malnati,-0.640,-11.516,18
157,3,51977,Max Greyserman,-0.675,-14.166,21
158,3,23108,Matt Kuchar,-0.721,-9.370,13
159,3,27649,Brandt Snedeker,-0.744,-8.922,12
160,3,46443,Brian Campbell,-0.790,-15.801,20
161,3,47591,Eric Cole,-0.886,-23.913,27
162,3,45157,Cam Davis,-0.969,-15.509,16
163,3,32757,Patton Kizzire,-1.058,-22.214,21
164,3,47393,Jeffrey Kang,-1.094,-19.684,18
165,3,47995,Davis Riley,-1.335,-25.369,19
166,3,59866,Nick Dunlap,-1.460,-18.977,13
