player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Perez, Victor",22,84,78,0,1,3,11,0.139,63,-2.556,-0.646,0.198,0.989,2.442,1.582,-0.055,95,-1.574,-0.720,-0.130,0.526,1.599,0.947,0.043,99,-2.278,-0.631,0.032,0.880,2.620,1.368,0.229,60,-1.615,-0.534,0.256,0.795,1.603,0.988,0.271,91,-2.181,-0.459,0.205,1.033,3.028,1.705,0.212,90,-2.812,-0.768,0.225,1.125,3.344,1.829,0.332,81,-3.176,-1.246,0.235,1.839,4.373,2.382,0.332,81,-3.176,-1.246,0.235,1.839,4.373,2.382,0.534,80,-17.749,-6.550,1.003,8.380,14.439,9.907,0.025,46,-0.204,-0.047,0.029,0.110,0.197,0.118
"Neergaard-Petersen, Rasmus",30,107,93,1,4,5,11,-0.046,87,-1.928,-0.962,0.376,1.166,2.660,1.483,-0.199,111,-1.812,-0.678,-0.136,0.126,1.094,0.864,0.178,75,-2.025,-0.979,-0.037,0.805,2.310,1.428,0.479,26,-0.952,0.115,0.522,1.037,1.517,0.765,0.657,45,-1.528,-0.865,0.562,1.122,3.095,1.636,0.458,68,-2.797,-1.375,0.176,1.328,2.854,1.921,0.301,82,-4.383,-0.974,0.504,1.877,3.672,2.266,0.301,82,-4.383,-0.974,0.504,1.877,3.672,2.266,3.825,57,-13.893,-4.547,1.563,7.787,16.538,8.461,0.025,47,-0.153,-0.057,-0.001,0.101,0.212,0.103
"Du Plessis, Hennie",18,63,36,0,6,6,10,-0.585,132,-4.845,-2.962,-1.612,-1.015,0.001,1.676,0.009,72,-0.364,-0.081,0.437,1.035,1.689,1.025,0.184,74,-3.482,-0.506,0.635,1.238,2.200,1.977,0.343,46,-0.117,-0.064,0.113,0.236,0.828,0.881,0.527,55,-3.335,-0.622,0.591,2.006,2.629,2.117,0.536,62,-3.558,0.049,1.783,2.360,3.249,2.170,0.298,83,-3.936,-1.423,0.193,1.680,5.229,2.683,0.298,83,-3.936,-1.423,0.193,1.680,5.229,2.683,7.311,41,-5.719,-0.852,1.264,2.113,5.601,7.440,-0.010,92,-0.066,0.000,0.007,0.061,0.160,0.085
"Hisatsune, Ryo",32,116,92,0,1,5,8,-0.183,102,-2.574,-1.327,-0.088,0.897,2.329,1.632,-0.028,89,-1.791,-0.663,0.237,0.747,1.293,1.113,0.302,55,-2.281,-0.702,0.428,1.418,2.578,1.494,0.429,36,-0.787,0.067,0.391,0.918,1.602,0.774,0.731,39,-2.259,-0.384,0.888,1.977,3.082,1.748,0.703,43,-3.863,-0.494,1.103,2.129,3.673,2.251,0.240,84,-5.987,-1.069,0.411,2.373,4.065,3.006,0.240,84,-5.987,-1.069,0.411,2.373,4.065,3.006,0.257,83,-12.346,-5.232,0.198,5.653,13.997,8.357,0.027,42,-0.177,-0.053,0.026,0.108,0.215,0.120
"Ballester, Jose Luis",23,79,58,1,5,9,12,-0.088,91,-2.698,-1.526,-0.106,1.268,3.093,1.849,-0.368,127,-2.065,-0.939,-0.445,0.033,1.414,1.021,-0.328,122,-2.569,-1.150,-0.110,0.615,1.882,1.438,0.728,9,-1.396,0.339,0.945,1.700,2.069,1.054,0.400,74,-2.128,-0.150,0.717,1.822,3.193,1.726,0.026,102,-3.324,-1.315,0.615,1.736,3.360,2.194,0.224,85,-3.807,-1.433,0.697,2.008,4.084,2.673,0.224,85,-3.807,-1.433,0.697,2.008,4.084,2.673,14.461,13,-1.157,8.164,17.148,21.404,32.336,10.289,-0.051,124,-0.272,-0.140,-0.017,0.048,0.170,0.135
"Novak, Andrew",29,101,97,0,0,4,10,-0.242,112,-2.799,-1.388,-0.470,0.811,2.645,1.688,0.131,48,-1.529,-0.556,0.214,0.789,2.024,1.227,0.175,76,-2.247,-0.634,0.103,1.081,2.748,1.503,0.107,87,-1.421,-0.392,0.047,0.730,1.527,0.900,0.281,89,-2.713,-0.750,0.544,1.251,3.195,1.734,0.412,75,-2.823,-1.230,0.522,1.738,3.673,2.129,0.222,86,-3.999,-1.552,0.131,2.172,4.838,2.748,0.222,86,-3.999,-1.552,0.131,2.172,4.838,2.748,-0.653,90,-19.661,-8.854,-1.571,5.675,22.150,11.899,-0.010,93,-0.190,-0.097,-0.005,0.062,0.182,0.114
"Keefer, Johnny",32,106,66,1,4,8,11,-0.417,128,-2.622,-1.327,-0.349,0.562,1.888,1.546,-0.352,125,-1.933,-1.029,-0.323,0.244,1.379,1.036,0.444,37,-2.316,-0.441,0.420,1.248,3.595,1.674,0.505,25,-0.831,-0.027,0.597,1.068,1.561,0.781,0.948,26,-1.855,-0.030,0.942,1.971,3.652,1.792,0.596,56,-3.239,-0.790,0.830,2.165,3.601,2.116,0.219,87,-5.395,-1.284,0.777,1.988,4.228,2.758,0.219,87,-5.395,-1.284,0.777,1.988,4.228,2.758,11.071,25,-7.321,5.219,11.167,17.139,28.326,10.246,-0.010,91,-0.177,-0.083,-0.015,0.067,0.190,0.109
"Koepka, Brooks",24,71,66,0,1,2,8,-0.278,117,-3.004,-1.503,-0.197,0.611,2.569,2.016,-0.010,79,-2.107,-0.685,0.185,0.660,2.048,1.185,0.235,61,-2.022,-1.101,0.372,1.544,3.099,1.690,0.167,76,-1.578,-0.492,0.341,0.939,1.380,0.937,0.402,73,-2.955,-0.889,0.787,1.919,3.077,2.000,0.391,77,-3.112,-1.032,0.461,1.949,4.518,2.427,0.217,88,-5.130,-1.879,0.667,2.515,4.683,3.095,0.217,88,-5.130,-1.879,0.667,2.515,4.683,3.095,6.191,47,-13.271,-0.821,7.513,13.464,27.296,11.402,-0.037,118,-0.206,-0.109,-0.045,0.064,0.204,0.124
"Chacarra, Eugenio",34,117,88,2,4,6,13,-0.014,84,-3.676,-1.247,0.022,0.215,1.534,1.570,-0.004,78,-1.890,-0.621,0.042,0.704,1.431,1.038,-0.053,105,-1.208,0.339,0.639,1.593,1.921,1.612,0.141,83,-0.862,-0.273,-0.170,-0.045,0.445,0.752,0.088,101,-1.699,-0.414,0.852,1.538,1.875,1.810,0.084,99,-1.752,-0.476,0.293,1.689,2.167,1.938,0.209,89,-3.222,-1.375,0.278,1.562,3.756,2.262,0.209,89,-3.222,-1.375,0.278,1.562,3.756,2.262,5.813,49,-5.224,2.730,5.236,7.091,17.501,9.916,-0.003,82,-0.217,-0.073,-0.025,0.083,0.171,0.090
"Greyserman, Max",27,80,69,0,1,2,5,0.054,77,-2.427,-0.792,0.013,1.080,2.102,1.510,0.148,44,-1.598,-0.349,0.098,0.737,2.017,1.115,-0.114,110,-2.725,-1.352,0.049,0.978,2.608,1.619,-0.117,115,-2.910,-0.839,0.069,0.887,1.536,1.447,-0.231,112,-4.397,-1.563,0.065,1.033,3.592,2.249,-0.082,110,-3.938,-1.516,0.152,1.171,3.693,2.316,0.200,90,-4.954,-1.226,0.214,1.738,4.988,2.778,0.200,90,-4.954,-1.226,0.214,1.738,4.988,2.778,7.046,43,-7.546,0.398,5.677,13.940,23.389,11.536,-0.059,126,-0.285,-0.139,-0.061,0.035,0.129,0.127
