time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lee, S.T.",null,null,null,null,48,0.833,null,null,15,1,21,0.952
l12_months,poor shot (under -0.5 sg) avoidance rate,"Higa, Kazuki",null,null,null,null,null,null,null,null,null,null,20,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Sullivan, Andy",null,null,null,null,null,null,null,null,11,0.909,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Streb, Robert",11,0.909,null,null,null,null,28,0.964,19,0.842,20,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lee, K.H.",16,0.938,null,null,null,null,null,null,11,1,20,0.95
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kisner, Kevin",null,null,null,null,55,0.964,29,0.897,15,0.933,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Noh, S.Y.",14,0.929,null,null,48,0.938,null,null,null,null,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Burgoon, Bronson",null,null,null,null,null,null,null,null,24,0.958,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lemke, Niklas",null,null,null,null,null,null,null,null,11,0.909,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Wiesberger, Bernd",12,0.917,null,null,null,null,null,null,null,null,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Reavie, Chez",null,null,null,null,null,null,null,null,17,0.941,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Watney, Nick",null,null,null,null,null,null,null,null,11,0.909,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Vermeer, Ryan",null,null,null,null,null,null,null,null,13,0.923,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Walker, Jimmy",null,null,null,null,null,null,null,null,12,0.917,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Baddeley, Aaron",null,null,null,null,null,null,null,null,16,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Donald, Luke",11,0.909,null,null,null,null,null,null,12,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Langasque, Romain",null,null,null,null,null,null,30,0.933,12,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Catlin, John",null,null,null,null,null,null,null,null,19,0.947,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Nicholas, James",null,null,null,null,null,null,null,null,11,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Schniederjans, Ollie",null,null,null,null,null,null,null,null,18,0.833,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Schaper, Jayden",13,1,null,null,null,null,null,null,null,null,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hruby, Petr",null,null,null,null,null,null,null,null,12,0.917,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Feagles, Michael",null,null,null,null,null,null,null,null,11,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Anderson, Matthew",null,null,null,null,null,null,null,null,15,0.933,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Olesen, Jacob Skov",null,null,null,null,null,null,null,null,16,0.875,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Jordan, Matthew",null,null,null,null,null,null,null,null,12,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Knowles, Philip",null,null,null,null,null,null,null,null,14,0.929,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Xiong, Norman",null,null,null,null,null,null,null,null,13,0.923,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hidalgo, Angel",null,null,null,null,54,0.963,31,1,12,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Andersen, Mason",14,0.929,null,null,49,0.898,null,null,25,0.8,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hillier, Daniel",null,null,null,null,null,null,null,null,20,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Coussaud, Ugo",null,null,null,null,null,null,null,null,16,0.938,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lindell, Oliver",null,null,null,null,50,0.92,null,null,null,null,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lindberg, Mikael",null,null,null,null,null,null,null,null,13,0.846,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Rottluff, Max",null,null,null,null,null,null,null,null,18,0.889,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Naidoo, Dylan",null,null,null,null,null,null,null,null,12,0.917,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Zalatoris, Will",null,null,null,null,52,0.923,null,null,15,0.933,20,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Herrington, Jackson",null,null,null,null,null,null,null,null,16,0.938,null,null
