event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Fitzpatrick, Matt",17646,40098,3,3,2,3:15 PM,late,1,10:09 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fleetwood, Tommy",12294,30911,4,9,9,10:09 AM,early,1,3:15 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fowler, Rickie",12965,32102,43,42,30,7:19 AM,early,1,12:25 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fox, Ryan",11889,29936,54,56,59,6:57 AM,early,1,12:03 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Gerard, Ryan",29767,59018,30,28,22,10:31 AM,early,1,3:37 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Gotterup, Chris",27774,59095,12,6,5,2:31 PM,late,1,9:25 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Grehan, Stuart",22633,51174,null,null,null,12:14 PM,late,1,7:08 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Greyserman, Max",23465,51977,90,77,92,11:52 AM,late,1,6:46 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Griffin, Ben",24968,54591,19,16,33,9:25 AM,early,1,2:31 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Grinberg, Lev",29461,70938,null,null,null,8:03 AM,early,1,1:09 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hall, Harry",27194,57975,68,76,57,1:09 PM,late,1,8:03 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Ham, Jeong Woo",17872,46724,468,410,null,11:15 AM,early,1,4:21 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Harman, Brian",8825,27644,51,64,74,10:20 AM,early,1,3:26 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Harrington, Padraig",5716,20766,381,null,176,1:20 PM,late,1,8:14 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hatton, Tyrrell",14796,34363,23,22,null,9:58 AM,early,1,3:04 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Henley, Russell",14578,34098,11,5,14,9:36 AM,early,1,2:42 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Herbert, Lucas",17064,39058,109,97,null,2:09 PM,late,1,9:03 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Higa, Kazuki",15756,35778,354,177,null,4:21 PM,late,1,11:15 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hillier, Daniel",21362,49813,110,105,null,6:46 AM,early,1,11:52 AM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hisatsune, Ryo",22760,51287,71,62,39,9:03 AM,early,1,2:09 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hojgaard, Nicolai",23602,52453,36,35,25,2:42 PM,late,1,9:36 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hojgaard, Rasmus",23838,52686,108,88,116,9:14 AM,early,1,2:20 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hollick, Michael",15993,36344,349,149,null,1:20 PM,late,1,8:14 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Homa, Max",17538,39977,70,74,49,7:08 AM,early,1,12:14 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Horschel, Billy",11276,29420,151,168,99,1:31 PM,late,1,8:25 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Hovland, Viktor",18841,46717,14,12,20,9:36 AM,early,1,2:42 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Howard, David",33657,68566,null,null,null,10:42 AM,early,1,3:48 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Howell, Mason",33759,68607,null,null,null,1:31 PM,late,1,8:25 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Im, Sungjae",17488,39971,132,86,62,7:41 AM,early,1,12:47 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Jarvis, Casey",26947,57688,99,82,null,12:58 PM,late,1,7:52 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"John, Cameron",19390,47463,null,256,null,3:59 PM,late,1,10:53 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Jordan, Matthew",25601,55955,221,304,null,6:57 AM,early,1,12:03 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Kaneko, Kota",28268,61148,152,109,null,8:47 AM,early,1,1:53 PM,late,1,null,null,null,null,null,null,1
