player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Scheffler, Scottie",15,1,2.394,0.155,58,56,0.57089875,0.5488096428571428,0.8457167857142858,0.8284801785714286,2.223006607142857,2.8378491379310344
"McIlroy, Rory",13,1,0.667,0.305,50,46,0.4139391304347826,0.28532760869565216,0.5550426086956521,1.0661123913043478,1.9064826086956521,2.1991514
"Fitzpatrick, Matt",17,3,1.6969999999999998,0,68,66,0.11205045454545452,0.6422468181818182,1.0108410606060605,0.4241371212121212,2.077225,2.142910882352941
"Rahm, Jon",13,2,1.0519999999999998,0.007,50,50,0.31670380000000004,0.32710839999999997,0.6493215999999999,0.8405534,1.8169834,2.1264882
"Morikawa, Collin",12,1,1.196,0.029,46,46,0.32034847826086954,0.12864347826086958,1.0341515217391304,0.4860482608695652,1.6488432608695651,1.9691908695652174
"Young, Cameron",14,2,2.256,0.068,56,55,0.13304418181818184,0.32618018181818176,0.6887394545454546,0.811583090909091,1.8265027272727274,1.9534182142857144
"Kim, Si Woo",20,0,1.294,0,78,71,-0.007207042253521121,0.28300985915492954,0.8488216901408451,0.5903798591549295,1.722211408450704,1.8054560256410257
"Burns, Sam",16,0,0.8640000000000001,0.065,58,56,0.8253882142857142,-0.03074928571428572,0.5752180357142856,0.3680414285714286,0.9125101785714285,1.7320498275862068
"Gotterup, Chris",18,3,0.629,0,70,69,0.4335653623188406,0.09648492753623189,0.4944894202898551,0.7038610144927536,1.2948353623188404,1.7177547142857144
"Fleetwood, Tommy",17,0,1.2099999999999997,0,66,66,0.21733242424242424,0.446370606060606,0.46389833333333336,0.5900104545454545,1.500279393939394,1.717611515151515
"Aberg, Ludvig",16,0,0.651,0.003,58,55,0.19088472727272726,0.21052145454545454,0.8359116363636363,0.6077123636363636,1.6541454545454544,1.7108560344827586
"Schauffele, Xander",15,0,0.652,0.013000000000000001,56,55,0.24764036363636363,0.11307345454545455,0.5803358181818181,0.7180761818181818,1.4114854545454545,1.6405044642857143
"Henley, Russell",15,1,0.203,0.068,54,52,0.4330428846153846,0.1250155769230769,0.6390940384615384,0.4239925,1.1881021153846154,1.6377055555555555
"Cantlay, Patrick",15,0,0.026000000000000002,0.001,52,49,0.034421836734693845,0.4177471428571429,0.6906920408163265,0.4441861224489796,1.552625306122449,1.569374423076923
"Clark, Wyndham",18,2,1.9529999999999998,0.084,66,63,0.4499390476190476,0.45185714285714285,0.578255873015873,0.11294587301587301,1.1430588888888888,1.5540578787878787
"Knapp, Jake",12,0,0.20600000000000002,0.005,42,41,0.6727882926829268,-0.05325536585365852,0.5097853658536586,0.38713658536585366,0.8436665853658538,1.5513766666666666
"McNealy, Maverick",16,0,0.044000000000000004,0,62,61,0.552581475409836,0.46254131147540983,0.10691704918032785,0.2984545901639344,0.8679129508196721,1.4618279032258064
"Rose, Justin",14,1,1.013,0.068,49,46,0.17688413043478257,0.13842565217391303,0.830900652173913,0.20966913043478264,1.1789954347826088,1.4181685714285717
"Lee, Min Woo",18,0,0.654,0,66,56,0.121015,0.3014583928571429,0.3396816071428571,0.6725775,1.3137174999999999,1.4128789393939394
"MacIntyre, Robert",17,0,0.499,0,62,60,0.6285171666666667,0.12531833333333334,-0.014882666666666648,0.6139378333333333,0.7243735,1.3935353225806453
"Gerard, Ryan",21,0,1.8049999999999997,0,78,71,0.395286338028169,-0.13801126760563381,0.6276583098591549,0.28336338028169017,0.7730104225352112,1.390131153846154
