player_id,dg_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P120,18424,ROY,KEVIN,DP World Tour,FULL,True,-0.0367,0.095,-0.28,0.164,0.0,-0.46,-1.09,-0.97,COLD,NONE,0.0,,0.03,-0.059,0.0
P007,18628,CAMPBELL,BRIAN,DP World Tour,FULL,False,-0.26505,-0.691,-0.125,-0.07,0.0,-1.065,-1.13,-0.21,NEUTRAL,THIN,2.0,,-0.23,-0.023,-0.11
P164,24304,VILIPS,KARL,DP World Tour,FULL,True,-0.15925,-0.479,-0.005,-0.069,0.0,-0.556,-0.36,-0.06,NEUTRAL,NONE,,,0.12,-0.008,0.13
P095,19429,NAIDOO,DYLAN,DP World Tour,FULL,False,-0.4426,-0.29,-1.008,-0.014,0.0,-1.663,-1.63,0.47,WARM,THIN,2.0,,0.11,,0.03
P071,16896,KRUYSWIJK,JACQUES,DP World Tour,FULL,False,-0.35285,-0.497,-0.489,-0.163,0.0,-0.657,-1.1,-0.32,COOL,THIN,6.0,65.0,-0.03,,-0.01
P127,27588,SCHOTT,FREDDY,DP World Tour,FULL,True,-0.2563,-0.147,-0.528,-0.137,0.0,-0.234,-0.78,0.11,NEUTRAL,NONE,0.0,,0.22,,0.09
P076,13498,LEE,JUNGHWAN,DP World Tour,FULL,False,-0.45925,-0.436,-0.807,-0.23,0.0,-1.647,-1.15,0.1,NEUTRAL,THIN,6.0,46.0,-0.01,,0.0
P079,20084,LINDBERG,MIKAEL,DP World Tour,FULL,True,-0.0532,0.635,-0.674,-0.039,0.0,0.239,0.19,0.01,NEUTRAL,NONE,0.0,,0.25,,0.09
P118,19872,RILEY,DAVIS,DP World Tour,FULL,False,-0.49465000000000003,-0.876,-0.551,-0.195,0.0,-1.706,-1.03,0.23,NEUTRAL,MODERATE,8.0,35.0,0.23,-0.034,0.2
P074,9133,LARRAZABAL,PABLO,DP World Tour,FULL,False,-0.41779999999999995,-0.563,-0.578,-0.233,0.0,-1.001,-2.14,-0.33,COOL,MODERATE,16.0,,0.09,,0.06
P059,32449,JOHNSTON,RYGGS,DP World Tour,FULL,False,-0.51825,-0.425,-0.929,-0.328,0.0,-1.361,-2.77,-0.67,COOL,THIN,2.0,,0.28,,0.14
P153,12920,WILLETT,DANNY,DP World Tour,FULL,False,-0.4317,-0.525,-0.76,-0.041,0.0,-1.234,-1.18,0.14,NEUTRAL,MODERATE,10.0,,0.05,-0.091,0.06
P102,21072,OK,TAEHOON,DP World Tour,FULL,True,-0.26525,-0.386,-0.743,0.553,0.0,-1.135,-2.22,-1.04,COLD,NONE,0.0,,-0.05,,-0.04
P138,13731,STRYDOM,OCKIE,DP World Tour,FULL,False,-0.90205,-1.088,-1.455,-0.332,0.0,-2.941,-2.76,-0.09,NEUTRAL,THIN,6.0,,0.26,,0.12
