playerName,dg_id,tier,vtsFinal,prePenaltyVTS,penaltyTotal,neutralSkillSG,neutralSkillIndex,venueFitScore,venueFitDelta,venueHistoryRounds,venueHistorySG,venueHistoryDelta,blendClass,winPct,top5Pct,top10Pct,top20Pct,makeCutPct,missCutPct,sgOTT_L12,sgAPP_L12,sgARG_L12,sgPUTT_L12,sgTotal_L12,dgFinalPrediction,dgCourseFitAdj,country,owgr,formTrend,volatilityIndex,datadepthClass,hardGateTriggered,isDebut,bettingUseCase,fragility
Kota Kaneko,28268,T5,-0.25,-0.04,-0.21,0.0007,46.3,-0.0508,-0.101,0,,0.0,0-2,0.18,1.1,2.6,5.8,47.8,52.2,-0.361,0.049,-0.019,0.232,-0.098,-0.047,0.28,JPN,109,warm,high,DEEP,False,True,Avoid,High
Andy Sullivan,15326,T5,-0.278,-0.278,0.0,-0.2536,42.3,-0.1268,-0.057,4,-0.194,0.009,3-4,0.17,1.1,2.5,5.7,47.0,53.0,-0.06,-0.224,-0.027,0.063,-0.248,0.046,0.127,ENG,122,neutral,standard,DEEP,False,False,Avoid,High
Alistair Docherty,24962,T5,-0.295,-0.215,-0.08,-0.2429,42.5,0.0,0.07,0,,0.0,0-2,0.17,1.0,2.5,5.6,46.5,53.5,0.0,0.0,0.0,0.0,0.0,-0.857,-0.119,SCO,198,neutral,standard,DEEP,False,True,Avoid,High
Antoine Rozner,18770,T5,-0.308,-0.088,-0.22,-0.08,45.0,0.0408,-0.019,0,,0.0,0-2,0.17,1.0,2.4,5.5,46.1,53.9,-0.056,0.205,-0.114,-0.128,-0.094,-0.187,-0.017,FRA,216,neutral,standard,DEEP,False,True,Avoid,High
Matthew Jordan,25601,T5,-0.359,-0.279,-0.08,-0.2783,41.9,-0.0646,0.005,0,,0.0,0-2,0.16,1.0,2.3,5.3,44.7,55.3,-0.131,-0.062,0.106,-0.15,-0.237,-0.074,0.03,ENG,304,neutral,standard,DEEP,False,True,Avoid,High
Joe Dean,16497,T5,-0.4,-0.43,0.03,-0.3681,40.5,-0.2284,-0.158,4,-0.194,0.026,3-4,0.15,0.9,2.2,5.1,43.5,56.5,-0.2,-0.424,0.085,0.145,-0.394,-0.377,-0.023,ENG,268,hot,standard,DEEP,False,False,Avoid,High
Dan Brown,20766,T5,-0.479,-0.219,-0.26,-0.241,42.5,0.0223,0.052,0,,0.0,0-2,0.13,0.9,2.1,4.7,41.4,58.6,-0.032,0.252,-0.236,-0.266,-0.283,-0.094,0.098,ENG,136,cool,standard,DEEP,False,True,Avoid,High
Shaun Norris,7677,T5,-0.504,-0.534,0.03,-0.4442,39.3,-0.2902,-0.29,4,0.056,0.075,3-4,0.13,0.8,2.0,4.6,40.7,59.3,-0.413,-0.417,-0.078,0.391,-0.517,-0.349,0.127,RSA,94,hot,standard,DEEP,False,False,Avoid,High
Jose Luis Ballester,28473,T5,-0.51,-0.211,-0.3,-0.1449,44.0,-0.034,-0.164,0,,0.0,0-2,0.13,0.8,2.0,4.6,40.5,59.5,0.52,-0.216,-0.269,-0.077,-0.042,-0.574,-0.234,ESP,132,cold,high,DEEP,False,True,Avoid,High
Dan Bradbury,29971,T5,-0.514,-0.204,-0.31,-0.2251,42.8,0.0204,0.05,0,,0.0,0-2,0.13,0.8,2.0,4.6,40.4,59.6,0.04,0.226,-0.281,-0.257,-0.272,-0.389,0.03,ENG,153,cold,standard,DEEP,False,True,Avoid,High
