player_name,player_id,model_rank,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,pre_penalty_vts,debut_penalty_applied,anti_pattern_penalty_total,recent_form_gate_applied,health_gate_status,volatility_index,venue_variance_class,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,anti_pattern_flags,primary_trait_driver,primary_risk_trait,trait_summary_label,tee_time_rd1,tour,world_rank
"TOSTI, ALEJANDRO",122,146,5,14.38,-1.55,41.21,41.69,0.47,0.0,41.38,0.0,-9.0,False,ok,50.0,high,0.0,0.06,0.17,0.56,2.0,2.0,98.0,bomb_and_spray;long_iron_liability;weak_tight_runoff;poor_lag_putting,ARG_TightRunoff,APP_200+,ARG_TightRunoff + ARG_Bunker; weak APP_200+,,PGA Tour,364.0
"TIBBITS, SPENCER",150,147,5,11.71,-4.88,0.0,62.03,62.03,0.0,21.71,-4.0,0.0,False,ok,75.0,high,0.0,0.05,0.15,0.48,1.79,2.0,98.0,,ARG_Bunker,MajorGrind,ARG_Bunker + ARG_TightRunoff; weak MajorGrind,,PGA Tour,0.0
"ONISHI, KAITO",139,148,5,11.3,-2.07,34.78,44.85,10.08,0.0,38.3,0.0,-9.0,False,ok,25.0,high,0.0,0.04,0.11,0.38,1.42,2.0,98.0,short_and_wild;long_iron_liability;weak_tight_runoff,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + ARG_Bunker; weak MajorGrind,,Japan Golf Tour,0.0
"FANG, ETHAN",127,149,5,10.77,-1.65,39.98,44.93,4.96,0.0,41.71,-4.0,-6.98,False,ok,75.0,high,0.0,0.04,0.13,0.44,1.66,2.0,98.0,long_iron_liability;poor_lag_putting,ARG_TightRunoff,APP_150-200,ARG_TightRunoff + ARG_Bunker; weak APP_150-200,,Amateur,0.0
"HOWELL, MASON",132,150,5,10.75,-1.64,40.1,33.38,-6.72,0.0,37.75,0.0,-9.0,False,ok,50.0,high,0.0,0.04,0.12,0.4,1.51,2.0,98.0,long_iron_liability;weak_tight_runoff;poor_lag_putting,PUTT_LagCtrl,APP_FlightCtrl,PUTT_LagCtrl + OTT_Distance; weak APP_FlightCtrl,,PGA Tour,0.0
"HERRINGTON, JACKSON",128,151,5,1.76,-2.49,29.58,45.31,15.73,0.0,35.09,-4.0,-7.78,False,ok,75.0,high,0.0,0.02,0.05,0.2,0.81,2.0,98.0,bomb_and_spray;weak_tight_runoff,APP_150-200,ARG_Bunker,APP_150-200 + PUTT_LagCtrl; weak ARG_Bunker,,Amateur,0.0
"HOLMES, J.B.",134,152,5,0.0,-2.92,24.26,37.06,12.81,0.0,28.74,-4.0,-9.0,False,ok,75.0,high,0.0,0.01,0.05,0.17,0.71,2.0,98.0,bomb_and_spray;long_iron_liability;poor_lag_putting,ARG_Bunker,APP_FlightCtrl,ARG_Bunker + ARG_TightRunoff; weak APP_FlightCtrl,8:36 AM,PGA Tour,0.0
"ORMOND, JACKSON",135,153,5,0.0,-3.52,16.83,59.52,42.69,0.0,31.77,-4.0,-8.18,False,ok,75.0,high,0.0,0.01,0.05,0.17,0.71,2.0,98.0,bomb_and_spray;long_iron_liability,ARG_Bunker,MajorGrind,ARG_Bunker + ARG_TightRunoff; weak MajorGrind,,Amateur,0.0
"HOLTZ, BRANDON",136,154,5,0.0,-4.29,7.3,12.77,5.47,0.0,9.22,-4.0,-9.0,False,ok,75.0,high,0.0,0.01,0.05,0.17,0.71,2.0,98.0,long_iron_liability;weak_tight_runoff;poor_lag_putting,APP_200+,ARG_TightRunoff,APP_200+ + PUTT_LagCtrl; weak ARG_TightRunoff,,PGA Tour,0.0
"LEE, BRYAN",145,155,5,0.0,-2.6,28.22,28.85,0.63,0.0,28.44,-4.0,-9.0,False,ok,75.0,high,0.0,0.01,0.05,0.17,0.71,2.0,98.0,short_and_wild;long_iron_liability;weak_tight_runoff,PUTT_LagCtrl,OTT_Distance,PUTT_LagCtrl + ARG_Bunker; weak OTT_Distance,,Amateur,0.0
"PULCINI, MATEO",149,156,5,0.0,-2.52,29.21,16.2,-13.01,0.0,24.65,-4.0,-9.0,False,ok,75.0,high,0.0,0.01,0.05,0.17,0.71,2.0,98.0,short_and_wild;long_iron_liability;weak_tight_runoff;poor_lag_putting,APP_200+,PUTT_LagCtrl,APP_200+ + OTT_Distance; weak PUTT_LagCtrl,,Amateur,0.0
