Hole,Par,Yards,Avg,Rank,Plus - Minus,Eagles,Birdies,Pars,Bogeys,DBL+
1,4,424,3.861,10,-0.139,0,20,42,10,0
2,4,343,3.639,17,-0.361,0,27,44,1,0
3,4,437,3.986,4,-0.014,0,14,45,13,0
4,4,484,4.083,1,0.083,0,11,44,17,0
5,3,225,2.917,8,-0.083,0,16,48,6,2
6,5,591,4.597,18,-0.403,0,35,34,1,2
7,4,434,3.861,10,-0.139,0,15,52,5,0
8,3,205,3.056,2,0.056,0,7,55,9,1
9,4,389,3.722,15,-0.278,0,26,40,6,0
10,4,453,4.056,2,0.056,0,12,46,12,2
11,3,156,2.847,12,-0.153,0,19,45,8,0
12,4,406,3.986,4,-0.014,1,14,43,13,1
13,5,526,4.736,14,-0.264,2,38,18,10,4
14,4,399,3.764,13,-0.236,1,20,46,5,0
15,4,298,3.653,16,-0.347,0,35,29,6,2
16,3,160,2.931,7,-0.069,0,13,53,5,1
17,4,420,3.889,9,-0.111,0,19,43,9,1
18,4,442,3.944,6,-0.056,0,13,50,9,0
