POS,Player,Total,1,2,3,4,5,6,7,8,9,OUT,10,11,12,13,14,15,16,17,18,IN,TOT,RD4
T47,A. Smalley,-8,3,4,4,4,3,5,4,3,3,33,3,4,4,4,3,3,3,3,4,31,64,-6
T47,J. Bridgeman,-8,4,3,4,4,3,5,4,3,4,34,5,4,2,4,3,3,3,4,4,32,66,-4
T47,B. Campbell,-8,3,3,5,5,3,5,4,4,4,36,4,2,4,5,4,3,4,4,3,33,69,-1
T51,S. Theegala,-7,3,4,4,4,3,4,4,3,4,33,4,3,3,6,4,3,2,3,4,32,65,-5
T51,J. Vegas,-7,4,3,4,5,3,4,4,3,3,33,4,3,4,4,4,4,3,4,4,34,67,-3
T51,H. Hall,-7,4,4,3,5,3,5,4,2,3,33,5,3,5,5,4,3,3,3,4,35,68,-2
T51,X. Schauffele,-7,5,4,4,5,3,4,5,4,4,38,3,3,3,4,4,4,3,3,4,31,69,-1
T55,L. Åberg,-6,4,4,3,4,3,5,5,3,5,36,3,3,3,4,4,4,3,5,3,32,68,-2
T55,A. Noren,-6,4,3,4,5,3,5,4,3,5,36,4,2,4,4,4,4,3,4,4,33,69,-1
T55,J. Day,-6,5,3,4,4,2,4,4,3,4,33,5,3,5,4,4,5,3,4,3,36,69,-1
T55,J. Knapp,-6,5,4,3,4,3,4,4,2,4,33,5,3,4,5,4,4,3,5,3,36,69,-1
T55,T. Finau,-6,4,4,4,4,3,4,5,3,4,35,4,3,4,4,4,4,3,4,5,35,70,E
T55,M. McNealy,-6,3,4,4,4,3,4,4,3,4,33,5,3,4,7,4,5,3,4,4,39,72,2
61,T. Pendrith,-5,5,4,5,4,3,5,4,3,3,36,4,3,4,5,4,3,2,4,4,33,69,-1
T62,M. Lee,-4,4,3,5,4,3,4,4,3,3,33,4,3,4,5,4,3,3,4,3,33,66,-4
T62,S. Stevens,-4,3,4,5,4,4,4,4,3,4,35,4,2,3,4,5,3,3,4,5,33,68,-2
T62,B. James,-4,4,4,4,4,4,4,4,3,3,34,5,4,4,6,4,4,2,5,5,39,73,3
65,A. Scott,-3,5,4,4,5,3,4,4,3,4,36,5,2,4,4,4,5,3,4,4,35,71,1
T66,R. Fox,E,3,3,4,5,2,5,4,3,5,34,3,3,4,6,3,3,3,4,4,33,67,-3
T66,J. Spieth,E,4,3,4,4,3,4,4,2,3,31,5,3,5,6,4,4,3,3,3,36,67,-3
T66,L. Glover,E,5,3,4,4,3,5,4,2,3,33,6,2,3,6,4,4,3,3,4,35,68,-2
69,J.T. Poston,1,4,4,4,4,2,4,4,2,4,32,4,4,3,12,4,6,3,4,4,44,76,6
70,M. Hubbard,2,4,4,4,5,3,4,4,4,5,37,4,3,4,4,3,4,3,4,4,33,70,E
71,G. Woodland,5,4,4,4,4,3,4,4,3,4,34,4,3,5,4,4,6,3,4,5,38,72,2
72,S. Straka,10,4,4,4,5,3,8,4,3,4,39,3,3,4,5,3,4,3,4,4,33,72,2
