Player,SG-Off the Tee,SG-Approach to Green,SG- Around the Green,SG-Putting,SG-Total
Jackson Suber,-0.41,2.19,1.61,3.05,6.44
Sungjae Im,1.47,1.28,0.95,1.75,5.44
Dan Brown,1.56,0.63,0.94,2.31,5.44
Thomas Detry,1.44,0.72,-0.15,2.42,4.44
Robert MacIntyre,0.97,0.63,0.92,1.9,4.44
Francesco Molinari,-0.79,2.8,0.56,1.87,4.44
Alex Smalley,-1.22,1.76,-0.13,4.03,4.44
Bryson DeChambeau,2.15,2.32,1.27,-1.3,4.44
Ryan Gerard,1.6,2.43,-0.02,0.42,4.44
MJ Daffue,1.04,1.39,0.35,1.66,4.44
Pierceson Coody,0.06,-0.14,2.17,2.35,4.44
Cameron Young,1.05,1.18,0.54,1.67,4.44
Henrik Stenson,0.72,3.28,0.47,-1.03,3.44
Jordan Smith,1.14,2.19,0.07,0.04,3.44
Victor Perez,1.61,0.92,-0.01,0.91,3.44
Joakim Lagergren,1.11,1.58,0.26,0.49,3.44
Ryo Hisatsune,0.85,-0.11,0.43,2.27,3.44
Scottie Scheffler,1.89,1.84,-0.26,-0.03,3.44
Si Woo Kim,0.5,0.63,1.1,1.21,3.44
Nick Taylor,-0.12,2.21,-0.84,2.18,3.44
Sepp Straka,1.21,0.53,0.87,0.82,3.44
Bud Cauley,-1.48,1.72,-0.24,3.44,3.44
Collin Morikawa,-1.52,3.89,-0.05,1.11,3.44
Alex Fitzpatrick,1.95,-0.09,0.71,-0.14,2.44
Matthew Southgate,0.22,-0.46,-0.12,2.8,2.44
Ben Griffin,1.66,2.82,0.79,-2.83,2.44
Tyrrell Hatton,1.42,-0.79,1.29,0.52,2.44
Tommy Fleetwood,0.51,-0.31,0.52,1.72,2.44
Jon Rahm,2.13,1.99,-0.04,-1.65,2.44
Antoine Rozner,-0.93,1.19,-0.09,2.26,2.44
Matt Wallace,1.62,-0.89,0.88,0.82,2.44
Laurie Canter,-0.47,-0.92,2,1.83,2.44
Kurt Kitayama,-0.19,1.35,0.91,0.37,2.44
Shaun Norris,0.69,-0.8,0.72,1.82,2.44
Keegan Bradley,-1.18,3.08,0.32,0.21,2.44
Aldrich Potgieter,1.87,1.5,-1.58,0.65,2.44
Kristoffer Reitan,0.41,2.83,-1.25,0.44,2.44
Shane Lowry,0.67,1.9,0.06,-0.2,2.44
Andy Sullivan,-0.68,1.62,0.1,0.4,1.44
Hennie Du Plessis,-2.32,1.87,0.81,1.08,1.44
Michael Thorbjornsen,-0.7,2.4,0.31,-0.58,1.44
Min Woo Lee,-1.23,0.21,-0.47,2.93,1.44
Russell Henley,-0.11,0.71,-0.16,1,1.44
Viktor Hovland,-0.07,1.4,-0.53,0.63,1.44
Justin Thomas,0.24,0.23,-0.32,1.28,1.44
Kazuma Kobori,0.81,0.44,0.88,-0.7,1.44
Jack McDonald,0.15,0.49,0.48,0.31,1.44
Eugenio Chacarra,-0.07,2.04,-0.28,-0.25,1.44
Sami Valimaki,-1.61,-0.7,0.73,3.03,1.44
Tom Kim,-0.37,1.92,0.16,-0.28,1.44
Johnny Keefer,-0.73,-0.41,1.45,1.12,1.44
Jayden Schaper,0.8,1.14,-0.1,-0.4,1.44
Lucas Herbert,-0.44,0.81,0.89,0.18,1.44
Chris Gotterup,1.08,1.13,1.6,-2.37,1.44
J.J. Spaun,-0.04,0.17,0.13,1.18,1.44
Brooks Koepka,0.72,-0.35,0.83,0.24,1.44
Jacob Bridgeman,0.73,0.38,-1.77,2.09,1.44
Cameron John,1.08,-0.87,0.69,0.54,1.44
Marcus Plunkett,0.41,-2.12,1.02,2.13,1.44
Max Homa,1.68,1.46,-1.16,-1.55,0.44
Rickie Fowler,0.65,-0.46,-0.91,1.17,0.44
Jake Knapp,-0.01,1.43,0.52,-1.5,0.44
Tom McKibbin,1.03,-1.34,-0.58,1.33,0.44
Lev Grinberg,0.6,0.9,0.8,-1.87,0.44
Jose Luis Ballester,-0.38,0.96,-0.12,-0.03,0.44
Trav Smyth,-1.36,1.86,0.62,-0.68,0.44
Sam Stevens,-1.41,1.02,0.09,0.73,0.44
Akshay Bhatia,0.68,-2.27,2.55,-0.52,0.44
Rasmus Hojgaard,-2.61,2.81,1.37,-1.14,0.44
Alex Noren,0.38,1.73,0.02,-1.69,0.44
Maverick McNealy,0.38,-1.15,-0.65,1.85,0.44
Tom Sloman,-0.15,-0.57,-0.31,1.47,0.44
Ryutaro Nagano,-0.6,-0.81,-0.29,2.14,0.44
John Parry,-1.37,1.3,-1.14,1.64,0.44
Sahith Theegala,-0.35,0.72,-0.94,1.02,0.44
Bernd Wiesberger,-0.69,-2.98,1.95,2.16,0.44
Corey Conners,-0.44,1.82,-0.7,-0.25,0.44
Billy Horschel,0,0.74,0.17,-0.48,0.44
J.T. Poston,-0.31,-0.58,-1.68,3.01,0.44
Aaron Rai,0.13,-1.56,1.08,0.78,0.44
Ludvig Aberg,0.53,0.5,0.86,-1.46,0.44
Xander Schauffele,0.65,-1.29,0.06,1.02,0.44
Patrick Cantlay,-0.01,-1.06,-0.79,2.29,0.44
Nico Echavarria,-0.94,-0.96,0.75,1.58,0.44
Matthew Baldwin,1.72,-1.83,-0.18,-0.27,-0.56
Daniel Hillier,2.83,-0.99,-0.74,-1.66,-0.56
Ryan Fox,0.46,1.33,-0.59,-1.77,-0.56
Joe Dean,-0.2,-0.25,1.98,-2.09,-0.56
Angel Ayora,0.95,0.2,-0.67,-1.05,-0.56
Kota Kaneko,1.05,1.26,-0.68,-2.19,-0.56
Hideki Matsuyama,0.05,-0.82,0.03,0.17,-0.56
Caleb Surratt,0.34,-0.99,-2.03,2.12,-0.56
Frederic LaCroix,1.47,-2.78,0.31,0.42,-0.56
Michael Brennan,1.8,0.26,-0.57,-2.07,-0.56
Keith Mitchell,0.42,0.95,-0.62,-1.3,-0.56
Haotong Li,0.17,-0.1,-1.83,1.2,-0.56
Marco Penge,0.08,-0.76,-0.08,0.19,-0.56
Michael Hollick,-1.65,-0.79,1.33,0.54,-0.56
Patrick Reed,1.31,-0.29,0.29,-1.89,-0.56
Adam Scott,0.49,0.78,-1.39,-0.44,-0.56
Nicolai Hojgaard,-0.42,0.96,-0.96,-0.15,-0.56
Rory McIlroy,2.6,1.8,-2.16,-2.8,-0.56
Matt Fitzpatrick,-0.28,0.28,1.33,-1.9,-0.56
Rasmus Neergaard-Petersen,1.75,-1.23,0.51,-1.59,-0.56
Sam Bairstow,0.31,-0.38,0.59,-1.08,-0.56
Michael Kim,-1.68,0.79,-1.44,0.77,-1.56
Andrew Novak,0.18,1.62,0.02,-3.39,-1.56
David Duval,0.21,0.08,-0.67,-1.18,-1.56
Harris English,-0.43,0.98,-1.14,-0.96,-1.56
Jason Day,0.76,-0.02,0.34,-2.64,-1.56
Jordan Spieth,0.42,-1.78,0.25,-0.45,-1.56
Alejandro De Castro Piera,0.08,-2.17,-0.18,0.71,-1.56
Cameron Smith,-0.28,-0.03,-0.71,-0.54,-1.56
Darren Clarke,-1.73,-1.05,0,1.21,-1.56
Casey Jarvis,1.89,-0.92,0.65,-3.18,-1.56
Mason Howell,-0.52,0.11,-1.46,0.3,-1.56
Keita Nakajima,0.05,-1.41,1.01,-1.21,-1.56
