time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,proximity (ft),"Pereira, Mito",16,18.1,43,26.7,null,null,null,null,16,43.1,null,null
l12_months,proximity (ft),"Brehm, Ryan",29,22.9,50,26.8,67,35.8,34,39.1,30,48.7,28,48.4
l12_months,proximity (ft),"Wolff, Matthew",58,18.9,163,27.2,211,35.7,104,46.9,95,40.1,89,60.7
l12_months,proximity (ft),"Paul, Jeremy",45,16.9,131,27.2,155,37,78,44.9,66,34.8,66,71.4
l12_months,proximity (ft),"Vincent, Scott",30,19.5,149,27.4,203,32.3,97,46.3,78,37.4,60,59
l12_months,proximity (ft),"Champ, Cameron",31,21.6,100,27.8,124,29.8,67,44.6,46,48.4,26,67.5
l12_months,proximity (ft),"Tabuena, Miguel",23,16.6,139,29.2,197,39.3,89,48.1,68,37.2,80,60.3
l12_months,proximity (ft),"Ayora, Angel",null,null,null,null,null,null,null,null,15,49.8,null,null
l12_months,proximity (ft),"Matthews, Justin",null,null,null,null,null,null,null,null,14,48.2,null,null
l12_months,proximity (ft),"Petronzio, Nathan",null,null,null,null,null,null,null,null,12,47.5,null,null
l12_months,proximity (ft),"Pulcini, Mateo",null,null,null,null,null,null,null,null,17,37.5,20,66.3
l12_months,proximity (ft),"Russell, Miles",14,15.5,null,null,null,null,null,null,22,46.8,null,null
l12_months,proximity (ft),"Repetto Taylor, Rocco",null,null,null,null,null,null,null,null,17,46.3,null,null
l12_months,proximity (ft),"Bairstow, Sam",null,null,null,null,null,null,null,null,12,48.8,null,null
l12_months,proximity (ft),"Gonzalez, Emilio",12,14.4,null,null,54,33.1,null,null,17,38.4,28,69.1
l12_months,proximity (ft),"Watts, Tyler",null,null,null,null,null,null,null,null,11,29.7,null,null
