Last Name,First Name,main-tour,L5-1 Place,L5 Tournament-1,L5 Tournament-Tour1,L5-2 Place,L5 Tournament-2,L5 Tournament-Tour2,L5-3 Place,L5 Tournament-3,L5 Tournament-Tour3,L5-4 Place,L5 Tournament-4,L5 Tournament-Tour4,L5-5 Place,L5 Tournament-5,L5 Tournament-Tour5,Last 20 Rds True-SG,Last 20 VERSUS BASELINE
ENGLISH,HARRIS,PGA Tour,T4,RBC Heritage,PGA Tour,T55,Cadillac Championship,PGA Tour,T24,Truist Championship,PGA Tour,T18,PGA Championship,Major,T17,the Memorial Tournament presented by Workday,PGA Tour,1.58,0.15
MCNEALY,MAVERICK,PGA Tour,T16,RBC Heritage,PGA Tour,T30,Cadillac Championship,PGA Tour,T37,Truist Championship,PGA Tour,T18,PGA Championship,Major,T10,the Memorial Tournament presented by Workday,PGA Tour,1.58,0.05
RAI,AARON,PGA Tour,T24,Zurich Classic of New Orleans,PGA Tour,5,ONEflight Myrtle Beach Classic,PGA Tour,,PGA Championship,Major,T19,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,1.57,0.6
SMALLEY,ALEX,PGA Tour,T7,Cadillac Championship,PGA Tour,T17,Truist Championship,PGA Tour,T2,PGA Championship,Major,T3,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,1.54,0.8
POSTON,J.T.,PGA Tour,T49,Cadillac Championship,PGA Tour,T24,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T35,Charles Schwab Challenge,PGA Tour,,the Memorial Tournament presented by Workday,PGA Tour,1.53,0.77
MORIKAWA,COLLIN,PGA Tour,T7,Masters Tournament,Major,T4,RBC Heritage,PGA Tour,T62,Cadillac Championship,PGA Tour,T55,PGA Championship,Major,T29,RBC Canadian Open,PGA Tour,1.52,0.19
NOREN,ALEX,PGA Tour,T7,Cadillac Championship,PGA Tour,T31,Truist Championship,PGA Tour,T26,PGA Championship,Major,9,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,1.45,0.13
SCOTT,ADAM,PGA Tour,T24,Masters Tournament,Major,T4,Cadillac Championship,PGA Tour,T24,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T12,the Memorial Tournament presented by Workday,PGA Tour,1.45,0.27
GERARD,RYAN,PGA Tour,T30,Cadillac Championship,PGA Tour,T65,Truist Championship,PGA Tour,T70,PGA Championship,Major,T10,Charles Schwab Challenge,PGA Tour,2,the Memorial Tournament presented by Workday,PGA Tour,1.39,0.51
VINCENT,SCOTT,LIV Golf,4,Mexico City,LIV Golf,T8,Virginia,LIV Golf,5,Korea,LIV Golf,15,Andalucia,LIV Golf,T10,International Series Morocco presented by Visit Morocco,Asian Tour,1.37,1.06
GRIFFIN,BEN,PGA Tour,3,Cadillac Championship,PGA Tour,T63,Truist Championship,PGA Tour,T14,PGA Championship,Major,T3,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,1.36,-0.08
POTGIETER,ALDRICH,PGA Tour,T25,RBC Heritage,PGA Tour,T14,Cadillac Championship,PGA Tour,T48,Truist Championship,PGA Tour,T35,PGA Championship,Major,T8,RBC Canadian Open,PGA Tour,1.34,1.23
HOVLAND,VIKTOR,PGA Tour,T42,RBC Heritage,PGA Tour,T38,Cadillac Championship,PGA Tour,T31,Truist Championship,PGA Tour,CUT,PGA Championship,Major,3,RBC Canadian Open,PGA Tour,1.29,-0.18
NIEMANN,JOAQUIN,LIV Golf,T8,Mexico City,LIV Golf,T20,Virginia,LIV Golf,,PGA Championship,Major,T18,Korea,LIV Golf,T24,Andalucia,LIV Golf,1.28,0.79
LOWRY,SHANE,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T23,Cadillac Championship,PGA Tour,T44,PGA Championship,Major,T22,the Memorial Tournament presented by Workday,PGA Tour,T29,RBC Canadian Open,PGA Tour,1.25,0.21
JOHNSON,DUSTIN,LIV Golf,T18,Mexico City,LIV Golf,T17,Virginia,LIV Golf,4,PGA Championship,Major,T44,Korea,LIV Golf,T5,Andalucia,LIV Golf,1.23,0.81
PUIG,DAVID,LIV Golf,T12,Turkish Airlines Open,DP World Tour,T18,Virginia,LIV Golf,T16,PGA Championship,Major,T18,Korea,LIV Golf,T5,Andalucia,LIV Golf,1.2,0.3
KOEPKA,BROOKS,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T11,ONEflight Myrtle Beach Classic,PGA Tour,T55,PGA Championship,Major,T14,THE CJ CUP Byron Nelson,PGA Tour,WD,RBC Canadian Open,PGA Tour,1.2,0.73
CHACARRA,EUGENIO,DP World Tour,T18,Turkish Airlines Open,DP World Tour,T10,Estrella Damm Catalunya Championship,DP World Tour,T22,Soudal Open,DP World Tour,T12,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,,KLM Open,DP World Tour,1.19,1.11
WOODLAND,GARY,PGA Tour,T38,Cadillac Championship,PGA Tour,T17,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T6,Charles Schwab Challenge,PGA Tour,T36,the Memorial Tournament presented by Workday,PGA Tour,1.18,0.46
BAUCHOU,ZACH,PGA Tour,T13,Zurich Classic of New Orleans,PGA Tour,T24,ONEflight Myrtle Beach Classic,PGA Tour,T6,THE CJ CUP Byron Nelson,PGA Tour,T22,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,1.16,1
KOIVUN,JACKSON,Amateur,T10,Mason Rudolph Championship,Amateur,T10,Ford Collegiate,Amateur,,2026 SEC Men's Golf Championship Stroke Play,Amateur,,NCAA Athens Regional,Amateur,,NCAA DI Men's National Championship- Stroke Play,Amateur,1.14,-0.14
SPIETH,JORDAN,PGA Tour,T18,Cadillac Championship,PGA Tour,T52,Truist Championship,PGA Tour,T18,PGA Championship,Major,T19,THE CJ CUP Byron Nelson,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,1.03,0
COUSSAUD,UGO,DP World Tour,T3,Hero Indian Open,DP World Tour,T9,Turkish Airlines Open,DP World Tour,T25,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,1.03,1.12
ROSE,JUSTIN,PGA Tour,T65,Cadillac Championship,PGA Tour,T45,Truist Championship,PGA Tour,T10,PGA Championship,Major,T12,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,1.02,-0.42
