Last Name,First Name,main-tour,L5-1 Place,L5 Tournament-1,L5 Tournament-Tour1,L5-2 Place,L5 Tournament-2,L5 Tournament-Tour2,L5-3 Place,L5 Tournament-3,L5 Tournament-Tour3,L5-4 Place,L5 Tournament-4,L5 Tournament-Tour4,L5-5 Place,L5 Tournament-5,L5 Tournament-Tour5,Last 20 Rds True-SG,Last 20 VERSUS BASELINE
FISK,STEVEN,PGA Tour,T38,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,T19,THE CJ CUP Byron Nelson,PGA Tour,T10,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.54,0.47
EWART,A.J.,PGA Tour,T20,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T19,THE CJ CUP Byron Nelson,PGA Tour,T17,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,0.54,0.71
COODY,PIERCESON,PGA Tour,T24,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T19,THE CJ CUP Byron Nelson,PGA Tour,T22,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.53,0.05
KIM,CHAN,Korn Ferry Tour,T16,Colonial Life Charity Classic,Korn Ferry Tour,T3,THE CJ CUP Byron Nelson,PGA Tour,T13,UNC Health Championship,Korn Ferry Tour,T38,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T35,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.52,0.95
MCCARTY,MATT,PGA Tour,T9,Cadillac Championship,PGA Tour,T10,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T60,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.52,-0.18
WALLACE,MATT,PGA Tour,T30,Zurich Classic of New Orleans,PGA Tour,T23,Cadillac Championship,PGA Tour,T37,Truist Championship,PGA Tour,T44,PGA Championship,Major,CUT,RBC Canadian Open,PGA Tour,0.52,0.06
VAN ROOYEN,ERIK,PGA Tour,T17,Zurich Classic of New Orleans,PGA Tour,T38,ONEflight Myrtle Beach Classic,PGA Tour,T19,THE CJ CUP Byron Nelson,PGA Tour,70,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,0.51,1.04
MCCARTHY,DENNY,PGA Tour,T30,Cadillac Championship,PGA Tour,T48,Truist Championship,PGA Tour,T44,PGA Championship,Major,T34,the Memorial Tournament presented by Workday,PGA Tour,T60,RBC Canadian Open,PGA Tour,0.5,-0.02
EICHHORN,HUNTER,Korn Ferry Tour,T51,Colonial Life Charity Classic,Korn Ferry Tour,2,Visit Knoxville Open,Korn Ferry Tour,T48,UNC Health Championship,Korn Ferry Tour,T17,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,5,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.47,0.47
KEEFER,JOHNNY,PGA Tour,T31,ONEflight Myrtle Beach Classic,PGA Tour,79,PGA Championship,Major,T9,THE CJ CUP Byron Nelson,PGA Tour,T35,Charles Schwab Challenge,PGA Tour,T51,RBC Canadian Open,PGA Tour,0.46,0.41
TAYLOR,BEN,Korn Ferry Tour,T27,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,T7,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T28,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.44,0.93
BRYANT,DAVIS,DP World Tour,T29,Turkish Airlines Open,DP World Tour,T31,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,T2,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T38,KLM Open,DP World Tour,0.44,1.08
FERGUSON,EWEN,DP World Tour,T4,Turkish Airlines Open,DP World Tour,T25,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,WD,KLM Open,DP World Tour,0.43,0.49
KIM,TOM,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T6,ONEflight Myrtle Beach Classic,PGA Tour,T54,THE CJ CUP Byron Nelson,PGA Tour,T54,Charles Schwab Challenge,PGA Tour,T15,RBC Canadian Open,PGA Tour,0.42,0.18
HILL,CALUM,DP World Tour,T45,Hainan Classic presented by MAEXTRO,DP World Tour,T6,Hero Indian Open,DP World Tour,T59,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T14,KLM Open,DP World Tour,0.41,0.45
JAMES,BEN,Amateur,T4,Lewis Chitengwa Memorial,Amateur,T5,2026 ACC Men's Golf Championship - Stroke Play,Amateur,T16,NCAA Winston-Salem Regional,Amateur,T54,NCAA DI Men's National Championship- Stroke Play,Amateur,,RBC Canadian Open,PGA Tour,0.41,0.06
ANCER,ABRAHAM,LIV Golf,43,Virginia,LIV Golf,T5,Kolon The 68th KOREA Open,ASA,T29,Korea,LIV Golf,3,Andalucia,LIV Golf,T22,International Series Morocco presented by Visit Morocco,Asian Tour,0.4,-0.12
RITCHIE,JC,DP World Tour,T9,Turkish Airlines Open,DP World Tour,T3,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T45,KLM Open,DP World Tour,0.39,0.49
BRIDGEMAN,JACOB,PGA Tour,T65,Cadillac Championship,PGA Tour,T52,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T34,the Memorial Tournament presented by Workday,PGA Tour,T11,RBC Canadian Open,PGA Tour,0.39,-0.56
MACINTYRE,ROBERT,PGA Tour,T60,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T42,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,T15,RBC Canadian Open,PGA Tour,0.39,-1.12
BERGER,DANIEL,PGA Tour,T42,RBC Heritage,PGA Tour,T23,Cadillac Championship,PGA Tour,T45,Truist Championship,PGA Tour,T35,PGA Championship,Major,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.38,-0.11
NEERGAARD-PETERSEN,RASMUS,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T75,PGA Championship,Major,T19,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,39,RBC Canadian Open,PGA Tour,0.38,-0.09
YU,KEVIN,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T53,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T35,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,0.38,0.22
OLESEN,JACOB SKOV,DP World Tour,T4,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T2,Soudal Open,DP World Tour,T26,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T55,KLM Open,DP World Tour,0.38,0.41
KIMSEY,NATHAN,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T8,Estrella Damm Catalunya Championship,DP World Tour,T17,Soudal Open,DP World Tour,,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,WD,KLM Open,DP World Tour,0.37,0.72
HILLIER,DANIEL,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T26,PGA Championship,Major,CUT,Soudal Open,DP World Tour,T7,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T14,KLM Open,DP World Tour,0.36,-0.25
REDMAN,DOC,Korn Ferry Tour,T7,Colonial Life Charity Classic,Korn Ferry Tour,,Visit Knoxville Open,Korn Ferry Tour,T48,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.36,0.81
HOEY,RICO,PGA Tour,T53,ONEflight Myrtle Beach Classic,PGA Tour,T60,PGA Championship,Major,T19,THE CJ CUP Byron Nelson,PGA Tour,T17,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.35,-0.03
SHORE,DAVIS,Korn Ferry Tour,T36,Colonial Life Charity Classic,Korn Ferry Tour,T8,Visit Knoxville Open,Korn Ferry Tour,T34,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T21,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.34,0.85
ROZNER,ANTOINE,DP World Tour,T8,Volvo China Open,DP World Tour,T29,Turkish Airlines Open,DP World Tour,T17,Estrella Damm Catalunya Championship,DP World Tour,T26,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T55,KLM Open,DP World Tour,0.31,0.43
WATSON,BUBBA,LIV Golf,T35,Virginia,LIV Golf,CUT,Kolon The 68th KOREA Open,ASA,T29,Korea,LIV Golf,9,Andalucia,LIV Golf,2,International Series Morocco presented by Visit Morocco,Asian Tour,0.3,0.36
SIDES,WILLIAM,Amateur,T1,Lewis Chitengwa Memorial,Amateur,4,2026 ACC Men's Golf Championship - Stroke Play,Amateur,16,NCAA Bryan Regional,Amateur,CUT,THE CJ CUP Byron Nelson,PGA Tour,T14,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.29,0.79
VALIMAKI,SAMI,PGA Tour,CUT,Masters Tournament,Major,T55,RBC Heritage,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T60,PGA Championship,Major,10,KLM Open,DP World Tour,0.28,-0.13
HUBBARD,MARK,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,2,ONEflight Myrtle Beach Classic,PGA Tour,T31,THE CJ CUP Byron Nelson,PGA Tour,T60,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.28,0.4
GRIFFIN,LANTO,PGA Tour,T13,Zurich Classic of New Orleans,PGA Tour,T13,ONEflight Myrtle Beach Classic,PGA Tour,T67,THE CJ CUP Byron Nelson,PGA Tour,T32,Charles Schwab Challenge,PGA Tour,T60,RBC Canadian Open,PGA Tour,0.28,0.38
MOLINARI,FRANCESCO,DP World Tour,T34,Hainan Classic presented by MAEXTRO,DP World Tour,T6,Hero Indian Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T32,KLM Open,DP World Tour,0.28,0.51
SCHMID,MATTI,PGA Tour,T10,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T4,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.28,0.2
GARCIA,SERGIO,LIV Golf,T39,Mexico City,LIV Golf,2,Virginia,LIV Golf,T29,Korea,LIV Golf,4,Andalucia,LIV Golf,CUT,International Series Morocco presented by Visit Morocco,Asian Tour,0.27,0.19
STRAKA,SEPP,PGA Tour,T4,Cadillac Championship,PGA Tour,T63,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T12,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T40,the Memorial Tournament presented by Workday,PGA Tour,0.27,-0.54
STEINLECHNER,MAXIMILIAN,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T59,Soudal Open,DP World Tour,T7,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T3,KLM Open,DP World Tour,0.26,1.23
MENANTE,DYLAN,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T12,Visit Knoxville Open,Korn Ferry Tour,T38,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.25,0.86
BRENNAN,MICHAEL,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,81,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T6,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.25,-0.14
MATSUYAMA,HIDEKI,PGA Tour,T53,Cadillac Championship,PGA Tour,71,Truist Championship,PGA Tour,T26,PGA Championship,Major,T13,Charles Schwab Challenge,PGA Tour,T43,the Memorial Tournament presented by Workday,PGA Tour,0.24,-1.08
HOSSLER,BEAU,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T3,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T45,RBC Canadian Open,PGA Tour,0.24,0.1
HERBERT,LUCAS,LIV Golf,CUT,Mexico City,LIV Golf,T46,Singapore Open presented by The Business Times,Asian Tour,T8,Virginia,LIV Golf,,Korea,LIV Golf,T24,Andalucia,LIV Golf,0.23,0.19
MOUW,WILLIAM,PGA Tour,T26,Zurich Classic of New Orleans,PGA Tour,T70,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,0.23,-0.2
ECHAVARRIA,NICO,PGA Tour,T55,Cadillac Championship,PGA Tour,T31,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T6,Charles Schwab Challenge,PGA Tour,T40,the Memorial Tournament presented by Workday,PGA Tour,0.23,-0.09
SMITH,JORDAN,PGA Tour,T55,Cadillac Championship,PGA Tour,CUT,PGA Championship,Major,T59,THE CJ CUP Byron Nelson,PGA Tour,T13,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.21,-0.25
VAILLANT,TOM,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T31,Estrella Damm Catalunya Championship,DP World Tour,T13,Soudal Open,DP World Tour,T26,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,0.21,0.42
VAN DRIEL,DARIUS,DP World Tour,T4,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T13,Soudal Open,DP World Tour,T40,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,0.2,0.89
DE LEO,GREGORIO,DP World Tour,T7,Turkish Airlines Open,DP World Tour,T70,Estrella Damm Catalunya Championship,DP World Tour,T8,Soudal Open,DP World Tour,T4,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,0.2,0.74
DAFFUE,MJ,DP World Tour,T18,Turkish Airlines Open,DP World Tour,T64,Estrella Damm Catalunya Championship,DP World Tour,T3,Challenge de Catalunya,Challenge Tour,T8,Soudal Open,DP World Tour,T35,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,0.19,1.32
HOMA,MAX,PGA Tour,T38,Cadillac Championship,PGA Tour,T52,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T22,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,0.19,-0.3
ORTIZ,ALVARO,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T46,Visit Knoxville Open,Korn Ferry Tour,,UNC Health Championship,Korn Ferry Tour,T40,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T10,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.19,0.95
PAK,JOHN,Korn Ferry Tour,T13,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T7,Colonial Life Charity Classic,Korn Ferry Tour,T46,Visit Knoxville Open,Korn Ferry Tour,T69,UNC Health Championship,Korn Ferry Tour,T7,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,0.18,0.61
STOUT,PRESTON,Amateur,T18,Mountaineer Invitational at Pete Dye,Amateur,CUT,Big 12 Men's Golf Championship,Amateur,,NCAA Marana Regional,Amateur,,THE CJ CUP Byron Nelson,PGA Tour,,NCAA DI Men's National Championship- Stroke Play,Amateur,0.17,0.07
THORBJORNSEN,MICHAEL,PGA Tour,T53,Cadillac Championship,PGA Tour,CUT,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,16,Charles Schwab Challenge,PGA Tour,T54,RBC Canadian Open,PGA Tour,0.16,-0.59
DOCHERTY,ALISTAIR,Korn Ferry Tour,T19,LECOM Suncoast Classic,Korn Ferry Tour,T16,Colonial Life Charity Classic,Korn Ferry Tour,T56,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T17,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,0.16,0.88
PEPPERELL,EDDIE,DP World Tour,T29,Turkish Airlines Open,DP World Tour,T17,Estrella Damm Catalunya Championship,DP World Tour,T24,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T60,KLM Open,DP World Tour,0.15,0.61
SKINNS,DAVID,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T24,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,0.14,0.46
JOHNSON,MICHAEL,Korn Ferry Tour,T7,Colonial Life Charity Classic,Korn Ferry Tour,T12,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T35,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.13,0.27
FISHBURN,PATRICK,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T19,ONEflight Myrtle Beach Classic,PGA Tour,T47,THE CJ CUP Byron Nelson,PGA Tour,T54,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,0.12,0.17
GILLIGAN,IAN,Korn Ferry Tour,T7,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.12,0.55
SMOTHERMAN,AUSTIN,PGA Tour,T60,Cadillac Championship,PGA Tour,T19,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T42,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,0.11,0.03
JOHNSON,ZACH,PGA Tour Champions,CUT,Masters Tournament,Major,T8,Senior PGA Championship,PGA Tour Champions,3,Mitsubishi Electric Classic,PGA Tour Champions,T5,Insperity Invitational,PGA Tour Champions,,Principal Charity Classic,PGA Tour Champions,0.1,0.17
KUCHAR,MATT,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T24,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T22,Charles Schwab Challenge,PGA Tour,T22,the Memorial Tournament presented by Workday,PGA Tour,0.1,-0.13
REAVIE,CHEZ,Korn Ferry Tour,T16,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,T13,UNC Health Championship,Korn Ferry Tour,T33,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T28,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.08,0.93
MCKIBBIN,TOM,LIV Golf,CUT,Turkish Airlines Open,DP World Tour,T21,Virginia,LIV Golf,CUT,PGA Championship,Major,T23,Korea,LIV Golf,T21,Andalucia,LIV Golf,0.08,-0.33
ISHIKAWA,RYO,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T15,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T12,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T3,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.07,0.62
JOHNSTON,ANDREW,DP World Tour,T25,Volvo China Open,DP World Tour,T61,Turkish Airlines Open,DP World Tour,T37,Estrella Damm Catalunya Championship,DP World Tour,T13,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,0.06,0.79
GARNETT,BRICE,PGA Tour,T24,Zurich Classic of New Orleans,PGA Tour,T19,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T22,Charles Schwab Challenge,PGA Tour,T4,RBC Canadian Open,PGA Tour,0.06,0.67
DAY,JASON,PGA Tour,T42,RBC Heritage,PGA Tour,T38,Cadillac Championship,PGA Tour,68,Truist Championship,PGA Tour,T65,PGA Championship,Major,CUT,the Memorial Tournament presented by Workday,PGA Tour,0.06,-0.86
GOOCH,TALOR,LIV Golf,T24,South Africa,LIV Golf,T43,Mexico City,LIV Golf,T39,Virginia,LIV Golf,2,Korea,LIV Golf,T16,Andalucia,LIV Golf,0.05,-0.15
SCHAPER,JAYDEN,DP World Tour,T25,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T24,PGA Championship,Major,,Soudal Open,DP World Tour,T11,KLM Open,DP World Tour,0.04,-0.7
THEEGALA,SAHITH,PGA Tour,69,Truist Championship,PGA Tour,T60,PGA Championship,Major,T60,Charles Schwab Challenge,PGA Tour,T32,the Memorial Tournament presented by Workday,PGA Tour,T45,RBC Canadian Open,PGA Tour,0.04,-0.56
CASTILLO,RICKY,PGA Tour,T55,Cadillac Championship,PGA Tour,T60,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T42,Charles Schwab Challenge,PGA Tour,T45,RBC Canadian Open,PGA Tour,0.04,-0.26
MAAS,CHRISTIAAN,Amateur,2,Ford Collegiate,Amateur,T3,2026 SEC Men's Golf Championship Stroke Play,Amateur,T5,NCAA Bryan Regional,Amateur,T19,NCAA DI Men's National Championship- Stroke Play,Amateur,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,0.02,0.38
WILLIAMS,MASON,PGA Tour Americas,T3,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T39,Diners Club Peru Open,PGA Tour Americas,T13,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,3,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T15,Inter Rapidisimo Golf Championship,PGA Tour Americas,0.01,0.94
ERENO PEREZ,PABLO,Challenge Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,,Challenge de Catalunya,Challenge Tour,T20,Danish Golf Challenge,Challenge Tour,T7,Challenge de España,Challenge Tour,T14,KLM Open,DP World Tour,0.01,1.01
HISATSUNE,RYO,PGA Tour,T45,Truist Championship,PGA Tour,T35,PGA Championship,Major,T19,THE CJ CUP Byron Nelson,PGA Tour,66,Charles Schwab Challenge,PGA Tour,52,the Memorial Tournament presented by Workday,PGA Tour,0.01,-0.1
KIM,S.H.,KPGA Korean Tour,T13,The 21st DB Insurance Promy Open,KPGA Korean Tour,T6,The 45th GS Caltex Maekyung Open,ASA,T6,KPGA Gyeongbuk Open,KPGA Korean Tour,T8,Kolon The 68th KOREA Open,ASA,CUT,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,0,0.25
BRADBURY,DAN,DP World Tour,T17,Hainan Classic presented by MAEXTRO,DP World Tour,T59,Hero Indian Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T6,Estrella Damm Catalunya Championship,DP World Tour,65,KLM Open,DP World Tour,0,0.1
HORSCHEL,BILLY,PGA Tour,CUT,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,T15,RBC Canadian Open,PGA Tour,0,0.1
NAKAJIMA,KEITA,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T13,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T28,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,-0.01,0.1
DEAN,JOE,DP World Tour,T61,Turkish Airlines Open,DP World Tour,T64,Estrella Damm Catalunya Championship,DP World Tour,T47,Soudal Open,DP World Tour,T12,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T3,KLM Open,DP World Tour,-0.01,0.88
MORRISON,TOMMY,Amateur,T12,Ford Collegiate,Amateur,T17,2026 SEC Men's Golf Championship Stroke Play,Amateur,T5,NCAA Bryan Regional,Amateur,T10,NCAA DI Men's National Championship- Stroke Play,Amateur,T10,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.02,0.56
OLESEN,THORBJORN,PGA Tour,T14,Texas Children's Houston Open,PGA Tour,T49,Valero Texas Open,PGA Tour,T62,THE CJ CUP Byron Nelson,PGA Tour,T67,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.02,-0.43
WARING,PAUL,DP World Tour,T30,Valero Texas Open,PGA Tour,CUT,Turkish Airlines Open,DP World Tour,T13,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,T48,KLM Open,DP World Tour,-0.02,0.6
PAVON,MATTHIEU,PGA Tour,T20,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T40,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,-0.03,0.26
DOU,ZECHENG,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T13,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.03,-0.06
COUVRA,MARTIN,DP World Tour,T43,Turkish Airlines Open,DP World Tour,T10,Estrella Damm Catalunya Championship,DP World Tour,T24,Soudal Open,DP World Tour,T35,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.04,0.3
VARNER III,HAROLD,LIV Golf,T38,South Africa,LIV Golf,T12,Mexico City,LIV Golf,T51,Virginia,LIV Golf,T6,Korea,LIV Golf,T19,Andalucia,LIV Golf,-0.05,0.3
STEELE,BRENDAN,LIV Golf,T24,South Africa,LIV Golf,T25,Mexico City,LIV Golf,T39,Virginia,LIV Golf,T6,Korea,LIV Golf,T31,Andalucia,LIV Golf,-0.05,0.54
ARMITAGE,MARCUS,DP World Tour,T9,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T2,Soudal Open,DP World Tour,T26,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T14,KLM Open,DP World Tour,-0.06,-0.07
PEREIRA,COREY,PGA Tour Americas,T10,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T24,Diners Club Peru Open,PGA Tour Americas,CUT,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T5,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.06,0.01
BUTLER,JOHN MARSHALL,Korn Ferry Tour,T27,Colonial Life Charity Classic,Korn Ferry Tour,T3,Visit Knoxville Open,Korn Ferry Tour,T13,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.07,1.13
