Last Name,First Name,Events,Rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-OTT,SG-TOTAL,Driving-Distance,Driving-Accuracy
THEEGALA,SAHITH,26,94,0,0%,0.04,0.32,0.18,-0.01,0.5,0.6,3.1,-2.10%
MITCHELL,KEITH,26,92,0,0%,-0.23,-0.08,0.2,0.63,0.75,0.56,9,-1.90%
KIM,MICHAEL,31,111,1,3%,0.41,0.01,0.39,-0.2,0.21,0.55,-3.8,-2.80%
CONNERS,COREY,23,85,0,0%,-0.17,-0.05,0.56,0.2,0.71,0.54,-1.5,6.60%
THOMPSON,DAVIS,25,85,0,0%,-0.19,0.09,0.21,0.31,0.61,0.54,3.4,3.70%
KIRK,CHRIS,22,73,0,0%,-0.23,0.18,0.47,0.18,0.83,0.51,-0.4,1.10%
STEVENS,SAM,29,106,0,0%,-0.16,0.07,0.11,0.5,0.68,0.51,6,1.20%
BERGER,DANIEL,21,77,0,0%,-0.03,-0.46,0.73,0.28,0.55,0.49,2.6,3.50%
NIEMANN,JOAQUIN,24,76,2,8%,-0.22,0.09,0.19,0.75,1.03,0.49,12.4,-0.20%
COODY,PIERCESON,34,117,0,0%,0.09,-0.31,0.17,0.65,0.51,0.48,12.6,-1.00%
KOEPKA,BROOKS,23,71,0,0%,-0.21,0.03,0.3,0.26,0.58,0.46,6.7,-2.70%
GREYSERMAN,MAX,27,82,0,0%,0.1,0.18,0.05,-0.08,0.14,0.43,7.8,-6.20%
FITZPATRICK,ALEX,31,108,2,6%,0.09,0.12,0.15,0.12,0.38,0.43,-3.6,4.70%
MOUW,WILLIAM,23,77,1,4%,0,-0.06,0.17,0.27,0.37,0.43,5.3,2.70%
JOHNSON,DUSTIN,23,77,0,0%,0.71,-0.09,-0.07,0.04,-0.12,0.42,6.6,-2.20%
BRENNAN,MICHAEL,30,105,4,13%,-0.18,-0.37,-0.01,0.9,0.53,0.38,18.3,1.50%
NOVAK,ANDREW,27,97,0,0%,-0.08,0.11,0.25,0.03,0.39,0.36,-0.9,-1.00%
PUTNAM,ANDREW,29,93,0,0%,0.32,0.54,0.23,-0.55,0.22,0.36,-21.9,11.00%
MCGREEVY,MAX,31,98,0,0%,-0.41,0.07,0.14,0.32,0.53,0.35,-4.9,6.10%
PARRY,JOHN,33,120,0,0%,-0.25,0.03,0.29,0.04,0.36,0.34,-3.7,3.20%
