player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Young, Cameron",11,42,42,1,2,3,5,-0.024,75,-2.995,-1.083,0.034,1.010,2.494,1.640,-0.016,77,-1.792,-0.530,-0.088,0.747,1.319,1.094,0.475,25,-2.169,-0.552,0.549,1.526,3.068,1.721,0.366,26,-1.666,-0.137,0.538,1.167,1.725,1.124,0.841,22,-3.034,-0.388,1.144,1.946,3.943,2.138,0.825,20,-3.264,-0.459,0.614,2.552,4.914,2.599,0.801,25,-3.539,-1.413,0.650,2.656,6.027,3.162,0.801,25,-3.539,-1.413,0.650,2.656,6.027,3.162,10.678,10,-4.750,4.378,13.277,18.277,23.197,10.421,-0.024,101,-0.214,-0.100,-0.005,0.061,0.168,0.140
"Grillo, Emiliano",10,38,34,0,1,3,6,0.677,9,-1.587,-0.417,0.561,1.435,3.448,1.690,-0.084,90,-1.454,-0.366,-0.144,0.349,1.139,0.844,0.185,52,-4.155,-0.922,0.355,2.020,3.149,2.608,0.189,49,-1.326,-0.106,0.458,0.840,1.395,1.319,0.374,47,-5.070,-1.233,0.974,2.050,4.346,2.996,0.290,59,-5.768,-1.455,0.722,2.257,4.279,3.178,0.797,26,-5.074,-0.440,1.377,2.480,5.669,3.569,0.797,26,-5.074,-0.440,1.377,2.480,5.669,3.569,-3.518,100,-18.302,-7.733,-3.357,0.680,9.723,8.788,0.075,14,-0.172,-0.010,0.098,0.186,0.254,0.140
"Taylor, Nick",10,32,30,0,1,1,4,0.155,50,-1.977,-0.655,0.027,1.169,2.005,1.362,0.476,10,-1.371,-0.081,0.478,1.208,2.222,1.050,0.109,59,-3.005,-0.650,-0.031,1.045,2.879,1.745,0.233,43,-1.877,-0.010,0.620,0.923,1.345,1.039,0.342,50,-3.049,-0.569,0.252,1.318,3.985,2.177,0.818,21,-3.941,-0.337,0.849,2.305,4.189,2.497,0.790,27,-3.505,-0.779,0.656,2.875,5.721,2.765,0.790,27,-3.505,-0.779,0.656,2.875,5.721,2.765,-5.418,113,-20.848,-9.869,-5.752,0.401,8.186,9.229,0.040,39,-0.198,-0.041,0.056,0.119,0.232,0.145
"Poston, J.T.",12,38,36,1,3,4,4,0.467,20,-2.779,-0.896,0.728,1.476,3.676,1.978,-0.070,89,-2.091,-0.839,0.143,0.892,1.949,1.759,0.094,61,-1.933,-0.830,0.122,0.610,2.414,1.484,0.306,34,-0.972,-0.144,0.258,0.933,1.707,0.894,0.400,43,-1.695,-0.562,0.060,0.906,3.375,1.583,0.330,55,-2.641,-0.954,0.236,1.249,4.613,2.726,0.788,28,-3.571,-1.814,1.170,2.756,4.992,3.258,0.788,28,-3.571,-1.814,1.170,2.756,4.992,3.258,-4.687,107,-12.311,-7.697,-4.421,-1.028,3.624,5.954,0.030,49,-0.178,-0.058,0.042,0.113,0.247,0.140
"Penge, Marco",2,6,6,0,1,1,1,0.578,15,-1.331,-0.338,0.562,1.003,2.834,1.708,-0.631,136,-2.790,-1.288,-0.299,0.267,0.979,1.552,-0.312,102,-2.713,-0.968,-0.133,1.023,1.427,1.746,1.138,1,0.416,0.571,0.918,1.726,2.101,0.752,0.825,25,-0.789,0.554,0.767,1.543,2.209,1.234,0.194,66,-2.362,-1.158,0.770,1.633,2.020,1.928,0.772,29,-2.699,-1.092,1.218,3.023,3.467,2.752,0.772,29,-2.699,-1.092,1.218,3.023,3.467,2.752,20.010,2,6.420,9.657,20.228,30.392,33.326,12.009,0.001,78,-0.132,-0.128,-0.102,0.091,0.279,0.191
"Lebioda, Hank",4,12,10,0,0,0,2,-0.506,115,-2.312,-0.958,-0.756,0.206,1.335,1.358,0.186,44,-0.598,-0.311,0.177,0.705,0.945,0.600,1.227,3,-1.016,-0.121,1.050,2.692,3.477,1.743,-0.144,99,-1.406,-0.743,0.082,0.307,0.879,0.840,1.082,12,-1.362,-0.634,1.132,2.482,3.760,1.969,1.269,7,-1.291,-0.461,1.263,2.171,4.448,2.120,0.711,30,-1.750,-0.966,0.640,1.983,3.675,1.914,0.711,30,-1.750,-0.966,0.640,1.983,3.675,1.914,-0.757,79,-13.475,-7.773,0.426,3.698,13.401,9.888,-0.033,109,-0.262,-0.130,0.014,0.067,0.103,0.143
"Rai, Aaron",11,38,38,0,0,0,7,-0.102,86,-2.296,-1.094,0.006,0.911,3.201,1.693,0.397,17,-0.822,-0.197,0.200,1.085,2.058,0.927,0.057,66,-2.206,-0.931,0.126,0.920,2.371,1.422,0.344,27,-0.906,-0.071,0.496,0.871,1.512,0.883,0.401,42,-1.791,-0.936,0.378,1.435,3.040,1.717,0.798,23,-1.902,-0.414,0.861,2.276,3.417,1.895,0.697,31,-2.654,-0.855,-0.003,2.477,4.980,2.597,0.697,31,-2.654,-0.855,-0.003,2.477,4.980,2.597,-10.553,130,-23.967,-19.609,-9.610,-2.883,3.560,9.898,0.122,2,-0.034,0.071,0.117,0.190,0.285,0.117
"Glover, Lucas",13,43,38,0,3,5,6,-0.441,113,-2.812,-1.631,-0.799,0.961,2.162,1.645,0.133,50,-1.975,-0.461,0.112,0.485,2.281,1.259,0.711,9,-2.017,-0.155,0.768,2.022,3.401,1.640,0.320,31,-0.846,-0.312,0.283,0.982,1.530,0.797,1.031,16,-1.799,0.039,0.712,2.421,3.445,1.863,1.163,10,-2.677,0.410,1.376,2.492,4.176,2.220,0.693,32,-4.057,-1.088,0.648,2.728,5.109,3.014,0.693,32,-4.057,-1.088,0.648,2.728,5.109,3.014,-7.874,124,-22.748,-15.513,-7.398,-0.967,7.010,9.583,0.101,8,-0.087,0.013,0.099,0.167,0.333,0.121
"Horschel, Billy",8,28,28,0,1,1,4,0.344,31,-2.268,-0.902,0.276,1.527,3.230,1.753,-0.133,99,-1.909,-0.632,-0.152,0.318,1.545,1.036,0.444,27,-2.264,-0.550,0.417,1.614,2.983,1.616,0.031,82,-2.009,-0.683,0.309,0.776,1.518,1.164,0.476,37,-2.887,-0.486,0.505,1.967,2.910,1.855,0.342,52,-3.944,-1.470,1.027,2.132,3.069,2.329,0.687,33,-3.327,-0.910,0.594,2.512,4.417,2.496,0.687,33,-3.327,-0.910,0.594,2.512,4.417,2.496,-4.538,106,-18.064,-11.177,-3.353,2.903,7.484,9.628,-0.011,88,-0.201,-0.091,-0.021,0.080,0.229,0.135
"Fishburn, Patrick",11,34,26,0,0,1,4,0.617,12,-2.368,-0.710,1.065,1.748,2.850,1.782,-0.047,82,-1.454,-0.559,-0.029,0.439,1.169,0.932,-0.195,96,-2.599,-1.516,0.004,0.967,2.192,1.579,0.205,48,-0.929,-0.081,0.337,0.614,1.065,0.800,0.010,72,-2.477,-1.125,0.176,0.969,2.480,1.628,-0.036,79,-3.575,-0.896,0.113,1.111,2.874,2.008,0.627,34,-3.508,-0.951,0.934,2.087,4.642,2.661,0.627,34,-3.508,-0.951,0.934,2.087,4.642,2.661,1.182,66,-16.470,-9.837,-0.389,9.355,21.015,12.616,0.008,70,-0.146,-0.029,0.007,0.085,0.149,0.098
