player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Lipsky, David",25,82,64,0,1,1,4,0.087,63,-2.521,-1.103,0.154,1.205,2.943,1.825,0.198,32,-1.535,-0.437,0.175,0.938,1.783,1.099,-0.048,81,-2.320,-1.316,0.045,0.864,2.791,1.669,-0.266,107,-1.365,-0.745,-0.235,0.285,0.860,0.732,-0.314,92,-2.806,-1.316,-0.167,0.769,2.639,1.763,-0.116,81,-3.365,-1.595,-0.235,1.237,3.570,2.034,-0.113,85,-3.555,-1.971,-0.355,1.545,4.562,2.568,-0.113,85,-3.555,-1.971,-0.355,1.545,4.562,2.568,-7.921,120,-22.643,-13.845,-8.873,-3.706,5.683,9.585,0.031,38,-0.161,-0.031,0.044,0.102,0.184,0.107
"Potgieter, Aldrich",25,76,63,0,1,3,6,-0.089,85,-2.543,-1.233,-0.191,1.387,2.634,1.783,-0.376,134,-2.025,-0.965,-0.414,0.195,1.414,1.034,-0.141,93,-2.955,-1.258,-0.062,0.945,2.186,1.634,0.487,9,-2.184,-0.467,0.844,1.348,2.028,1.229,0.346,42,-3.554,-0.898,0.814,1.693,3.575,2.135,-0.030,77,-5.423,-1.717,0.502,1.918,2.973,2.437,-0.160,86,-5.671,-2.087,0.224,2.282,4.038,3.145,-0.160,86,-5.671,-2.087,0.224,2.282,4.038,3.145,22.613,1,2.832,15.306,22.819,30.349,42.218,12.891,-0.073,138,-0.273,-0.176,-0.099,0.025,0.155,0.138
"Blanchet, Chandler",28,89,58,1,3,4,8,-0.355,123,-3.073,-1.347,-0.496,0.539,3.009,1.772,-0.544,141,-1.885,-1.058,-0.557,0.244,0.882,1.026,0.070,68,-2.068,-0.738,0.098,0.808,2.166,1.442,0.132,52,-1.037,-0.439,0.267,0.784,1.173,0.830,0.202,57,-2.472,-0.630,0.118,1.252,2.808,1.837,-0.341,97,-4.384,-1.532,-0.268,1.024,3.204,2.193,-0.170,87,-5.273,-2.173,-0.240,2.121,4.679,2.989,-0.170,87,-5.273,-2.173,-0.240,2.121,4.679,2.989,-6.998,118,-20.258,-12.310,-5.650,-2.107,5.995,8.426,0.077,8,-0.123,-0.019,0.082,0.157,0.254,0.120
"Whaley, Vince",28,87,67,0,2,2,3,0.638,3,-1.674,-0.193,0.799,1.645,3.032,1.669,0.153,38,-1.558,-0.404,0.052,1.012,1.524,1.013,-0.592,130,-2.299,-1.630,-0.352,0.415,0.918,1.211,-0.541,133,-2.156,-1.050,-0.446,0.101,0.911,0.958,-1.133,134,-3.528,-2.156,-0.800,-0.057,0.846,1.527,-0.980,129,-3.451,-2.337,-0.726,0.186,2.036,1.761,-0.173,88,-4.437,-1.848,0.049,1.729,3.013,2.517,-0.173,88,-4.437,-1.848,0.049,1.729,3.013,2.517,-0.702,73,-17.189,-9.078,-0.382,6.718,15.219,11.307,-0.065,130,-0.276,-0.146,-0.052,0.009,0.121,0.121
"Vilips, Karl",24,78,68,0,0,0,5,0.260,34,-2.432,-0.703,0.278,1.472,2.576,1.670,-0.018,78,-1.510,-0.604,0.005,0.428,1.619,0.960,-0.026,76,-2.865,-0.954,0.129,1.216,2.589,1.742,-0.434,125,-2.573,-1.137,-0.407,0.593,1.117,1.304,-0.461,103,-3.437,-1.853,-0.144,1.075,2.748,2.233,-0.478,102,-4.290,-2.161,0.015,1.165,2.727,2.373,-0.195,89,-5.609,-1.435,0.352,1.633,3.073,2.832,-0.195,89,-5.609,-1.435,0.352,1.633,3.073,2.832,0.592,67,-20.936,-6.956,3.145,8.879,19.047,12.653,-0.070,134,-0.250,-0.166,-0.104,0.019,0.147,0.129
"Dahmen, Joel",26,78,66,0,0,2,4,-0.524,135,-2.847,-1.556,-0.561,0.395,2.428,1.617,-0.264,128,-1.755,-1.086,-0.144,0.450,1.216,0.962,0.350,26,-1.787,-0.458,0.137,1.387,2.877,1.482,0.164,44,-1.579,-0.317,0.275,0.740,1.419,0.884,0.514,26,-2.197,-0.598,0.545,1.739,2.930,1.597,0.249,53,-3.205,-0.882,0.509,1.529,3.569,1.979,-0.235,90,-4.019,-1.980,-0.327,1.496,3.408,2.594,-0.235,90,-4.019,-1.980,-0.327,1.496,3.408,2.594,-8.305,122,-21.185,-14.020,-9.646,-4.424,8.735,9.382,0.092,4,-0.109,0.029,0.106,0.154,0.286,0.125
"Ramey, Chad",27,88,76,0,1,1,3,0.253,37,-2.260,-0.695,0.565,1.047,2.271,1.621,-0.050,87,-1.976,-0.496,0.056,0.697,1.566,1.154,-0.509,125,-2.652,-1.300,-0.503,0.105,2.209,1.464,0.020,69,-1.620,-0.546,0.075,0.693,1.469,0.913,-0.489,105,-3.267,-1.500,-0.465,0.576,2.355,1.734,-0.539,106,-3.515,-1.661,-0.655,0.594,2.904,1.912,-0.237,91,-4.457,-1.763,-0.319,1.599,3.542,2.566,-0.237,91,-4.457,-1.763,-0.319,1.599,3.542,2.566,-0.850,77,-18.790,-7.587,-1.480,6.230,14.981,11.964,0.000,69,-0.206,-0.070,-0.010,0.057,0.221,0.129
"Phillips, Chandler",26,80,70,0,2,3,7,0.308,27,-2.657,-0.841,0.117,1.623,3.133,1.771,0.285,19,-1.251,-0.432,0.275,1.071,1.791,1.030,-0.598,132,-3.367,-1.810,-0.556,0.581,2.275,1.778,-0.314,113,-2.072,-0.905,-0.253,0.398,1.025,0.933,-0.911,130,-3.980,-2.515,-0.832,0.592,2.106,2.025,-0.626,111,-4.163,-2.111,-0.238,0.851,2.831,2.212,-0.246,92,-5.142,-1.890,0.046,1.763,3.939,2.754,-0.246,92,-5.142,-1.890,0.046,1.763,3.939,2.754,-5.030,104,-18.810,-9.994,-6.342,-0.005,9.890,9.136,0.005,63,-0.171,-0.087,0.008,0.081,0.205,0.119
"Fishburn, Patrick",25,83,67,0,0,1,3,0.100,58,-2.781,-1.329,-0.111,1.468,3.392,1.912,-0.085,93,-1.777,-0.543,-0.027,0.501,1.725,1.055,-0.106,90,-2.239,-1.067,-0.191,0.787,1.870,1.316,0.195,33,-1.322,-0.365,0.337,0.784,1.308,0.856,0.089,65,-2.682,-0.964,0.193,1.090,2.497,1.591,0.004,74,-2.879,-1.238,-0.152,1.154,2.557,1.817,-0.258,93,-4.448,-2.078,-0.360,1.441,4.301,2.630,-0.258,93,-4.448,-2.078,-0.360,1.441,4.301,2.630,3.416,44,-14.850,-4.684,2.850,12.655,21.640,11.748,-0.018,92,-0.237,-0.087,-0.007,0.064,0.142,0.120
"Saddier, Adrien",27,87,79,0,2,2,5,-0.107,86,-2.567,-1.043,0.009,1.063,2.708,1.747,0.050,62,-1.371,-0.803,-0.023,0.615,0.952,1.012,-0.037,80,-2.472,-1.220,-0.429,0.904,1.726,1.787,0.033,66,-2.369,-0.668,0.008,0.718,1.565,1.075,-0.004,71,-3.296,-1.575,-0.312,1.306,2.236,2.237,0.046,69,-3.293,-1.889,-0.632,1.086,2.314,2.506,-0.277,94,-4.988,-2.662,-0.346,1.554,4.990,3.198,-0.277,94,-4.988,-2.662,-0.346,1.554,4.990,3.198,-1.772,85,-21.597,-9.086,-2.313,4.999,12.575,8.586,0.017,49,-0.230,-0.096,-0.003,0.080,0.267,0.130
