event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
Wyndham Championship,Sedgefield Country Club,"Grillo, Emiliano",12808,31646,79,99,104,1:38 PM,late,1,8:18 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hall, Harry",27194,57975,92,88,62,1:05 PM,late,10,7:45 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Harman, Brian",8825,27644,56,60,63,12:54 PM,late,10,7:34 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Highsmith, Joe",28469,60067,331,194,150,7:34 AM,early,1,12:54 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hirata, Kensei",20954,49120,490,323,167,2:22 PM,late,10,9:02 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hisatsune, Ryo",22760,51287,74,66,42,1:27 PM,late,1,8:07 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hodges, Lee",25157,54628,120,130,101,1:38 PM,late,1,8:18 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hoey, Rico",23504,51696,134,103,112,7:12 AM,early,10,12:32 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hoge, Tom",15575,35532,185,124,79,7:01 AM,early,10,12:21 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hojgaard, Rasmus",23838,52686,93,77,103,12:10 PM,late,10,6:50 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Horschel, Billy",11276,29420,126,176,107,8:07 AM,early,1,1:27 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hossler, Beau",15470,35461,137,165,122,8:18 AM,early,1,1:38 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hrabak, Cooper",35195,66830,null,null,null,2:22 PM,late,10,9:02 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hubbard, Mark",16333,36801,203,138,116,1:27 PM,late,10,8:07 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hughes, Mackenzie",15556,35506,122,150,120,12:10 PM,late,1,6:50 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Huskey, Keenan",26597,56926,null,null,null,8:40 AM,early,10,2:00 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Im, Sungjae",17488,39971,89,75,57,7:34 AM,early,10,12:54 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Jaeger, Stephan",16394,36799,125,104,77,12:43 PM,late,1,7:23 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"James, Ben",29827,57869,98,353,141,1:49 PM,late,1,8:29 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kanaya, Takumi",19729,47917,189,171,143,6:50 AM,early,10,12:10 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kang, Jeffrey",21889,47393,380,275,162,2:11 PM,late,10,8:51 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Keefer, Johnny",32457,63454,101,65,74,2:00 PM,late,1,8:40 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kim, Michael",17543,39975,59,51,59,12:32 PM,late,1,7:12 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kim, Tom",24766,55182,46,33,34,8:07 AM,early,10,1:27 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kirk, Chris",12423,30926,102,105,127,12:43 PM,late,10,7:23 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kizzire, Patton",13470,32757,null,447,164,1:27 PM,late,1,8:07 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Koepka, Brooks",16243,36689,69,114,86,7:56 AM,early,10,1:16 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kohles, Ben",16395,36884,57,108,95,8:29 AM,early,1,1:49 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Koivun, Jackson",32319,66701,26,70,70,12:54 PM,late,1,7:34 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Kuchar, Matt",6169,23108,133,182,142,1:16 PM,late,10,7:56 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Lamprecht, Christo",24343,54422,null,300,198,1:49 PM,late,1,8:29 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Lebioda, Hank",21943,49766,244,246,137,7:01 AM,early,1,12:21 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Li, Haotong",15310,35296,207,112,129,1:49 PM,late,10,8:29 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Lipsky, David",15980,36326,164,115,78,8:29 AM,early,1,1:49 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"List, Luke",7960,27129,424,null,190,7:01 AM,early,10,12:21 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Lower, Justin",17723,40162,321,285,174,8:18 AM,early,10,1:38 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Malnati, Peter",14926,34466,429,null,170,1:38 PM,late,10,8:18 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Matsuyama, Hideki",13562,32839,18,24,24,12:54 PM,late,1,7:34 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Mazzoli, Stefano",20844,49037,359,208,null,7:56 AM,early,1,1:16 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"McCarthy, Denny",19870,47993,76,92,84,7:12 AM,early,10,12:32 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"McCarty, Matt",28635,59141,87,69,46,8:07 AM,early,1,1:27 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"McGirt, William",12477,31202,null,null,219,12:10 PM,late,10,6:50 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"McGreevy, Max",23505,51950,124,111,121,1:27 PM,late,1,8:07 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"McNealy, Maverick",18634,46442,25,44,50,7:34 AM,early,1,12:54 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Meissner, Mac",28159,59143,50,85,71,7:01 AM,early,10,12:21 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Mitchell, Keith",17365,39546,53,72,47,12:21 PM,late,1,7:01 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Moore, Taylor",21944,49947,166,158,98,12:21 PM,late,10,7:01 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Mouw, William",29770,63121,132,136,114,12:54 PM,late,10,7:34 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Neergaard-Petersen, Rasmus",23841,52689,88,80,94,8:40 AM,early,10,2:00 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Noren, Alex",10419,27349,45,27,48,1:05 PM,late,10,7:45 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Novak, Andrew",23475,51997,141,78,91,12:43 PM,late,1,7:23 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Nyholm, Pontus",25475,55851,308,259,133,8:51 AM,early,10,2:11 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Olesen, Thorbjorn",13412,33968,144,152,166,6:50 AM,early,10,12:10 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Pan, C.T.",15475,29908,348,null,null,1:27 PM,late,10,8:07 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Parry, John",13764,28723,115,91,87,8:51 AM,early,1,2:11 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Pavon, Matthieu",19960,48153,232,293,125,12:32 PM,late,10,7:12 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Pendrith, Taylor",17780,40250,151,95,85,7:23 AM,early,10,12:43 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Penge, Marco",22465,51003,106,52,109,8:29 AM,early,10,1:49 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Phillips, Chandler",27164,57900,156,135,90,12:21 PM,late,1,7:01 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Poston, J.T.",21554,49771,62,35,29,8:07 AM,early,10,1:27 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Potgieter, Aldrich",27900,63343,157,89,65,7:34 AM,early,1,12:54 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Power, Seamus",10104,28252,142,190,110,1:38 PM,late,10,8:18 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Putnam, Andrew",14704,34256,113,101,73,12:10 PM,late,1,6:50 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Rai, Aaron",18554,46414,40,19,35,8:07 AM,early,10,1:27 PM,late,1,null,null,null,null,null,null,1
