player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Van Rooyen, Erik",150,-0.172,0.000,36,-0.017,-0.040,0.068,-0.176,-0.020,-0.011,-0.081,-0.025,-0.116,-0.474,2.667,"Wyndham Championship","Sedgefield Country Club"
"Campbell, Brian",150,-0.794,0.000,33,-0.004,-0.051,0.045,-0.020,-0.014,0.204,0.160,-0.002,0.362,-0.477,2.643,"Wyndham Championship","Sedgefield Country Club"
"Streelman, Kevin",150,-0.556,0.000,47,-0.066,-0.122,0.081,-0.105,0.148,0.088,0.046,0.011,0.144,-0.477,2.651,"Wyndham Championship","Sedgefield Country Club"
"Ramey, Chad",150,-0.471,0.000,34,-0.006,-0.010,-0.050,0.069,-0.014,0.032,-0.013,-0.023,-0.004,-0.487,2.653,"Wyndham Championship","Sedgefield Country Club"
"Griffin, Lanto",150,-0.565,0.000,38,-0.024,0.031,-0.061,-0.028,0.041,0.051,-0.009,0.007,0.049,-0.557,2.654,"Wyndham Championship","Sedgefield Country Club"
"Wu, Dylan",150,-0.581,0.000,30,0.011,0.012,0.024,-0.034,-0.057,0.066,-0.004,0.001,0.063,-0.562,2.598,"Wyndham Championship","Sedgefield Country Club"
"Highsmith, Joe",150,-0.748,0.000,26,0.028,0.029,0.136,0.063,-0.028,-0.001,-0.058,0.001,-0.058,-0.580,2.724,"Wyndham Championship","Sedgefield Country Club"
"Wise, Aaron",150,-0.944,0.000,30,0.011,-0.024,0.276,0.122,0.046,0.002,-0.077,-0.011,-0.085,-0.599,2.695,"Wyndham Championship","Sedgefield Country Club"
"Crowe, Trace",150,-0.508,0.000,29,0.012,0.005,-0.092,0.073,0.022,-0.052,-0.108,0.005,-0.155,-0.643,2.721,"Wyndham Championship","Sedgefield Country Club"
"VanDerLaan, John",150,-0.718,0.000,30,0.011,0.056,-0.025,0.077,-0.044,-0.030,-0.031,-0.007,-0.068,-0.711,2.736,"Wyndham Championship","Sedgefield Country Club"
"Whaley, Vince",150,-0.277,0.000,31,0.006,-0.011,-0.028,-0.151,0.005,-0.007,-0.203,-0.046,-0.256,-0.713,2.624,"Wyndham Championship","Sedgefield Country Club"
"Hirata, Kensei",150,-1.166,0.000,25,0.030,0.018,-0.022,0.232,-0.044,0.100,0.132,-0.012,0.220,-0.733,2.720,"Wyndham Championship","Sedgefield Country Club"
"Riley, Davis",150,-0.684,0.000,29,0.013,-0.017,0.123,-0.014,0.043,-0.015,-0.197,-0.029,-0.242,-0.777,2.818,"Wyndham Championship","Sedgefield Country Club"
"Skinns, David",150,-0.458,0.000,44,-0.052,-0.022,-0.122,-0.079,0.011,0.006,-0.080,0.006,-0.068,-0.791,2.701,"Wyndham Championship","Sedgefield Country Club"
"Springer, Hayden",150,-0.521,0.000,29,0.013,0.001,-0.007,-0.101,-0.021,-0.051,-0.134,-0.019,-0.204,-0.840,2.737,"Wyndham Championship","Sedgefield Country Club"
"Dunlap, Nick",150,-0.759,0.000,22,0.044,-0.030,0.022,0.048,-0.021,0.043,-0.206,-0.016,-0.179,-0.874,2.711,"Wyndham Championship","Sedgefield Country Club"
"Stanger, Jimmy",150,-0.830,0.000,31,0.006,0.021,0.044,0.086,-0.044,-0.074,-0.073,-0.015,-0.162,-0.880,2.735,"Wyndham Championship","Sedgefield Country Club"
"Nyholm, Pontus",150,-0.654,0.000,28,0.018,0.022,-0.023,0.096,-0.044,-0.116,-0.190,-0.007,-0.313,-0.899,2.750,"Wyndham Championship","Sedgefield Country Club"
"Davis, Cam",150,-1.214,0.000,31,0.005,-0.023,0.049,0.284,0.138,-0.024,-0.137,-0.013,-0.175,-0.936,2.830,"Wyndham Championship","Sedgefield Country Club"
