player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Theegala, Sahith",23014,pga,pga,pga-rbc canadian open-T45_major-u.s. open-T11_pga-travelers championship-T51_pga-genesis scottish open-T66_major-the open championship-T53,0.61,-0.04
"James, Ben",29827,pga,pga,pga-travelers championship-T62_pga-isco championship-T15_pga-corales puntacana championship-T4_pga-3m open-CUT_pga-rocket classic-T38,0.57,0.08
"Ventura, Kristoffer",15651,pga,pga,pga-john deere classic-CUT_pga-isco championship-T5_pga-corales puntacana championship-T15_pga-3m open-T51_pga-rocket classic-T5,0.56,0.44
"Hodges, Lee",25157,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T3_pga-isco championship-CUT_pga-3m open-T20_pga-rocket classic-CUT,0.5,0.38
"Horschel, Billy",11276,pga,pga,major-u.s. open-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-3m open-T13_pga-rocket classic-CUT,0.48,0.57
"Bezuidenhout, Christiaan",18103,pga,pga,pga-john deere classic-T12_pga-isco championship-T21_pga-corales puntacana championship-T69_pga-3m open-T20_pga-rocket classic-T45,0.48,-0.11
"Svensson, Jesper",26850,pga,pga,pga-rbc canadian open-T4_pga-genesis scottish open-T52_major-the open championship-78_pga-3m open-T44_pga-rocket classic-CUT,0.47,0.96
"English, Harris",14577,pga,pga,major-u.s. open-CUT_pga-travelers championship-T38_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-rocket classic-T71,0.45,-0.59
"Taylor, Nick",13126,pga,pga,major-u.s. open-CUT_pga-travelers championship-T25_pga-genesis scottish open-T26_major-the open championship-T59_pga-rocket classic-T61,0.45,-0.3
"Merritt, Troy",13367,pga,pga,kft-memorial health championship presented by lrs-T5_pga-john deere classic-T21_pga-isco championship-T59_pga-3m open-T39_kft-utah championship presented by zions bank and intermountain health-T15,0.44,1.37
"Im, Sungjae",17488,pga,pga,pga-john deere classic-T71_pga-genesis scottish open-CUT_major-the open championship-T14_pga-3m open-CUT_pga-rocket classic-T15,0.4,0.09
"Chatfield, Davis",30620,pga,pga,pga-john deere classic-T33_pga-isco championship-T5_pga-corales puntacana championship-T34_pga-3m open-T16_pga-rocket classic-CUT,0.39,0.95
"McCarthy, Denny",19870,pga,pga,pga-travelers championship-T14_pga-john deere classic-CUT_pga-isco championship-T39_pga-3m open-T3_pga-rocket classic-CUT,0.37,-0.08
