"Last Name","First Name","Short Game","Approach","Driving-Distance","Driving-Accuracy","Total SG Adjustment","Putting 2-5ft","Putting 5-30ft","Putting 30+ ft","Course-Fairway","Course-Rough","Course-Bunker","Approach 50-100yds","Approach 100-150 yds","Approach 150-200 yds","Approach 200+ yds"
"REITAN","KRISTOFFER","-0.01","+0.00","-0.05","+0.03","-0.03","7.1","12.3","3.3","4.1","1.7","1.0","2.1","5.8","5.6","3.4"
"CANTLAY","PATRICK","-0.05","+0.00","-0.02","+0.03","-0.04","7.0","12.1","3.1","4.0","1.5","1.0","2.0","5.7","5.9","3.4"
"WOODLAND","GARY","+0.00","+0.00","-0.06","+0.01","-0.05","7.1","12.4","3.3","4.1","1.7","1.0","2.1","5.9","5.5","3.4"
"BRIDGEMAN","JACOB","-0.07","+0.00","-0.01","+0.03","-0.05","7.1","12.1","3.3","4.1","1.6","1.1","1.9","5.7","6.0","3.4"
"BRADLEY","KEEGAN","-0.06","+0.00","-0.03","+0.03","-0.05","6.9","12.0","3.2","4.1","1.6","1.1","2.0","5.7","5.8","3.4"
"SCOTT","ADAM","+0.00","+0.00","-0.04","-0.02","-0.06","7.0","12.2","3.2","4.0","1.6","1.0","2.1","5.8","5.7","3.4"
"MITCHELL","KEITH","-0.00","+0.00","-0.05","-0.01","-0.06","7.0","12.2","3.3","4.1","1.7","1.0","2.1","5.8","5.6","3.4"
"MCCARTHY","DENNY","-0.08","+0.00","+0.04","-0.03","-0.06","7.1","12.0","3.3","4.1","1.7","1.2","1.8","5.4","6.6","3.3"
"SPIETH","JORDAN","-0.04","+0.00","-0.04","+0.01","-0.07","7.0","12.1","3.2","4.1","1.7","1.0","2.0","5.8","5.7","3.4"
"MACINTYRE","ROBERT","-0.09","+0.00","-0.02","+0.04","-0.07","7.0","12.0","3.2","4.2","1.8","1.1","2.0","5.7","5.9","3.4"
"PENDRITH","TAYLOR","+0.02","+0.00","-0.05","-0.04","-0.07","7.0","12.2","3.3","4.2","1.7","1.1","2.1","5.8","5.6","3.4"
"DAY","JASON","-0.09","-0.00","+0.01","-0.00","-0.08","6.9","11.8","3.2","4.2","1.8","1.2","1.9","5.6","6.2","3.4"
"MATSUYAMA","HIDEKI","-0.06","+0.00","+0.00","-0.03","-0.09","6.9","11.9","3.2","4.0","1.6","1.1","1.9","5.6","6.2","3.4"
"ABERG","LUDVIG","-0.07","+0.00","-0.07","+0.04","-0.09","7.0","12.2","3.1","4.0","1.6","0.9","2.1","5.9","5.4","3.4"
"KIM","MICHAEL","-0.07","+0.00","+0.01","-0.04","-0.10","7.0","12.0","3.3","4.1","1.6","1.2","1.9","5.5","6.3","3.4"
"YOUNG","CAMERON","-0.06","+0.00","-0.06","+0.01","-0.11","7.0","12.1","3.1","4.0","1.6","1.0","2.1","5.9","5.6","3.4"
"BHATIA","AKSHAY","-0.08","+0.00","-0.00","-0.03","-0.11","7.1","12.1","3.3","4.0","1.6","1.1","1.9","5.6","6.1","3.4"
"GRIFFIN","BEN","-0.12","+0.00","-0.01","+0.02","-0.11","7.0","11.9","3.1","4.1","1.6","1.1","1.9","5.6","6.1","3.4"
"SCHAUFFELE","XANDER","-0.06","+0.00","-0.07","+0.01","-0.12","7.0","12.2","3.1","4.0","1.6","0.9","2.1","5.9","5.4","3.4"
"MEISSNER","MAC","-0.06","+0.00","-0.01","-0.06","-0.12","7.0","12.0","3.2","4.0","1.6","1.1","2.0","5.6","6.1","3.4"
"HALL","HARRY","-0.09","+0.00","+0.01","-0.05","-0.13","7.0","11.9","3.3","4.1","1.6","1.2","1.9","5.5","6.2","3.4"
"THEEGALA","SAHITH","-0.05","+0.00","-0.03","-0.06","-0.13","6.9","12.0","3.2","4.1","1.6","1.1","2.0","5.7","5.9","3.4"
"LEE","MIN WOO","-0.06","+0.00","-0.08","-0.02","-0.15","6.9","12.0","3.1","4.1","1.7","1.0","2.2","5.9","5.4","3.4"
"THOMAS","JUSTIN","-0.10","+0.00","-0.03","-0.03","-0.16","6.9","11.9","3.1","4.0","1.6","1.0","2.0","5.7","5.9","3.4"
"BURNS","SAM","-0.11","+0.00","-0.04","-0.01","-0.17","7.1","12.1","3.2","4.0","1.6","1.0","2.1","5.8","5.7","3.4"
"FOX","RYAN","-0.02","+0.00","-0.04","-0.12","-0.18","7.0","12.1","3.3","4.1","1.6","1.1","2.1","5.7","5.8","3.4"
"COLE","ERIC","-0.12","+0.00","+0.02","-0.10","-0.20","7.0","11.9","3.2","4.0","1.6","1.2","1.9","5.5","6.3","3.3"
"MCNEALY","MAVERICK","-0.12","+0.00","-0.03","-0.05","-0.20","7.0","11.9","3.2","4.1","1.7","1.1","2.0","5.7","5.8","3.4"
"FINAU","TONY","-0.04","+0.00","-0.04","-0.12","-0.21","6.9","11.9","3.2","4.1","1.7","1.1","2.1","5.7","5.8","3.4"
"KNAPP","JAKE","-0.05","+0.00","-0.08","-0.08","-0.21","7.1","12.2","3.3","4.1","1.7","1.1","2.2","5.9","5.4","3.4"
"CLARK","WYNDHAM","-0.11","+0.00","-0.04","-0.08","-0.23","7.0","11.9","3.2","4.0","1.6","1.1","2.1","5.7","5.8","3.4"
"HOJGAARD","NICOLAI","-0.03","+0.00","-0.09","-0.16","-0.28","7.0","12.2","3.3","4.1","1.6","1.1","2.3","5.9","5.3","3.4"
"GOTTERUP","CHRIS","-0.05","+0.00","-0.10","-0.14","-0.29","7.1","12.2","3.2","4.1","1.6","1.0","2.3","5.9","5.2","3.4"
