Last Name,First Name,Events Last 12 Months,Rounds,Rounds-shotlink,Wins,Win %,True SG-PUTT,True SG-ARG,True SG-APP,True SG-OTT,True SG-T2G,True SG--TOTAL,Driving-Distance,Driving-Accuracy
CAULEY,BUD,25,91,84,1,4%,-0.14,0.27,0.39,0.18,0.84,0.65,-1.7,2.70%
THEEGALA,SAHITH,27,98,86,0,0%,0.01,0.34,0.24,0.01,0.59,0.65,3.4,-2.20%
COLE,ERIC,26,89,73,0,0%,0.58,0.38,0.32,-0.61,0.09,0.65,-3.5,-5.50%
MITCHELL,KEITH,27,96,84,0,0%,-0.13,-0.08,0.2,0.63,0.75,0.64,8.8,-1.60%
FOX,RYAN,25,92,84,0,0%,0.1,0.09,0.17,0.27,0.53,0.59,7.9,-7.80%
CONNERS,COREY,23,86,86,0,0%,-0.24,-0.03,0.59,0.22,0.78,0.54,-1.9,6.90%
KIM,MICHAEL,31,111,105,1,3%,0.4,0.06,0.34,-0.19,0.21,0.54,-4.3,-2.40%
MCCARTHY,DENNY,24,86,82,0,0%,0.58,0.08,0.24,-0.33,-0.01,0.53,-8.2,-1.00%
STEVENS,SAM,29,106,96,0,0%,-0.17,0.06,0.19,0.44,0.69,0.51,5.7,0.70%
PENDRITH,TAYLOR,23,81,78,0,0%,-0.05,0.05,0.02,0.48,0.55,0.46,10.2,-2.00%
FITZPATRICK,ALEX,32,112,79,2,6%,0.07,0.1,0.21,0.14,0.45,0.45,-3.4,4.80%
JAMES,BEN,16,50,10,0,0%,-0.28,0.27,0.41,0.03,0.71,0.43,0.6,6.10%
BERGER,DANIEL,21,75,72,0,0%,-0.14,-0.43,0.73,0.25,0.54,0.38,2.2,3.20%
ECHAVARRIA,NICO,28,93,78,1,4%,0.27,-0.14,0.08,-0.06,-0.13,0.35,-6.3,2.50%
NOVAK,ANDREW,27,95,91,0,0%,-0.13,0.12,0.2,0.07,0.39,0.31,-0.9,-0.30%
IM,SUNGJAE,26,90,78,0,0%,0.05,0.5,-0.57,0.24,0.17,0.14,-1.8,2.80%
HISATSUNE,RYO,32,116,92,0,0%,-0.28,-0.04,0.26,0.41,0.63,0.11,-0.5,3.10%
GLOVER,LUCAS,20,63,63,0,0%,-0.52,0.02,0.43,0.1,0.55,0.02,-12.2,9.50%
SUBER,JACKSON,27,84,61,0,0%,-0.02,-0.07,0.05,0.04,0.01,-0.01,1.2,-2.80%
SNEDEKER,BRANDT,24,73,59,1,4%,0.08,0.31,0.3,-0.45,0.15,-0.02,-19.9,8.10%
FINAU,TONY,23,80,74,0,0%,-0.04,0.33,-0.12,-0.24,-0.03,-0.1,6.2,-6.60%
HUBBARD,MARK,28,93,73,0,0%,-0.14,0,0.21,-0.22,-0.01,-0.14,-5.4,0.10%
VEGAS,JHONATTAN,23,77,74,0,0%,-0.36,-0.1,-0.01,0.18,0.08,-0.42,3.5,-3.10%
HOGE,TOM,30,96,88,0,0%,-0.37,-0.18,0.25,-0.48,-0.41,-0.61,-6.8,-2.40%
CAMPBELL,BRIAN,25,72,66,1,4%,0.25,-0.09,-0.53,-0.69,-1.31,-0.97,-22.1,5.90%
