hole_number,par,yardage_gold,yardage_blue,handicap_rank,water_flag,risk_reward_score
1,4,,,,N,0
2,4,,,,N,0
3,4,,,,N,0
4,4,,,,N,0
5,3,,,,N,0
6,5,,,,N,0
7,4,,,,N,0
8,3,,,,N,0
9,4,,,,N,0
10,4,,,,N,0
11,3,,,,N,0
12,4,,,,N,0
13,5,,,,N,0
14,4,,,,N,0
15,4,,,,Y,3
16,3,,,,Y,2
17,4,,,,Y,2
18,4,,,,N,0
