Last Name,First Name,Fairway 50-100 (shots),Fairway 50-100 (value),Fairway 100-150 (shots),Fairway 100-150 (value),Fairway 150-200 (shots),Fairway 150-200 (value),Fairway over 200 (shots),Fairway over 200 (value),Rough-Under 150 (shots),Rough-Under 150 (value),Rough-Over 150 (shots),Rough-Over 150 (value)
LAMPRECHT,CHRISTO,40,-0.089,93,-0.045,118,-0.14,55,-0.14,76,-0.039,66,-0.027
PALMER,RYAN,28,-0.037,101,-0.045,121,-0.193,48,-0.088,50,0.057,33,-0.111
KISNER,KEVIN,22,-0.019,67,-0.045,90,-0.059,56,0.013,33,0.005,27,-0.056
SHIPLEY,NEAL,44,0.074,135,-0.046,211,-0.015,85,0.046,61,-0.064,40,-0.17
CHAMP,CAMERON,30,-0.118,113,-0.046,132,0.035,69,0.003,51,-0.079,24,0.012
WILLETT,DANNY,36,0.113,102,-0.047,143,-0.102,90,-0.036,43,0,61,-0.059
STENSON,HENRIK,29,0.096,91,-0.047,110,0.038,56,-0.01,18,-0.171,23,0.152
CASTILLO,RICKY,97,-0.071,258,-0.048,390,-0.036,169,-0.033,150,0.06,137,0.018
GRIFFIN,LANTO,59,-0.023,167,-0.048,246,-0.031,127,0.013,86,0.046,83,0.031
PUIG,DAVID,78,0.014,218,-0.049,243,-0.031,144,0.003,148,0,90,-0.009
DICKSON,TAYLOR,31,-0.013,90,-0.049,112,-0.072,57,-0.028,38,-0.069,33,-0.132
PEREIRA,MITO,22,-0.017,56,-0.052,70,-0.112,37,-0.038,46,-0.054,25,0.01
GORDON,WILL,25,-0.03,96,-0.053,129,0.008,61,0.01,45,-0.022,33,-0.062
LAWRENCE,THRISTON,28,-0.054,105,-0.054,127,0.012,64,0.109,33,-0.013,27,0.008
LAIRD,MARTIN,29,0.002,78,-0.054,92,-0.052,51,-0.004,41,0.073,28,0.031
HOWELL,MASON,14,-0.229,41,-0.054,65,-0.006,28,0.035,20,0.049,—,—
KIM,S.H.,33,-0.097,112,-0.055,176,-0.028,74,-0.054,49,0.032,67,-0.021
KNOWLES,PHILIP,23,0.204,64,-0.055,74,-0.104,31,0.058,22,0.055,—,—
KANG,JEFFREY,40,0.042,82,-0.056,161,-0.004,61,-0.097,58,0.098,71,0.012
CONE,TREVOR,50,-0.04,103,-0.057,132,-0.025,74,0.057,66,0.071,35,-0.038
HOEY,RICO,121,-0.016,319,-0.057,447,0.023,221,0.11,173,0.037,142,0.063
HAHN,JAMES,24,-0.038,83,-0.058,86,-0.047,52,-0.044,44,-0.023,34,-0.067
NEERGAARD-PETERSEN,RASMUS,44,-0.157,126,-0.06,235,0.024,102,0.052,72,-0.052,67,-0.024
SMYTH,TRAV,21,-0.108,57,-0.061,56,0.078,28,0.031,46,0.02,35,-0.04
HERBERT,LUCAS,70,0.017,199,-0.062,249,0.04,132,0.056,147,-0.027,84,0.041
DEL SOLAR,CRISTOBAL,31,-0.044,88,-0.065,112,-0.071,67,0.098,76,0.035,47,-0.039
MARTIN,BEN,45,0.014,101,-0.068,131,-0.067,75,0.019,51,0.013,48,-0.071
SURRATT,CALEB,65,-0.084,232,-0.069,261,-0.043,141,0.037,121,-0.021,91,-0.022
SARGENT,GORDON,73,0.046,151,-0.069,196,-0.111,106,-0.098,120,-0.033,69,-0.133
VINCENT,SCOTT,30,-0.067,143,-0.07,190,0,92,0.04,73,0.001,55,0.008
WOLFF,MATTHEW,58,-0.034,163,-0.07,211,-0.072,104,0.003,95,0.008,89,-0.003
