player_id,Player,total_rounds,measured_rounds,birdies,birdie_rounds,birdies_per_round,sg_ott,sg_app,sg_arg,sg_putt_global,sg_putt_bermuda_used,sg_t2g,FormSG,FormScore,TraitScore_APP,TraitScore_OTT,TraitScore_Putt,TraitScore_ARG,TraitScore_Par5,TraitScore_Pressure,VenueFit,comp_adjustment_vts,debut_flag,debut_penalty_vts
47420,Jake Knapp,30,25,129,30,4.3,0.264,0.342,0.111,1.285,0.9637499999999999,0.7166,0.3857142857142858,52.19569912484944,60.42838277993104,58.866211888052135,91.41556493467093,56.08833251760437,65.6339413278891,65.6339413278891,65.95366914012294,0.0,False,0.0
46046,Scottie Scheffler,28,22,141,28,5.035714285714286,0.623,0.08,0.618,0.547,0.41025,1.3212727272727274,1.2862500000000001,72.96092464726604,52.57930303701326,71.51125272224093,67.99759194004032,81.22723460986846,89.87370383722052,89.87370383722052,68.17289688537737,0.0,False,0.0
28237,Rory McIlroy,18,14,89,18,4.944444444444445,0.799,0.748,0.386,-0.148,-0.11099999999999999,1.9324999999999999,,,72.59146054949065,77.71049279694073,45.94408078656029,69.72383168007502,86.86661355828514,86.86661355828514,70.61589612864249,0.0,False,0.0
50525,Collin Morikawa,22,18,106,22,4.818181818181818,0.542,1.066,0.039,-0.116,-0.08700000000000001,1.645888888888889,0.28875000000000006,49.95982415783135,82.11820619165803,68.65819336968022,46.95949424974211,52.51831091870296,82.70660724355236,82.70660724355236,69.63390820274714,0.0,False,0.0
60004,Jacob Bridgeman,36,30,173,36,4.805555555555555,0.245,0.501,-0.152,1.339,1.0042499999999999,0.594,1.337857142857143,74.1509207162683,65.19175560101473,58.196975743624314,93.12907515379024,43.04783695495061,82.29060661207907,82.29060661207907,68.7290745631682,0.0,False,0.0
52453,Nicolai Højgaard,30,27,117,30,3.9,0.256,0.712,0.113,0.488,0.366,1.0801851851851851,,,71.5129610428302,58.58442824829305,66.12542336729885,56.18749978424052,52.45504132281573,52.45504132281573,63.259754393294195,0.0,False,0.0
57366,Cameron Young,28,23,129,28,4.607142857142857,0.699,0.499,0.063,0.313,0.23475000000000001,1.2609565217391303,2.3887500000000004,98.38319360927282,65.13183896175582,74.18819729995221,60.57238099052331,53.70831811833676,75.75345383178473,75.75345383178473,66.34482792386729,0.0,False,0.0
48081,Xander Schauffele,30,25,123,30,4.1,0.423,0.662,0.009,0.349,0.26175,1.09408,1.970357142857143,88.73557842009532,70.01504506135734,64.46666172826389,61.71472113660285,51.03080191916071,59.04449132535241,59.04449132535241,63.48761785081851,0.0,False,0.0
59095,Chris Gotterup,34,29,145,34,4.264705882352941,0.579,0.436,0.296,0.023,0.01725,1.3110689655172414,0.6257142857142857,57.72979849072846,63.24446482510002,69.96144270356598,51.37019648043811,65.26130468144827,64.47109720979441,64.47109720979441,62.87650773922001,0.0,False,0.0
40098,Matt Fitzpatrick,32,26,148,32,4.625,0.549,0.81,0.309,-0.083,-0.06225,1.667,2.1246428571428573,92.29321372673184,74.448876366517,68.90475405446942,48.00663938364835,65.90589191458325,76.34179758201124,76.34179758201124,67.83922929528322,0.0,False,0.0
37378,Min Woo Lee,30,26,143,30,4.766666666666667,0.675,0.266,0.294,0.457,0.34275,1.2354999999999998,0.79125,61.54684470514056,58.1515504880923,73.34284638067496,65.14174157484148,65.16213741481212,81.00932466714139,81.00932466714139,66.71798062028743,0.0,False,0.0
34098,Russell Henley,28,22,129,28,4.607142857142857,0.136,0.313,0.199,0.537,0.40275000000000005,0.6482272727272727,0.6782142857142859,58.9403827270145,59.55959151067678,54.35767365190682,67.68027523279602,60.451692249594984,75.75345383178473,75.75345383178473,62.51706244574062,0.0,False,0.0
60386,Sudarshan Yellamaraju,35,28,162,35,4.628571428571429,0.438,0.474,-0.188,0.616,0.46199999999999997,0.7241071428571428,1.637857142857143,81.0685449236171,64.38288097101939,64.99500605281216,70.18707722002611,41.26282615549991,76.45946633205655,76.45946633205655,64.5871425384924,0.0,False,0.0
32839,Hideki Matsuyama,36,31,155,36,4.305555555555555,-0.099,0.635,0.39,0.271,0.20325000000000001,0.9264193548387097,,,69.206170431362,46.080279233983795,59.239650820097175,69.92216621334734,65.81698160573734,65.81698160573734,62.364559831853235,0.0,False,0.0
51634,Sahith Theegala,38,35,149,38,3.9210526315789473,-0.131,0.258,0.358,0.444,0.333,0.4854,0.13125000000000003,46.32807144897324,57.91188393105664,44.95314467494747,64.72922985542387,68.33548994716892,53.148667638872226,53.148667638872226,57.083608624326715,0.0,False,0.0
24502,Adam Scott,32,25,126,32,3.9375,0.315,0.912,-0.103,-0.029,-0.021750000000000002,1.1244,,,77.50462496872163,60.66258259151628,49.72014960276766,45.47743498753629,53.69056319829136,53.69056319829136,61.71963886410206,0.0,False,0.0
