player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Zanotti, Fabrizio",9,0,0,0,24,14,-0.315330714,-0.231775714,-0.495577857,0.204912143,-0.522441429,-1.713245833
"Micheluzzi, David",15,0,0,0,41,21,-0.039795714,0.357939524,-0.91508381,-0.375814762,-0.932959048,-1.717338049
"Blomme, Adam",12,0,0,0,34,20,0.004714,-0.0782785,-0.537641,-0.2869495,-0.902869,-1.719103235
"Campos, Rafael",15,0,0,0,36,23,-0.657400435,-1.035023478,-0.075764783,-0.550515217,-1.661303478,-1.728101667
"Mickelson, Phil",1,0,0,0,4,4,-0.2756,-0.085955,-0.7040625,-0.703035,-1.4930525,-1.76865
"Vidal, Quim",16,0,0.001,0,46,18,-1.013393889,-0.050261111,-1.282557222,-0.234941111,-1.567759444,-1.789855217
"Mullinax, Trey",3,0,0,0,6,4,-0.67106,-0.0045425,-0.5846525,-0.91691,-1.506105,-1.79197
"Tabuena, Miguel",12,0,0,0,43,36,-0.115814167,0.053828889,-1.116460556,-0.577289722,-1.639921389,-1.820987907
"Broomhead, Jonothan",16,0,0,0,49,18,0.012081111,-0.148538889,-0.977142778,0.043293333,-1.082388333,-1.837327143
"Follet-Smith, Benjamin",21,1,0,0,62,18,-0.652645,-0.527197778,0.396973889,-0.689804444,-0.820028333,-1.838702097
"Tosti, Alejandro",15,0,0,0,35,30,-0.963443667,-0.047588,-1.075395667,0.330918333,-0.792065333,-1.898524857
"Tarren, Callum",12,0,0,0,29,14,-1.17834,-0.504414286,0.505492143,-0.287379286,-0.286301429,-1.900082414
"Hoffman, Charley",13,0,0,0,29,22,-0.556882273,-0.439939545,-0.506248636,-0.180610455,-1.126798636,-1.916172069
"Debove, Quentin",13,0,0,0,34,18,-0.616045,0.043937222,-0.824991667,-0.134266667,-0.915321111,-1.919989118
"Williams, Robin",21,0,0,0,62,14,-0.869065,-0.214995714,-0.623222857,-0.052589286,-0.890807857,-1.946688387
"Davis, Cam",14,0,0,0,39,28,-0.308085,-0.114036429,-0.937568571,-0.726139643,-1.777744643,-1.962083077
"Wise, Aaron",6,0,0,0,12,9,-0.622144444,0.16312,-0.962434444,-0.919548889,-1.718863333,-1.978059167
"Collet, Tyler",2,0,0,0,6,6,0.071095,0.027588333,-0.905873333,-1.171588333,-2.049873333,-1.978776667
"Larrazabal, Pablo",15,0,0,0,37,26,-0.58265,-0.211204231,-0.577775769,-0.383468846,-1.172448846,-1.985267297
"Von Dellingshausen, Nicolai",11,0,0,0,34,32,-0.42075125,-0.117961563,-1.162466563,-0.279815313,-1.560243438,-1.992137059
"Colsaerts, Nicolas",4,0,0,0,10,2,0.922555,-0.0207,-1.63532,-1.019045,-2.675065,-1.99615
"Johnston, Ryggs",16,0,0,0,45,26,-0.256195385,-0.347321538,-0.999958846,-0.396718846,-1.743999231,-2.045328667
"Buchanan, Jack",16,0,0,0,43,12,-0.9930775,0.14039,-0.740801667,-0.8324225,-1.432834167,-2.063954419
"Hahn, James",4,0,0,0,10,6,-0.500251667,-0.099066667,-0.888725,-0.879411667,-1.867203333,-2.084972
"Bekker, Oliver",12,1,0.001,0,30,0,-9999,-9999,-9999,-9999,-9999,-2.132778333
"Mory, Felix",13,0,0,0,30,16,-0.2034525,-0.650138125,-1.049954375,0.12879625,-1.57129625,-2.141836333
"Fichardt, Darren",10,0,0,0,29,8,-1.504375,-0.285775,-0.85493625,-0.5301525,-1.67086375,-2.170067241
"Paul, Yannik",12,0,0,0,31,12,0.282855833,-0.0960625,-0.498645,-1.109354167,-1.704061667,-2.203139355
"Kim, Minkyu",13,0,0,0,49,36,-0.477547222,-0.028658889,-1.232065833,-0.934130833,-2.194855556,-2.26473898
"McKinney, Connor",16,1,0,0,42,16,-0.238865625,0.256891875,-2.148833125,-1.330329375,-3.222270625,-2.310631667
"Long, Adam",2,0,0,0,5,1,-2.00932,-1.57943,1.77339,-0.66252,-0.46856,-2.317986
"Syme, Connor",12,0,0,0,33,24,-1.256941667,-0.425395833,-0.509465833,0.030539583,-0.904322083,-2.330989697
"Strydom, Ockie",13,0,0,0,41,16,-1.004826875,-0.84889375,-1.597894375,-0.785751875,-3.23254,-2.369937317
"Sandhu, Yuvraj Singh",14,0,0,0,39,22,-0.050071364,-0.299313182,-1.036723182,-0.322775455,-1.658811818,-2.391244103
"Naidoo, Dylan",17,0,0,0,48,28,-0.545565714,-0.259317143,-1.286458929,-0.354082857,-1.899858929,-2.444392917
"Molinari, Edoardo",8,0,0,0,22,12,-0.360978333,-0.007303333,-1.180263333,-0.911575,-2.099141667,-2.461106818
"Logan, Hunter",16,0,0,0,37,15,-1.14572,-0.333801333,-1.479977333,-0.213971333,-2.02775,-2.59352
"Rebula, Jovan",12,0,0,0,30,6,0.168818333,0.07871,-1.998775,-0.75265,-2.672715,-2.604372
"Horsfield, Sam",9,0,0,0,36,36,-0.110066389,-0.621408889,-1.455581111,-0.485345833,-2.562335833,-2.672403056
"Geary, Josh",6,0,0,0,15,0,-9999,-9999,-9999,-9999,-9999,-2.732010667
"Feuerstein, Michael",2,0,0,0,6,2,-2.90987,0.41455,-0.19003,-1.166645,-0.942125,-2.852075
"Toorop, Mike",13,0,0,0,35,16,-0.924339375,-0.453363125,-1.98857625,-0.693290625,-3.13523,-2.882425143
"Capan III, Frankie",8,0,0,0,19,8,-0.4104375,0.35393375,-2.13304125,-1.7862225,-3.56533,-2.901981579
"Berry, Joshua",15,0,0,0,33,14,0.742135,-0.631845,-1.281947857,-0.662212857,-2.576005714,-3.01994303
"Fdez-Castano, Gonzalo",2,0,0,0,4,4,-1.1334175,0.07979,-0.4220475,-1.550415,-1.8926725,-3.0260875
"Ko, Jeong Weon",12,0,0,0,28,20,-0.671942,-0.1328695,-1.262092,-0.6822295,-2.077191,-3.117623214
"Gallegos, Andres",14,0,0,0,36,14,0.263138571,-0.225162143,-2.039342857,-1.009679286,-3.274184286,-3.184389444
"Hawkes, Simon",4,0,0,0,10,0,-9999,-9999,-9999,-9999,-9999,-3.263299
"Leaney, Stephen",1,0,0,0,4,0,-9999,-9999,-9999,-9999,-9999,-3.3924675
"Yule, Jack",15,0,0,0,34,14,-0.806804286,-0.030605,-1.406471429,-0.910022143,-2.347098571,-3.618917941
"Palmer, Ryan",8,0,0,0,16,12,-0.279814167,-0.409365833,-2.379048333,-0.397679167,-3.186093333,-3.641215625
"Stubbs, Jasper",5,0,0,0,12,0,-9999,-9999,-9999,-9999,-9999,-3.664570833
"Kennon, Scotty",2,0,0,0,3,0,-9999,-9999,-9999,-9999,-9999,-4.87439
"Kartrude, Michael",2,0,0,0,4,2,-3.189065,-0.43087,-2.920775,-0.13494,-3.486585,-4.907685
"Gavins, Daniel",7,0,0,0,17,17,-0.226547647,-0.441650588,-1.719921176,-2.678656471,-4.840228235,-5.066774706
"Lonard, Peter",2,0,0,0,4,0,-9999,-9999,-9999,-9999,-9999,-5.2967675
"Petronzio, Nathan",2,0,0,0,4,4,-0.3772675,-0.6337875,-3.50756,-0.9681475,-5.109495,-5.4867575
"Landry, Andrew",1,0,0,0,3,1,-2.2168,0.35161,-2.73603,-2.16179,-4.54621,-5.51301
"Geddes, Mark",2,0,0,0,4,3,-1.02398,-1.528426667,-2.31782,-1.15383,-5.000076667,-6.2604825
"Zhang, Xinjun",3,0,0,0,6,0,-9999,-9999,-9999,-9999,-9999,-11.78515167
