POS,First Name,Last Name,Score,SG-APP,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T30,Chris,Gotterup,-11,E,0.75,295.7,71.40%,1.62,77.80%,"21' 10""","26' 5""",-2.33,-2.51,33.30%,3,4,-2.47,-0.14,2.37
T38,Brandt,Snedeker,-10,-4,-0.23,282.6,64.30%,2.43,72.20%,"19' 6""","30' 8""",-0.28,-0.4,66.70%,3,0,1.53,1.8,2.2
T38,Rickie,Fowler,-10,-3,1.39,286.9,85.70%,-1.42,72.20%,"28' 8""","35' 11""",0.32,0.23,71.40%,1,3,0.53,0.21,-0.03
T38,Harris,English,-10,-2,-0.41,289.3,42.90%,-0.88,72.20%,"24' 3""","44' 10""",0.78,0.05,75.00%,1,3,-0.47,-1.25,-1.3
T38,Tom,Hoge,-10,-2,-2.73,280.5,57.10%,1.13,61.10%,"26' 3""","26' 8""",0.67,0.46,75.00%,3,2,-0.47,-1.14,-1.6
T38,Ryo,Hisatsune,-10,-2,1.37,291.9,64.30%,-0.04,77.80%,"21' 8""","98' 10""",-2.44,0.64,33.30%,1,4,-0.47,1.97,1.33
T38,Eric,Cole,-10,3,-0.35,284.4,50.00%,-2.05,66.70%,"33' 3""","64' 2""",-3.28,0.2,33.30%,2,3,-5.47,-2.19,-2.4
T44,Ryan,Gerard,-9,-5,-0.17,305.7,64.30%,0.26,61.10%,"23' 11""","21' 5""",0.73,1.71,71.40%,5,3,2.53,1.8,0.09
T44,Mac,Meissner,-9,-2,0.47,281.5,71.40%,-0.71,66.70%,"26' 0""","68' 5""",2.15,-2.38,71.40%,4,3,-0.47,-2.62,-0.24
T44,Si Woo,Kim,-9,3,-0.44,288.6,71.40%,-0.16,50.00%,"22' 5""","133' 8""",-3.52,-1.35,40.00%,3,6,-5.47,-1.95,-0.6
T47,Cameron,Young,-8,-7,0.9,297.2,64.30%,0.97,72.20%,"21' 3""","73' 11""",1.88,0.78,75.00%,4,2,4.53,2.65,1.87
