player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,sg_total_2026,rounds_2026,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
16,"Clark, Wyndham",CLARK_WYNDHAM,confirmed,TBD,TBD,26,0.347,0.594,0.058,1.21,0.08,0.51,0.46,0.32,92,2,0.08,6.4,-3.7,1.431252931,58,-0.23,-0.11,0.0,-0.04,-0.08,deep,high,False,,False
41,"Rai, Aaron",RAI_AARON,confirmed,TBD,TBD,12,1.358,0.307,0.014,0.98,0.24,0.7,0.25,-0.22,88,2,0.08,-11.7,12.5,0.928619348,46,0.33,-0.02,0.0,0.06,0.3,deep,high,False,,False
20,"Taylor, Nick",TAYLOR_NICK,confirmed,TBD,TBD,25,-0.746,-0.889,-0.083,0.84,0.05,0.36,0.33,0.13,92,0,0.0,-5.3,4.1,0.925071618,68,0.08,-0.05,0.0,0.03,0.09,deep,high,False,,False
50,"Gotterup, Chris",GOTTERUP_CHRIS,confirmed,TBD,TBD,8,0.101,0.4,0.012,1.47,0.73,0.34,0.05,0.42,98,3,0.12,16.8,-5.1,1.639647586,58,-0.29,-0.05,0.0,-0.1,-0.14,deep,high,False,,False
27,"Straka, Sepp",STRAKA_SEPP,confirmed,TBD,TBD,22,0.448,-0.181,-0.015,0.79,0.2,0.63,0.04,0.08,77,0,0.0,-0.1,1.4,0.716178491,53,0.08,-0.0,0.0,0.01,0.08,deep,high,False,,False
44,"Cole, Eric",COLE_ERIC,confirmed,TBD,TBD,11,1.02,0.797,0.033,0.65,-0.61,0.32,0.38,0.58,89,0,0.0,-3.5,-5.5,0.954335185,54,-0.2,-0.12,0.0,0.02,-0.1,deep,high,False,,False
18,"Mccarthy, Denny",MCCARTHY_DENNY,confirmed,TBD,TBD,25,0.769,0.293,0.027,0.53,-0.33,0.24,0.08,0.58,86,0,0.0,-8.2,-1.0,0.307686034,58,-0.06,-0.08,0.0,0.04,-0.03,deep,high,False,,False
49,"Hall, Harry",HALL_HARRY,confirmed,TBD,TBD,8,1.12,0.807,0.024,1.08,-0.14,0.22,0.42,0.62,95,0,0.0,-1.8,-2.8,0.69440963,54,-0.13,-0.09,0.0,0.01,-0.05,deep,high,False,,False
59,"Bridgeman, Jacob",BRIDGEMAN_JACOB,confirmed,TBD,TBD,4,-0.244,-0.543,-0.008,0.97,0.11,0.25,0.12,0.56,104,1,0.04,1.9,1.0,1.468615645,62,-0.05,-0.07,0.0,-0.01,0.03,deep,high,False,,False
25,"Kim, Michael",KIM_MICHAEL,confirmed,TBD,TBD,22,-0.66,-0.077,-0.006,0.54,-0.19,0.34,0.06,0.4,111,1,0.03,-4.3,-2.4,0.487190656,61,-0.1,-0.07,0.0,0.01,-0.04,deep,high,False,,False
26,"Poston, J.T.",POSTON_J.T.,confirmed,TBD,TBD,22,-0.069,-0.606,-0.05,0.79,0.3,0.31,-0.01,0.14,80,1,0.04,-5.3,5.1,0.890325385,52,0.1,-0.05,0.0,0.02,0.13,deep,high,False,,False
45,"Mcnealy, Maverick",MCNEALY_MAVERICK,confirmed,TBD,TBD,10,0.718,0.137,0.005,1.5,0.31,0.22,0.34,0.59,90,0,0.0,6.4,-1.3,1.585845172,58,-0.2,-0.12,0.0,-0.03,-0.05,deep,high,False,,False
69,"Meissner, Mac",MEISSNER_MAC,confirmed,TBD,TBD,0,,,,0.74,0.05,0.35,0.27,0.11,88,0,0.0,2.2,-1.7,0.711977308,52,-0.12,-0.06,0.0,-0.01,-0.06,deep,high,False,,False
30,"Spieth, Jordan",SPIETH_JORDAN,confirmed,TBD,TBD,20,0.238,-0.895,-0.067,0.91,0.34,0.25,0.15,0.17,76,0,0.0,7.0,-1.0,1.108886833,60,-0.07,-0.04,0.0,-0.04,0.01,deep,high,False,,False
54,"Smalley, Alex",SMALLEY_ALEX,confirmed,TBD,TBD,6,1.09,0.608,0.014,0.66,0.21,0.31,-0.08,0.13,94,0,0.0,3.5,1.7,1.091799032,62,-0.0,-0.03,0.0,-0.01,0.04,deep,high,False,,False
