rank_model,player_id,player_display,name_key,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_rounds_12m,wins_12m,dd_delta,da_delta,trait_app_wedge,trait_app_100_150,trait_app_150_200,trait_ott_accuracy,trait_ott_distance,trait_putt_short_conv,trait_putt_lag,trait_arg_rough,trait_arg_bunker,trait_par5_scoring,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,venue_fit_score,venue_fit_delta,venue_fit_conf_band,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,sg_total_2026,form_vs_baseline,recent_form_index,form_score_adjusted,recent_form_gate_applied,recent_form_gate_reason,debut_flag,debut_class,injury_flag,ap_bomb_and_spray,ap_wedge_liability,ap_poor_birdie_conv,ap_rough_approach_liab,primary_trait_driver,primary_risk_trait,trait_summary_label
11,51,"Bhatia, Akshay",BHATIA_AKSHAY,deep,high,1.13,50.724637681159415,1.13,0.04,0.72,0.06,0.43,92,1,0.5,-1.8,76.12258494337108,78.66234667900947,78.03242034656233,33.88625592417062,54.30038510911426,75.57063541024058,65.89147286821706,45.39763113367175,45.871559633027545,58.8144726712856,-0.11,-0.08,0.0,-0.0,-0.03,7.1,12.1,1.6,1.1,1.9,5.6,6.1,3.4,62.04378588826327,11.319148207103858,high,8,1.186,0.7767999999999999,medium,1.263108302,0.13310830200000012,56.6338688899324,1.19056427741,False,,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
12,48,"Griffin, Ben",GRIFFIN_BEN,deep,high,1.4,57.24637681159421,1.4,0.09,0.29,0.41,0.51,104,1,0.1,0.2,50.84610259826782,51.97870863226104,50.642817216321966,45.339652448657176,55.45571245186136,75.44725478099939,56.58914728682177,77.56345177664976,77.98165137614679,54.8113933795227,-0.11,-0.12,0.0,-0.01,0.02,7.0,11.9,1.6,1.1,1.9,5.6,6.1,3.4,56.085835094075215,-1.1605417175189956,high,10,-0.082,-1.86,medium,1.034606719,-0.365393281,54.688736586916434,1.2337460571449999,False,,False,,False,False,False,False,False,ARG_Bunker,OTT_Accuracy,ARG_Bunker+ARG_Rough; weak OTT_Accuracy
13,15,"Fowler, Rickie",FOWLER_RICKIE,deep,high,1.18,51.93236714975845,1.18,0.41,0.3,0.08,0.36,80,0,0.7,4.3,51.04596935376415,53.563989817171944,52.71101173840134,70.06319115323852,68.80616174582799,65.26835286859962,60.465116279069754,51.55668358714044,47.70642201834864,54.88837567359507,0.06,-0.03,0.0,-0.0,0.09,7.0,12.1,1.7,1.1,1.9,5.7,6.1,3.4,59.39999589804566,7.467628748287211,high,26,0.561,-0.17279999999999995,medium,1.0501314,-0.1298686,53.33042200939031,1.120909787,False,,False,,False,False,False,False,False,OTT_Accuracy,ARG_Bunker,OTT_Accuracy+OTT_Distance; weak ARG_Bunker
14,36,"Morikawa, Collin",MORIKAWA_COLLIN,deep,high,1.32,55.31400966183575,1.32,0.47,0.81,0.06,-0.03,74,1,0.8,7.5,85.5296469020653,84.32075908354547,83.45444382336501,81.83254344391784,71.2451861360719,38.80320789636022,30.232558139534948,44.21319796954315,36.697247706422026,71.51655119322557,0.15,-0.04,0.0,0.0,0.18,7.0,12.1,1.6,1.0,1.8,5.7,6.1,3.4,68.26814728319083,12.95413762135508,high,16,0.569,-2.788,medium,1.844732143,0.524732143,68.06888592682736,1.558753125065,False,,False,,False,False,False,True,False,APP_Wedge,PUTT_Lag,APP_Wedge+APP_100-150; weak PUTT_Lag
15,19,"Kim, Si Woo",KIM_SI WOO,deep,high,1.46,58.69565217391304,1.46,0.62,0.76,0.34,-0.32,113,0,-3.8,10.1,78.5209860093271,80.59476972922933,83.11906092789268,95.97156398104264,71.63029525032093,13.571869216533,7.751937984496101,69.39086294416245,62.385321100917444,79.90762124711317,0.2,-0.05,0.0,0.02,0.23,6.9,12.1,1.6,1.0,1.7,5.7,6.2,3.4,66.27121463674058,7.575562462827541,high,25,0.426,-0.56,medium,1.837843857,0.377843857,68.98485175858447,1.6319189549349997,False,,False,,False,False,False,True,False,OTT_Accuracy,PUTT_Lag,OTT_Accuracy+APP_150-200; weak PUTT_Lag
16,24,"Spaun, J.J.",SPAUN_J.J.,deep,high,1.42,57.729468599033815,1.42,0.5,0.94,0.26,-0.29,84,1,0.4,4.8,94.13724183877413,90.349456144411,91.224147568474,70.69510268562401,71.88703465982029,15.607649599012973,10.077519379845029,60.62605752961083,55.04587155963303,80.83140877598152,0.14,0.0,0.0,-0.0,0.13,6.9,12.1,1.5,1.0,1.9,5.7,6.0,3.4,66.24327864710689,8.513810048073076,high,22,-0.081,-0.5960000000000001,medium,1.0832032,-0.3367967999999999,55.67465566006871,1.266757456,False,,False,,False,False,False,True,False,APP_Wedge,PUTT_Lag,APP_Wedge+APP_150-200; weak PUTT_Lag
17,34,"Lowry, Shane",LOWRY_SHANE,deep,high,1.1,50.000000000000014,1.1,0.16,0.83,-0.05,0.17,98,0,-0.9,1.4,86.80879413724182,84.99190002314278,83.78982671883733,50.394944707740905,57.38125802310654,52.37507711289327,53.48837209302325,30.52453468697123,26.605504587155966,62.43264049268667,0.08,-0.01,0.0,0.01,0.08,7.0,12.2,1.5,1.0,1.9,5.6,6.1,3.4,64.91752889593126,14.917528895931241,high,18,1.003,0.084,medium,1.27981625,0.17981625,56.70027996330903,1.1818163937500001,False,,False,,False,False,False,False,True,APP_Wedge,ARG_Bunker,APP_Wedge+APP_100-150; weak ARG_Bunker
18,22,"Burns, Sam",BURNS_SAM,deep,high,1.6,62.077294685990346,1.6,0.4,0.46,-0.05,0.79,90,0,8.3,-0.2,60.53297801465689,63.966674380930336,62.71660145332588,50.78988941548184,77.15019255455712,100.0,93.79844961240323,34.923857868020306,26.605504587155966,56.581986143187066,-0.17,-0.11,0.0,-0.04,-0.01,7.1,12.1,1.6,1.0,2.1,5.8,5.7,3.4,63.17659614768619,1.0993014616958448,high,22,0.84,0.7496,medium,1.713544074,0.113544074,67.87593623351978,1.65166255367,False,,False,,False,True,False,False,True,PUTT_BirdieConv,ARG_Bunker,PUTT_BirdieConv+PUTT_Lag; weak ARG_Bunker
19,4,"English, Harris",ENGLISH_HARRIS,deep,high,1.46,58.69565217391304,1.46,0.42,0.1,0.17,0.79,92,0,1.6,3.8,39.88007994670219,40.36102753992131,41.81106763555058,71.16903633491312,70.34659820282414,100.0,86.04651162790698,58.13874788494078,55.963302752293586,51.03926096997691,-0.02,-0.1,0.0,-0.0,0.09,7.1,12.0,1.7,1.1,1.9,5.7,6.0,3.4,62.21030642967766,3.5146542557646185,high,43,0.686,0.8759999999999999,medium,1.351041071,-0.10895892899999993,60.58943980143757,1.410423687305,False,,False,,False,False,True,False,False,PUTT_BirdieConv,APP_Wedge,PUTT_BirdieConv+PUTT_Lag; weak APP_Wedge
20,40,"Matsuyama, Hideki",MATSUYAMA_HIDEKI,deep,high,1.24,53.3816425120773,1.24,-0.11,0.71,0.48,0.14,108,1,-1.4,-0.2,79.30712858094601,78.08377690349455,77.92062604807155,34.202211690363356,46.08472400513479,44.78716841455895,27.906976744186156,84.07783417935704,84.40366972477065,64.74210931485757,-0.09,-0.06,0.0,0.0,-0.03,6.9,11.9,1.6,1.1,1.9,5.6,6.2,3.4,58.789944695006675,5.408302182929376,high,12,1.619,0.8928,medium,1.159502833,-0.08049716700000009,55.66011339725697,1.203373789015,False,,False,,False,False,False,True,False,ARG_Bunker,PUTT_Lag,ARG_Bunker+ARG_Rough; weak PUTT_Lag
21,5,"Cantlay, Patrick",CANTLAY_PATRICK,deep,high,1.55,60.86956521739131,1.55,0.44,0.73,0.34,0.06,72,0,2.9,-0.1,78.60093271152564,80.56005554269844,78.42370039128005,53.317535545023695,72.27214377406932,44.91054904380009,37.20930232558145,66.04060913705585,62.385321100917444,74.82678983833718,-0.04,-0.05,0.0,-0.02,0.03,7.0,12.1,1.5,1.0,2.0,5.7,5.9,3.4,62.836426519499106,1.9668613021077945,high,40,1.778,1.5928,medium,1.60630087,0.05630087000000006,65.65685985793725,1.5756168958499999,False,,False,,False,True,False,True,False,APP_100-150,PUTT_Lag,APP_100-150+APP_Wedge; weak PUTT_Lag
22,1,"Harman, Brian",HARMAN_BRIAN,deep,high,0.71,40.57971014492754,0.71,0.07,0.29,0.19,0.2,93,0,-4.4,3.7,53.417721518987335,53.54084702615135,52.31973169368362,57.898894154818315,49.93581514762516,54.4108574953732,40.31007751937984,59.4585448392555,57.79816513761469,49.26866820631254,0.09,-0.05,0.0,0.03,0.11,7.0,12.0,1.7,1.1,1.7,5.5,6.4,3.4,54.98543161100791,14.405721466080372,high,56,1.614,4.216,medium,0.449388814,-0.26061118599999994,39.49615992126372,0.59142191037,False,,False,,False,False,False,False,False,ARG_Rough,PUTT_Lag,ARG_Rough+OTT_Accuracy; weak PUTT_Lag
23,16,"Clark, Wyndham",CLARK_WYNDHAM,deep,high,1.21,52.65700483091788,1.21,0.08,0.51,0.46,0.32,92,2,6.4,-3.7,64.97001998667554,65.88752603563988,65.84684181106763,27.962085308056878,62.38767650834403,62.55397902529304,41.860465116279165,84.2470389170897,82.56880733944955,62.509622786759046,-0.23,-0.11,0.0,-0.04,-0.08,7.0,11.9,1.6,1.1,2.1,5.7,5.8,3.4,54.680498729000945,2.0234938980830677,high,26,0.347,1.8304,medium,1.431252931,0.22125293099999999,60.12498721009387,1.310670083605,False,,False,,False,True,False,False,False,ARG_Rough,OTT_Accuracy,ARG_Rough+ARG_Bunker; weak OTT_Accuracy
24,41,"Rai, Aaron",RAI_AARON,deep,high,0.98,47.10144927536232,0.98,0.24,0.7,0.25,-0.22,88,2,-11.7,12.5,73.20453031312458,78.58134691043739,77.69703745108998,93.20695102685623,47.881899871630296,25.90993214065388,15.503875968992203,62.91032148900171,54.128440366972484,67.2055427251732,0.33,-0.02,0.0,0.06,0.3,7.0,12.1,1.6,1.0,1.6,5.6,6.5,3.4,67.06193622628446,19.96048695092214,high,12,1.358,0.8408000000000001,medium,0.928619348,-0.05138065199999997,49.756591859859746,0.95662180334,False,,False,,False,False,False,True,False,OTT_Accuracy,PUTT_Lag,OTT_Accuracy+APP_100-150; weak PUTT_Lag
25,20,"Taylor, Nick",TAYLOR_NICK,deep,high,0.84,43.71980676328503,0.84,0.05,0.36,0.33,0.13,92,0,-5.3,4.1,56.455696202531634,57.417264522101355,56.7915036333147,58.05687203791469,48.01026957637997,49.66070326958664,34.88372093023266,70.11844331641286,70.6422018348624,54.195535026943794,0.08,-0.05,0.0,0.03,0.09,7.0,12.0,1.6,1.1,1.7,5.5,6.4,3.4,56.34664248019253,12.6268357169075,high,25,-0.746,-2.3007999999999997,medium,0.925071618,0.08507161800000007,48.660646257996355,0.87870758619,False,,False,,False,False,False,False,False,ARG_Bunker,PUTT_Lag,ARG_Bunker+ARG_Rough; weak PUTT_Lag
