POS,First Name,Last Name,Score,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T32,Wyndham,Clark,-2,-0.65,288.5,78.60%,-0.93,72.20%,"31' 10""","67' 10""",-0.44,1.97,87.50%,2,4,-0.04,0.4,-1.57
T46,Matt,McCarty,-1,-0.36,287.6,57.10%,0.6,83.30%,"20' 6""","119' 2""",-1.69,0.4,0.00%,3,4,-1.04,0.65,0.24
T46,Gary,Woodland,-1,0.02,282.6,78.60%,0.48,77.80%,"23' 5""","85' 0""",-1.78,0.24,66.70%,0,2,-1.04,0.74,0.5
T46,Alex,Fitzpatrick,-1,1.57,284.8,92.90%,0.8,83.30%,"24' 5""","40' 5""",-2.95,-0.47,57.10%,2,5,-1.04,1.91,2.38
T46,Collin,Morikawa,-1,0.79,279.9,85.70%,1.43,88.90%,"24' 2""","47' 9""",-1.07,-2.19,20.00%,2,4,-1.04,0.03,2.22
T46,Jhonattan,Vegas,-1,-0.68,285,50.00%,-0.13,77.80%,"46' 6""","32' 7""",-0.96,0.72,60.00%,3,3,-1.04,-0.09,-0.81
T46,Mark,Hubbard,-1,-0.81,278.7,71.40%,0.91,72.20%,"24' 0""","56' 10""",-1.55,0.41,42.90%,6,3,-1.04,0.51,0.1
T46,Alex,Noren,-1,-1.86,276.4,57.10%,-1.77,61.10%,"37' 0""","56' 0""",3.47,-0.88,62.50%,6,4,-1.04,-4.51,-3.63
T46,Rickie,Fowler,-1,-0.67,282.4,71.40%,0.37,83.30%,"24' 2""","32' 8""",-0.45,-0.29,66.70%,2,3,-1.04,-0.6,-0.31
T46,Kurt,Kitayama,-1,0.4,287.6,71.40%,1.04,83.30%,"25' 8""","24' 11""",-2.28,-0.2,50.00%,5,2,-1.04,1.24,1.44
T46,Si Woo,Kim,-1,0.16,275.3,71.40%,-0.48,77.80%,"30' 7""","24' 5""",-2.03,1.3,57.10%,2,4,-1.04,0.99,-0.32
T56,Tony,Finau,E,-1.24,294.9,64.30%,-1,55.60%,"30' 7""","64' 9""",0.66,-0.47,55.60%,6,6,-2.04,-2.7,-2.23
T56,Ludvig,Aberg,E,-0.46,285.1,78.60%,1.49,66.70%,"22' 8""","64' 8""",-2.1,-0.97,50.00%,2,6,-2.04,0.06,1.03
T56,Jason,Day,E,1.35,284.7,85.70%,-2.07,72.20%,"37' 11""","38' 6""",-0.63,-0.69,55.60%,3,4,-2.04,-1.41,-0.72
T56,Daniel,Berger,E,-0.69,279.8,71.40%,-0.11,61.10%,"30' 7""","44' 5""",-2.46,1.22,62.50%,2,6,-2.04,0.42,-0.8
T56,Jacob,Bridgeman,E,-0.32,276.2,50.00%,-2.57,55.60%,"29' 4""","77' 3""",0.81,0.03,88.90%,2,3,-2.04,-2.86,-2.89
T56,Mac,Meissner,E,-0.21,277.6,71.40%,-1.7,66.70%,"33' 6""","59' 11""",-0.53,0.4,66.70%,3,4,-2.04,-1.51,-1.91
T62,Ryan,Fox,1,-2.5,285.3,57.10%,0.18,61.10%,"30' 8""","31' 2""",0.91,-1.63,66.70%,6,7,-3.04,-3.95,-2.32
