POS,Player,Total,RD1,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
T46,Alex Noren,-1,69,-1.878,(69th),-1.72,(62nd),-0.908,(60th),3.465,(4th),-1.042,(T46)
T46,Rickie Fowler,-1,69,-0.624,(54th),0.521,(28th),-0.496,(53rd),-0.442,(43rd),-1.042,(T46)
T46,Kurt Kitayama,-1,69,0.135,(35th),1.325,(9th),-0.202,(44th),-2.299,(65th),-1.042,(T46)
T46,Si Woo Kim,-1,69,0.184,(33rd),-0.399,(48th),1.234,(7th),-2.06,(63rd),-1.042,(T46)
T56,Tony Finau,E,70,-1.339,(67th),-0.8,(51st),-0.543,(55th),0.641,(22nd),-2.042,(T56)
T56,Ludvig Åberg,E,70,-0.07,(42nd),1.106,(12th),-0.963,(61st),-2.114,(64th),-2.042,(T56)
T56,Jason Day,E,70,1.287,(7th),-1.926,(66th),-0.767,(58th),-0.635,(46th),-2.042,(T56)
T56,Daniel Berger,E,70,-0.087,(43rd),-0.76,(50th),1.236,(6th),-2.43,(66th),-2.042,(T56)
T56,Jacob Bridgeman,E,70,-0.401,(49th),-2.459,(71st),0.043,(40th),0.776,(19th),-2.042,(T56)
T56,Mac Meissner,E,70,-0.327,(48th),-1.513,(59th),0.309,(30th),-0.51,(45th),-2.042,(T56)
T62,Ryan Fox,1,71,-2.538,(71st),0.242,(30th),-1.71,(69th),0.965,(12th),-3.042,(T62)
T62,Nicolai Højgaard,1,71,0.426,(22nd),-0.487,(49th),0.164,(35th),-3.144,(70th),-3.042,(T62)
T62,Alex Smalley,1,71,-1.276,(66th),-1.97,(67th),0.915,(10th),-0.71,(48th),-3.042,(T62)
T62,Adam Scott,1,71,-1.035,(64th),-0.396,(47th),0.049,(39th),-1.659,(59th),-3.042,(T62)
T62,Chris Gotterup,1,71,-1.09,(65th),0.014,(41st),-1.188,(64th),-0.777,(50th),-3.042,(T62)
T62,Jordan Spieth,1,71,-0.65,(56th),0.632,(27th),-0.466,(52nd),-2.557,(67th),-3.042,(T62)
68,Cameron Young,2,72,0.046,(38th),0.449,(29th),-1.196,(65th),-3.34,(71st),-4.042,(68th)
69,Sepp Straka,3,73,0.057,(37th),-2.2,(68th),-1.063,(63rd),-1.835,(62nd),-5.042,(69th)
T70,Jake Knapp,4,74,-2.543,(72nd),-2.211,(69th),-0.373,(49th),-0.914,(53rd),-6.042,(T70)
T70,Sahith Theegala,4,74,-0.643,(55th),-1.086,(56th),-1.644,(68th),-2.668,(68th),-6.042,(T70)
72,Lucas Glover,5,75,0.143,(34th),-0.953,(54th),-2.433,(72nd),-3.798,(72nd),-7.042,(72nd)
