Hole,Par,Yards,Avg,Rank,Plus - Minus,Eagles,Birdies,Pars,Bogeys,DBL+
1,4,442,4.042,4,0.042,0,12,47,11,2
2,4,349,3.681,16,-0.319,0,27,41,4,0
3,4,429,3.792,14,-0.208,0,21,45,6,0
4,4,491,4.153,1,0.153,0,8,45,19,0
5,3,231,3.014,5,0.014,0,7,57,8,0
6,5,572,4.458,17,-0.542,2,39,28,2,1
7,4,452,3.931,8,-0.069,0,16,45,11,0
8,3,206,2.819,13,-0.181,0,16,53,3,0
9,4,378,3.861,10,-0.139,0,17,48,7,0
10,4,469,4.014,5,0.014,0,9,53,10,0
11,3,142,2.833,12,-0.167,0,21,44,6,1
12,4,416,4.083,2,0.083,0,11,48,10,3
13,5,543,4.278,18,-0.722,10,40,15,6,1
14,4,414,3.917,9,-0.083,0,16,47,8,1
15,4,275,3.736,15,-0.264,1,29,33,6,3
16,3,175,2.944,7,-0.056,0,13,50,9,0
17,4,408,3.847,11,-0.153,0,18,48,5,1
18,4,432,4.083,2,0.083,0,8,51,12,1
