player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Potgieter, Aldrich",4,10,10,0,0,1,1,-0.336,101,-2.023,-1.184,-0.236,0.221,1.565,1.327,-0.392,123,-1.740,-1.205,-0.486,0.049,1.491,1.184,-0.202,83,-2.171,-0.720,-0.181,0.571,1.649,1.371,0.945,1,-0.516,0.416,1.127,1.626,2.101,0.963,0.743,17,-1.314,-0.493,1.001,1.313,2.839,1.535,0.352,40,-1.947,-0.209,0.733,1.341,1.850,1.399,0.016,59,-3.632,-1.138,0.200,1.650,2.923,2.378,0.016,59,-3.632,-1.138,0.200,1.650,2.923,2.378,22.537,2,-9.260,10.821,26.252,35.623,48.637,21.905,0.064,21,-0.084,0.019,0.046,0.091,0.242,0.113
"Clanton, Luke",10,34,28,0,2,2,2,-0.269,93,-3.772,-1.238,-0.190,1.454,2.397,1.986,-0.305,118,-1.517,-0.998,-0.198,0.234,1.006,0.821,0.103,50,-2.007,-1.267,0.140,1.190,2.569,1.655,0.456,15,-0.880,0.029,0.567,0.823,1.424,0.682,0.559,29,-1.323,-0.615,0.414,1.515,2.753,1.573,0.258,49,-2.330,-1.165,0.421,1.282,2.756,1.777,0.014,60,-5.277,-1.817,0.185,1.942,4.556,3.089,0.014,60,-5.277,-1.817,0.185,1.942,4.556,3.089,6.954,28,-9.648,1.963,5.755,14.254,19.517,10.598,0.032,40,-0.128,-0.018,0.051,0.110,0.175,0.112
"Fisk, Steven",10,36,30,0,0,1,1,-0.159,82,-2.763,-1.490,-0.068,0.978,2.354,1.781,-0.097,83,-1.770,-0.577,-0.031,0.610,1.207,0.998,-0.023,62,-2.025,-0.870,-0.332,1.045,2.690,1.620,0.164,45,-1.511,-0.355,0.225,0.703,1.698,0.940,0.142,50,-3.322,-0.515,0.211,1.535,2.208,1.713,0.045,59,-2.843,-1.036,-0.004,1.669,2.626,1.876,0.010,61,-3.692,-1.914,0.228,1.637,4.249,2.537,0.010,61,-3.692,-1.914,0.228,1.637,4.249,2.537,8.507,21,-9.267,3.853,8.471,15.956,22.121,10.315,-0.003,69,-0.188,-0.063,-0.015,0.063,0.202,0.115
"Dahmen, Joel",14,46,36,0,0,0,2,-0.548,116,-3.645,-2.121,-0.295,0.496,3.038,2.036,-0.010,61,-1.968,-0.485,-0.065,0.577,1.756,1.077,0.257,34,-2.303,-0.811,0.077,1.404,2.956,1.662,0.220,37,-1.128,-0.291,0.172,0.824,1.306,0.874,0.477,33,-2.160,-0.688,0.661,1.656,2.926,1.566,0.470,30,-2.557,-0.697,0.559,1.628,3.820,2.058,-0.021,62,-3.546,-2.415,-0.227,1.630,4.756,2.777,-0.021,62,-3.546,-2.415,-0.227,1.630,4.756,2.777,-7.342,113,-22.931,-13.628,-7.938,-0.040,10.051,10.244,0.075,12,-0.139,0.007,0.089,0.151,0.230,0.125
"Keefer, Johnny",7,20,15,0,0,1,1,-0.347,103,-2.069,-1.395,-0.762,0.566,1.906,1.455,-0.581,133,-2.267,-1.127,-0.913,0.287,1.236,1.222,0.157,45,-3.000,-1.524,-0.247,1.541,3.819,2.296,0.421,18,-0.627,0.137,0.378,0.782,1.463,0.757,0.579,28,-1.998,-1.333,0.127,2.279,3.928,2.250,-0.002,64,-4.264,-1.489,0.217,2.349,3.137,2.735,-0.024,63,-5.911,-2.259,1.702,2.214,3.232,3.341,-0.024,63,-5.911,-2.259,1.702,2.214,3.232,3.341,13.907,6,4.336,9.834,13.519,18.502,24.298,6.437,-0.002,68,-0.170,-0.132,-0.004,0.112,0.177,0.134
"Parry, John",3,10,10,0,0,0,1,-0.361,105,-2.574,-0.996,-0.199,0.399,1.427,1.419,0.249,24,-1.436,-0.606,0.272,1.155,1.906,1.234,0.445,16,-1.154,-0.678,0.545,1.047,2.414,1.323,-0.373,112,-1.953,-1.244,-0.049,0.184,0.911,1.075,0.072,56,-1.887,-1.239,0.115,1.328,2.123,1.564,0.321,42,-3.063,-0.901,0.907,1.848,2.443,2.095,-0.040,64,-5.025,-1.733,0.867,2.162,3.020,3.056,-0.040,64,-5.025,-1.733,0.867,2.162,3.020,3.056,-13.180,126,-23.156,-17.666,-14.848,-7.504,-1.459,8.108,0.009,61,-0.157,-0.015,0.049,0.072,0.095,0.095
"Highsmith, Joe",15,42,34,0,1,1,4,-0.163,83,-2.620,-1.240,-0.316,0.820,2.873,1.749,0.103,43,-1.705,-0.535,0.178,0.783,1.535,0.987,-0.140,78,-3.115,-1.499,-0.305,1.094,2.345,1.780,-0.009,73,-1.743,-0.756,0.136,0.845,1.299,1.055,-0.149,78,-3.643,-1.453,0.005,1.009,2.914,2.012,-0.043,69,-3.462,-1.192,-0.227,1.509,3.008,2.122,-0.041,65,-4.440,-1.977,-0.234,1.852,4.112,2.867,-0.041,65,-4.440,-1.977,-0.234,1.852,4.112,2.867,3.419,54,-14.313,-5.590,4.923,10.157,17.508,9.715,-0.016,84,-0.240,-0.089,-0.019,0.097,0.175,0.132
"Pavon, Matthieu",12,42,37,0,0,0,2,0.304,31,-1.998,-0.581,0.280,1.068,2.688,1.572,-0.500,128,-2.220,-1.386,-0.260,0.201,0.943,0.958,-0.143,79,-2.506,-1.045,-0.453,0.692,2.482,1.525,0.169,43,-1.662,-0.491,0.321,0.878,1.648,0.983,0.026,61,-3.120,-1.303,0.560,1.301,2.380,1.826,-0.475,94,-3.528,-1.494,-0.415,1.251,2.144,1.892,-0.063,66,-3.781,-1.399,-0.010,1.641,2.664,2.138,-0.063,66,-3.781,-1.399,-0.010,1.641,2.664,2.138,1.899,63,-13.939,-2.976,2.844,7.279,13.751,8.799,0.019,50,-0.139,-0.058,0.009,0.105,0.173,0.101
"Hubbard, Mark",13,40,36,0,1,1,1,-0.312,99,-2.307,-1.483,-0.311,0.723,1.868,1.484,0.035,55,-1.875,-0.441,0.082,0.742,1.434,1.100,0.289,29,-2.630,-0.349,0.775,1.285,2.209,1.554,-0.154,87,-1.894,-0.737,0.003,0.591,1.081,0.955,0.135,53,-3.005,-0.605,0.443,0.989,2.459,1.628,0.171,53,-3.679,-0.657,0.654,1.215,2.872,2.025,-0.067,67,-5.911,-1.512,0.313,1.330,4.228,2.834,-0.067,67,-5.911,-1.512,0.313,1.330,4.228,2.834,-3.867,98,-14.148,-11.034,-3.377,3.812,7.692,8.743,0.022,44,-0.140,-0.088,0.021,0.094,0.273,0.126
"Champ, Cameron",7,20,14,0,0,0,1,0.133,52,-2.634,-0.996,0.080,1.480,3.021,1.911,-0.295,113,-1.341,-0.677,-0.067,0.143,0.597,0.663,-0.211,85,-2.821,-1.096,-0.333,0.513,2.628,1.719,0.915,2,0.147,0.635,0.914,1.211,1.717,0.523,0.704,20,-2.005,-0.726,0.998,1.489,3.737,1.970,0.417,36,-2.254,-1.307,0.246,1.854,3.383,2.112,-0.067,68,-2.361,-1.513,-0.303,0.927,2.949,2.429,-0.067,68,-2.361,-1.513,-0.303,0.927,2.949,2.429,24.053,1,14.967,19.476,22.092,29.828,35.547,7.062,-0.011,76,-0.273,-0.107,0.007,0.072,0.191,0.160
