time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Lee, K.H.",16,0.813,null,null,null,null,null,null,11,0.57,20,0.426
l12_months,green hit rate,"Schneider, Marcel",null,null,null,null,null,null,31,0.48,null,null,null,null
l12_months,green hit rate,"Garcia Rodriguez, Sebastian",null,null,null,null,null,null,null,null,13,0.603,null,null
l12_months,green hit rate,"Frittelli, Dylan",20,0.915,null,null,null,null,null,null,12,0.408,20,0.039
l12_months,green hit rate,"Kisner, Kevin",null,null,null,null,55,0.731,29,0.579,15,0.295,null,null
l12_months,green hit rate,"Schaper, Jayden",14,0.99,null,null,null,null,null,null,14,0.541,null,null
l12_months,green hit rate,"Burgoon, Bronson",null,null,null,null,null,null,null,null,24,0.584,null,null
l12_months,green hit rate,"Lemke, Niklas",null,null,null,null,null,null,null,null,14,0.555,null,null
l12_months,green hit rate,"Wiesberger, Bernd",13,0.898,null,null,null,null,null,null,null,null,null,null
l12_months,green hit rate,"Watney, Nick",null,null,null,null,null,null,null,null,11,0.427,null,null
l12_months,green hit rate,"Norris, Shaun",null,null,null,null,null,null,null,null,null,null,19,0.409
l12_months,green hit rate,"Vermeer, Ryan",null,null,null,null,null,null,null,null,13,0.486,null,null
l12_months,green hit rate,"Walker, Jimmy",null,null,null,null,null,null,null,null,12,0.501,null,null
l12_months,green hit rate,"Baddeley, Aaron",null,null,null,null,null,null,null,null,16,0.443,null,null
l12_months,green hit rate,"Harrington, Padraig",null,null,null,null,56,0.624,32,0.27,27,0.78,39,0.312
l12_months,green hit rate,"Cink, Stewart",null,null,null,null,null,null,null,null,11,0.378,null,null
l12_months,green hit rate,"Donald, Luke",11,0.877,null,null,null,null,null,null,12,0.491,null,null
l12_months,green hit rate,"Langasque, Romain",13,0.878,null,null,null,null,32,0.459,null,null,null,null
l12_months,green hit rate,"Daffue, MJ",null,null,null,null,null,null,null,null,11,0.651,null,null
l12_months,green hit rate,"Mun, Doyeob",16,0.801,null,null,null,null,null,null,23,0.47,null,null
l12_months,green hit rate,"Ham, Jeong Woo",null,null,null,null,null,null,null,null,15,0.565,null,null
l12_months,green hit rate,"Chacarra, Eugenio",null,null,null,null,null,null,null,null,15,0.73,22,0.186
l12_months,green hit rate,"Hruby, Petr",null,null,null,null,null,null,null,null,12,0.415,null,null
l12_months,green hit rate,"Feagles, Michael",null,null,null,null,null,null,null,null,11,0.524,null,null
l12_months,green hit rate,"Anderson, Matthew",null,null,null,null,null,null,null,null,15,0.604,null,null
l12_months,green hit rate,"Ko, Jeong Weon",15,0.833,null,null,null,null,29,0.312,17,0.655,null,null
l12_months,green hit rate,"Olesen, Jacob Skov",11,0.966,null,null,null,null,34,0.55,12,0.758,null,null
l12_months,green hit rate,"Knowles, Philip",null,null,null,null,null,null,null,null,14,0.653,null,null
l12_months,green hit rate,"Xiong, Norman",null,null,null,null,null,null,null,null,13,0.537,null,null
l12_months,green hit rate,"Celli, Filippo",null,null,null,null,null,null,31,0.348,null,null,null,null
l12_months,green hit rate,"Andersen, Mason",14,0.831,null,null,49,0.736,null,null,25,0.431,null,null
l12_months,green hit rate,"Del Rey, Alejandro",13,0.743,null,null,48,0.706,null,null,15,0.543,null,null
l12_months,green hit rate,"Von Dellingshausen, Nicolai",12,0.976,null,null,52,0.688,null,null,null,null,null,null
l12_months,green hit rate,"Hillier, Daniel",null,null,null,null,null,null,null,null,15,0.54,null,null
l12_months,green hit rate,"Mazzoli, Stefano",null,null,null,null,null,null,null,null,11,0.724,null,null
l12_months,green hit rate,"Coussaud, Ugo",14,0.898,null,null,52,0.627,30,0.461,25,0.758,null,null
l12_months,green hit rate,"Helligkilde, Marcus",null,null,null,null,null,null,null,null,12,0.593,null,null
l12_months,green hit rate,"Lindberg, Mikael",null,null,null,null,null,null,null,null,13,0.411,null,null
l12_months,green hit rate,"Rottluff, Max",null,null,null,null,null,null,null,null,18,0.537,null,null
l12_months,green hit rate,"Zalatoris, Will",null,null,null,null,52,0.684,null,null,15,0.784,20,0.503
l12_months,green hit rate,"Du Plessis, Hennie",null,null,null,null,63,0.681,28,0.372,12,0.634,29,0.299
l12_months,green hit rate,"John, Cameron",null,null,null,null,null,null,null,null,13,0.508,null,null
l12_months,green hit rate,"Schniederjans, Ollie",null,null,null,null,null,null,null,null,18,0.325,null,null
l12_months,green hit rate,"Catlin, John",null,null,null,null,null,null,null,null,16,0.787,null,null
l12_months,green hit rate,"Herrington, Jackson",null,null,null,null,null,null,null,null,16,0.564,null,null
