Last Name,First Name,SHORT GAME,APPROACH,Driving-Distance,Driving-Accuracy,Total SG Adjustment,putting-2-5ft,putting-5-30ft,putting-30+,aroundgreen-Fairway,aroundgreen-Rought,aroundgreen-Bunker,approach-50-100,approach-100-150,approach-150-200,approach-200+
WISE,AARON,0.00,-0.01,0,-0.05,-0.05,7,11.3,4,2.8,2.2,1.2,1.7,5.2,7.1,3.8
HIGGS,HARRY,0.00,-0.01,-0.02,-0.03,-0.06,7.2,11.5,4.1,2.8,2.3,1.1,1.7,5.2,7,3.8
YELLAMARAJU,SUDARSHAN,0.00,0,-0.06,0,-0.06,7.1,11.5,3.9,2.7,2.2,1.1,1.8,5.2,7,3.8
STOUT,PRESTON,0.00,0,-0.06,0,-0.06,7.2,11.6,4,2.7,2.2,1.1,1.8,5.2,7,3.8
MAZZOLI,STEFANO,0.00,-0.01,-0.02,-0.03,-0.06,7.2,11.4,4.1,2.9,2.3,1.2,1.7,5.2,7,3.8
DUNLAP,NICK,0.00,0,0.03,-0.09,-0.07,7.1,11.2,4,2.8,2.1,1.1,1.6,5.2,7.1,3.8
CAMPOS,RAFAEL,0.00,-0.01,0,-0.05,-0.07,7.2,11.5,4.2,2.8,2.3,1.2,1.7,5.2,7.1,3.8
MALNATI,PETER,0.00,-0.02,0.06,-0.11,-0.07,7,11,4.1,3,2.3,1.3,1.6,5.2,7.2,3.8
FISK,STEVEN,0.00,0,-0.06,0,-0.07,7.1,11.4,3.9,2.7,2.2,1.1,1.8,5.2,7,3.8
VENTURA,KRISTOFFER,0.00,-0.01,-0.06,-0.01,-0.07,7.2,11.5,4,2.8,2.3,1.1,1.8,5.2,7,3.8
FISHBURN,PATRICK,0.00,0,-0.04,-0.02,-0.07,7.1,11.5,4,2.7,2.2,1.1,1.7,5.2,7,3.8
KITAYAMA,KURT,0.00,0.02,-0.09,0,-0.07,7,11.5,3.8,2.4,2,1,1.8,5.2,6.9,3.7
YU,KEVIN,0.00,0,-0.07,-0.01,-0.08,7.1,11.5,3.9,2.7,2.2,1.1,1.8,5.2,7,3.8
LI,HAOTONG,0.00,0,-0.07,-0.01,-0.08,7.3,11.7,4.1,2.6,2.2,1.1,1.8,5.2,7,3.8
MCNEALY,MAVERICK,0.00,0.01,-0.06,-0.03,-0.08,7,11.3,3.8,2.6,2.1,1.1,1.8,5.2,7,3.8
PAUL,JEREMY,0.00,-0.02,0.01,-0.07,-0.08,7.1,11.3,4.1,3,2.4,1.2,1.7,5.2,7.1,3.8
HUGHES,MACKENZIE,0.00,-0.01,-0.01,-0.06,-0.09,7,11.1,3.9,2.8,2.2,1.2,1.7,5.2,7.1,3.8
VILIPS,KARL,0.00,0,-0.02,-0.06,-0.09,7.1,11.4,4,2.7,2.2,1.1,1.7,5.2,7,3.8
HARDY,NICK,0.00,-0.01,-0.04,-0.05,-0.09,7.1,11.4,4.1,2.8,2.3,1.2,1.7,5.2,7,3.8
