event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole
3M Open,TPC Twin Cities,"Hossler, Beau",15470,35461,138,164,119,8:13 AM,early,10,1:28 PM,late,1
3M Open,TPC Twin Cities,"Hubbard, Mark",16333,36801,230,136,107,7:07 AM,early,1,12:22 PM,late,10
3M Open,TPC Twin Cities,"Hughes, Mackenzie",15556,35506,122,141,110,6:45 AM,early,1,12:00 PM,late,10
3M Open,TPC Twin Cities,"Im, Sungjae",17488,39971,102,77,57,7:29 AM,early,10,12:44 PM,late,1
3M Open,TPC Twin Cities,"Jaeger, Stephan",16394,36799,142,101,77,7:40 AM,early,1,12:55 PM,late,10
3M Open,TPC Twin Cities,"James, Ben",29827,57869,94,395,138,8:24 AM,early,10,1:39 PM,late,1
3M Open,TPC Twin Cities,"Jarvis, Casey",26947,57688,69,63,null,12:55 PM,late,1,7:40 AM,early,10
3M Open,TPC Twin Cities,"Kanaya, Takumi",19729,47917,166,161,136,12:22 PM,late,1,7:07 AM,early,10
3M Open,TPC Twin Cities,"Kang, Jeffrey",21889,47393,346,271,162,8:24 AM,early,1,1:39 PM,late,10
3M Open,TPC Twin Cities,"Keefer, Johnny",32457,63454,80,60,71,1:28 PM,late,1,8:13 AM,early,10
3M Open,TPC Twin Cities,"Kim, Michael",17543,39975,85,57,65,12:22 PM,late,10,7:07 AM,early,1
3M Open,TPC Twin Cities,"Kim, Tom",24766,55182,48,34,35,12:55 PM,late,1,7:40 AM,early,10
3M Open,TPC Twin Cities,"Kirk, Chris",12423,30926,145,118,146,7:18 AM,early,1,12:33 PM,late,10
3M Open,TPC Twin Cities,"Kitayama, Kurt",21891,48117,27,37,32,12:33 PM,late,1,7:18 AM,early,10
3M Open,TPC Twin Cities,"Kizzire, Patton",13470,32757,492,407,158,12:00 PM,late,1,6:45 AM,early,10
3M Open,TPC Twin Cities,"Knapp, Jake",19396,47420,45,46,39,7:18 AM,early,10,12:33 PM,late,1
3M Open,TPC Twin Cities,"Kohles, Ben",16395,36884,76,128,100,12:00 PM,late,1,6:45 AM,early,10
3M Open,TPC Twin Cities,"Koivun, Jackson",32319,66701,49,206,194,12:33 PM,late,1,7:18 AM,early,10
3M Open,TPC Twin Cities,"Kuchar, Matt",6169,23108,104,180,137,7:51 AM,early,1,1:06 PM,late,10
3M Open,TPC Twin Cities,"Lamprecht, Christo",24343,54422,null,280,198,1:50 PM,late,1,8:35 AM,early,10
3M Open,TPC Twin Cities,"Lebioda, Hank",21943,49766,329,257,141,12:00 PM,late,1,6:45 AM,early,10
3M Open,TPC Twin Cities,"Li, Haotong",15310,35296,182,109,125,2:01 PM,late,10,8:46 AM,early,1
3M Open,TPC Twin Cities,"Lindheim, Nicholas",16713,37278,null,null,216,8:35 AM,early,1,1:50 PM,late,10
3M Open,TPC Twin Cities,"Lipsky, David",15980,36326,175,112,76,1:17 PM,late,1,8:02 AM,early,10
3M Open,TPC Twin Cities,"List, Luke",7960,27129,424,492,188,8:02 AM,early,1,1:17 PM,late,10
3M Open,TPC Twin Cities,"Lower, Justin",17723,40162,372,286,180,1:17 PM,late,10,8:02 AM,early,1
3M Open,TPC Twin Cities,"Malnati, Peter",14926,34466,361,null,167,12:00 PM,late,10,6:45 AM,early,1
3M Open,TPC Twin Cities,"Martin, Ben",14007,33413,480,488,154,1:06 PM,late,1,7:51 AM,early,10
3M Open,TPC Twin Cities,"Matsuyama, Hideki",13562,32839,29,30,37,7:29 AM,early,10,12:44 PM,late,1
3M Open,TPC Twin Cities,"Mazzoli, Stefano",20844,49037,303,202,null,12:55 PM,late,10,7:40 AM,early,1
3M Open,TPC Twin Cities,"McCarthy, Denny",19870,47993,84,103,97,8:13 AM,early,10,1:28 PM,late,1
3M Open,TPC Twin Cities,"McGreevy, Max",23505,51950,88,100,108,1:06 PM,late,1,7:51 AM,early,10
3M Open,TPC Twin Cities,"McNealy, Maverick",18634,46442,22,42,50,12:44 PM,late,1,7:29 AM,early,10
3M Open,TPC Twin Cities,"Meissner, Mac",28159,59143,50,86,70,7:07 AM,early,10,12:22 PM,late,1
3M Open,TPC Twin Cities,"Merritt, Troy",13367,32640,375,423,185,1:06 PM,late,1,7:51 AM,early,10
3M Open,TPC Twin Cities,"Mitchell, Keith",17365,39546,44,73,46,7:51 AM,early,10,1:06 PM,late,1
3M Open,TPC Twin Cities,"Moore, Taylor",21944,49947,162,149,88,6:45 AM,early,10,12:00 PM,late,1
3M Open,TPC Twin Cities,"Mouw, William",29770,63121,114,129,102,7:29 AM,early,1,12:44 PM,late,10
3M Open,TPC Twin Cities,"Nakajima, Keita",21074,49228,113,94,112,1:39 PM,late,10,8:24 AM,early,1
3M Open,TPC Twin Cities,"Neergaard-Petersen, Rasmus",23841,52689,83,79,91,1:39 PM,late,1,8:24 AM,early,10
3M Open,TPC Twin Cities,"Nyholm, Pontus",25475,55851,296,259,132,1:28 PM,late,10,8:13 AM,early,1
3M Open,TPC Twin Cities,"Olesen, Thorbjorn",13412,33968,146,150,168,6:56 AM,early,10,12:11 PM,late,1
