RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
91,0,54783,Dylan Wu,-0.038,-0.097,0.128,-0.068,19
92,0,37275,Sam Ryder,-0.045,-0.196,0.497,-0.346,19
93,0,28252,Seamus Power,-0.051,-0.158,-0.142,0.249,25
94,0,63343,Aldrich Potgieter,-0.076,0.684,-0.304,-0.456,20
95,0,47504,Sam Burns,-0.093,0.269,-0.012,-0.350,20
96,0,57259,Dan Brown,-0.095,0.053,0.146,-0.295,20
97,0,48001,Zach Bauchou,-0.105,-0.311,0.081,0.125,29
98,0,51696,Rico Hoey,-0.157,0.255,0.004,-0.416,36
99,0,49766,Hank Lebioda,-0.184,0.037,0.047,-0.268,22
99,0,49947,Taylor Moore,-0.184,0.410,-0.804,0.210,25
101,0,27644,Brian Harman,-0.222,-0.246,-0.108,0.132,27
102,0,49855,Kristoffer Reitan,-0.225,0.456,-0.532,-0.149,25
103,0,35506,Mackenzie Hughes,-0.238,-0.216,-0.237,0.215,26
104,0,35461,Beau Hossler,-0.256,-0.169,-0.382,0.296,18
105,0,63121,William Mouw,-0.268,0.159,-0.013,-0.414,22
106,0,50188,S.H. Kim,-0.277,0.138,-0.524,0.109,27
107,0,27649,Brandt Snedeker,-0.289,-0.744,-0.315,0.769,12
108,0,47591,Eric Cole,-0.313,-0.886,0.033,0.540,27
109,0,49771,J.T. Poston,-0.317,0.048,-0.066,-0.299,24
110,0,34371,Adrien Saddier,-0.318,0.156,-0.332,-0.142,21
111,0,50286,A.J. Ewart,-0.335,-0.095,-0.152,-0.088,27
112,0,56781,Isaiah Salinda,-0.339,0.539,-0.230,-0.648,14
113,0,39975,Michael Kim,-0.352,-0.360,-0.114,0.121,29
114,0,59006,Davis Chatfield,-0.355,-0.053,-0.503,0.200,17
115,0,47993,Denny McCarthy,-0.387,-0.298,-0.002,-0.087,31
116,0,54607,Danny Walker,-0.412,-0.630,-0.121,0.339,28
117,0,59141,Matt McCarty,-0.423,-0.025,-0.100,-0.297,31
118,0,54788,Chandler Blanchet,-0.447,0.086,-0.097,-0.436,16
119,0,47983,Chad Ramey,-0.462,-0.048,-0.220,-0.193,33
120,0,51349,Nico Echavarria,-0.466,-0.118,0.073,-0.421,25
121,0,57123,Steven Fisk,-0.467,-0.200,-0.207,-0.060,26
122,0,27214,Kevin Streelman,-0.471,-0.374,-0.165,0.068,14
123,0,57586,Jesper Svensson,-0.490,0.112,-0.323,-0.280,12
124,0,55573,John VanDerLaan,-0.498,-0.182,-0.129,-0.186,20
125,0,60019,Jackson Suber,-0.501,-0.569,0.117,-0.050,16
126,0,29420,Billy Horschel,-0.503,-0.465,0.110,-0.147,31
127,0,63807,Neal Shipley,-0.527,0.618,-0.364,-0.780,16
128,0,49120,Kensei Hirata,-0.559,0.135,-0.684,-0.010,22
129,0,36801,Mark Hubbard,-0.571,-0.344,-0.208,-0.018,24
129,0,51600,Jimmy Stanger,-0.571,0.498,-1.089,0.020,15
131,0,31646,Emiliano Grillo,-0.585,-0.202,-0.156,-0.226,28
132,1,52666,Sami Valimaki,-0.587,-0.378,-0.088,-0.121,22
133,1,37076,Marcelo Rozo,-0.616,-0.505,0.218,-0.329,14
134,1,35658,Kris Ventura,-0.659,0.381,-0.364,-0.677,12
135,2,32757,Patton Kizzire,-0.689,-1.058,0.149,0.220,21
136,2,48867,Matti Schmid,-0.716,-0.049,-0.603,-0.063,32
137,2,35532,Tom Hoge,-0.737,-0.497,0.159,-0.399,27
