player_name,2021 (John Deere Classic),2022 (John Deere Classic),2023 (John Deere Classic),2024 (John Deere Classic),2025 (John Deere Classic),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Ramey, Chad",null,CUT,T42,CUT,CUT,10,-1.011,-0.736,-0.015,0.01
"Grillo, Emiliano",null,T2,CUT,null,2,10,1.869,1.493,0.03,0.01
"Gordon, Will",T28,null,CUT,CUT,CUT,10,-1.61,-1.043,-0.021,0.01
"Gotterup, Chris",null,T4,null,CUT,T21,10,1.23,1.078,0.022,0.01
"Campbell, Brian",null,null,null,null,1,10,0.952,1.548,0.031,0.01
"Moore, Taylor",null,T24,CUT,null,T33,10,0.369,0.257,0.005,0.01
"Homa, Max",null,null,null,null,T5,10,0.924,1.69,0.034,0.01
"Higgo, Garrick",null,null,T21,CUT,T27,10,0.558,0.812,0.016,0.01
"Smotherman, Austin",null,CUT,T51,T61,null,10,-0.592,-0.065,-0.001,0.01
"Sargent, Gordon",null,null,T57,null,62,8,-0.898,0.116,0.002,0.004
"Roy, Kevin",null,null,T31,null,T3,8,1.477,1.714,0.028,0.004
"Hoge, Tom",null,null,null,null,null,8,-3.313,-2.811,-0.045,0.004
"Bezuidenhout, Christiaan",null,T2,CUT,null,CUT,8,0.691,0.231,0.004,0.004
"Hoey, Rico",null,null,null,T26,T11,8,1.469,1.393,0.022,0.004
"Hisatsune, Ryo",null,null,null,T52,T60,8,-0.656,-1.008,-0.016,0.004
"Springer, Hayden",null,null,null,T7,T44,8,1.344,1.781,0.029,0.004
"Bradley, Keegan",null,null,null,null,null,8,0.204,-0.741,-0.012,0.004
"Crowe, Trace",null,null,null,T44,CUT,6,-0.402,0.161,0.002,-0.002
"Phillips, Chandler",null,null,null,T44,CUT,6,-0.069,0.026,0,-0.002
"Dou, Zecheng",null,null,CUT,CUT,null,6,-3.042,-2.293,-0.028,-0.002
"Dunlap, Nick",null,null,null,CUT,T11,6,0.873,1.812,0.022,-0.002
"Coody, Pierceson",null,null,null,T30,CUT,6,-1.235,-1.147,-0.014,-0.002
"Meissner, Mac",null,null,null,T20,CUT,6,0.765,0.812,0.01,-0.002
"Fishburn, Patrick",null,null,null,CUT,T18,6,0.706,0.807,0.01,-0.002
"Clanton, Luke",null,null,null,T2,CUT,6,2.098,1.685,0.02,-0.002
"Campos, Rafael",CUT,null,null,CUT,CUT,6,-2.061,-1.137,-0.014,-0.002
"Fowler, Rickie",null,null,null,null,T18,6,0.762,0.164,0.002,-0.002
"Hughes, Mackenzie",null,null,null,null,null,6,0.391,0.461,0.006,-0.002
"Mouw, William",null,null,T13,null,CUT,6,1.11,1.516,0.018,-0.002
"Ventura, Kris",CUT,null,null,null,T27,6,-0.994,-0.571,-0.007,-0.002
"McGreevy, Max",null,CUT,CUT,null,CUT,6,-2.512,-1.61,-0.019,-0.002
"Kim, Chan",null,null,null,T12,CUT,6,0.431,0.386,0.005,-0.002
"Skinns, David",null,CUT,null,CUT,CUT,6,-2.242,-1.482,-0.018,-0.002
"Griffin, Ben",null,null,null,T5,CUT,6,1.931,1.282,0.015,-0.002
"Olesen, Thorbjorn",null,null,null,T61,CUT,6,-1.235,-1.32,-0.016,-0.002
"Bridgeman, Jacob",null,null,null,CUT,T5,6,0.873,0.824,0.01,-0.002
"Fisher, Darin",null,null,null,null,null,4,-5.642,-0.062,0,-0.008
"Paul, Jeremy",null,null,null,null,T33,4,0.62,1.019,0.008,-0.008
"Dumont De Chassart, Adrien",null,null,null,T46,null,4,-0.182,0.594,0.005,-0.008
"Greyserman, Max",null,null,null,T26,null,4,1.068,1.22,0.01,-0.008
"Eckroat, Austin",null,null,null,null,T11,4,1.87,1.724,0.014,-0.008
"Highsmith, Joe",null,null,null,CUT,CUT,4,-1.23,-0.86,-0.007,-0.008
"Tosti, Alejandro",null,null,null,CUT,CUT,4,-1.48,-1.123,-0.009,-0.008
"Koivun, Jackson",null,null,null,null,T11,4,1.87,1.747,0.014,-0.008
"Potgieter, Aldrich",null,null,null,null,WD,3,-0.279,-0.304,-0.002,-0.011
"Shipley, Neal",null,null,null,CUT,null,2,-3.62,-2.856,-0.011,-0.014
"Feagles, Michael",CUT,null,null,null,null,2,-4.222,-3.319,-0.013,-0.014
"Suber, Jackson",null,null,null,null,CUT,2,0.159,0.642,0.003,-0.014
"Fisk, Steven",null,null,null,null,CUT,2,-1.841,-1.902,-0.008,-0.014
"Goodwin, Noah",null,null,null,null,CUT,2,-3.841,-3.413,-0.014,-0.014
"Nunez, Augusto",null,null,CUT,null,null,2,-1.928,-1.422,-0.006,-0.014
"Peterson, Paul",null,null,null,null,CUT,2,0.159,0.88,0.004,-0.014
"Kim, Tom",null,null,null,null,CUT,2,0.159,-0.068,0,-0.014
"Van Rooyen, Erik",null,null,CUT,null,null,2,-1.928,-0.725,-0.003,-0.014
"Finau, Tony",null,null,null,null,null,2,-0.292,-1.117,-0.004,-0.014
"Vilips, Karl",null,null,null,null,CUT,2,-1.841,-1.28,-0.005,-0.014
"Riley, Davis",null,null,null,CUT,null,2,-5.12,-4.844,-0.019,-0.014
"Wallace, Matt",null,CUT,null,null,null,2,-1.266,-0.831,-0.003,-0.014
"Kanaya, Takumi",null,null,null,null,CUT,2,-0.341,-0.349,-0.001,-0.014
"Stanger, Jimmy",null,null,null,WD,null,1,-7.511,-6.72,-0.014,-0.017
"Howell, Mason",null,null,null,null,null,0,null,null,null,-0.039
"Walker, Danny",null,null,null,null,null,0,null,null,null,-0.039
"Hirata, Kensei",null,null,null,null,null,0,null,null,null,-0.039
"Nyholm, Pontus",null,null,null,null,null,0,null,null,null,-0.039
"VanDerLaan, John",null,null,null,null,null,0,null,null,null,-0.039
"Chatfield, Davis",null,null,null,null,null,0,null,null,null,-0.039
"Adler, Patrick",null,null,null,null,null,0,null,null,null,-0.039
"Bauchou, Zach",null,null,null,null,null,0,null,null,null,-0.039
"Nakajima, Keita",null,null,null,null,null,0,null,null,null,-0.039
"Kang, Jeffrey",null,null,null,null,null,0,null,null,null,-0.039
"Yellamaraju, Sudarshan",null,null,null,null,null,0,null,null,null,-0.039
"Ewart, A.J.",null,null,null,null,null,0,null,null,null,-0.039
"Gutschewski, Luke",null,null,null,null,null,0,null,null,null,-0.039
"Blanchet, Chandler",null,null,null,null,null,0,null,null,null,-0.039
"Rozo, Marcelo",null,null,null,null,null,0,null,null,null,-0.039
"Li, Haotong",null,null,null,null,null,0,null,null,null,-0.039
"Stout, Preston",null,null,null,null,null,0,null,null,null,-0.039
"Brown, Blades",null,null,null,null,null,0,null,null,null,-0.039
"Lamprecht, Christo",null,null,null,null,null,0,null,null,null,-0.039
"Keefer, Johnny",null,null,null,null,null,0,null,null,null,-0.039
"Brennan, Michael",null,null,null,null,null,0,null,null,null,-0.039
"Pendrith, Taylor",null,null,null,null,null,0,null,null,null,-0.039
"Pavon, Matthieu",null,null,null,null,null,0,null,null,null,-0.039
"Voois, Ryan",null,null,null,null,null,0,null,null,null,-0.039
