Last Name,First Name,main-tour-inner,main-tour-hover,L5 Tournament-Type 1,L5 Tournament-Type 1,L5 Place-Type 1,L5 Tournament-Type 2,L5 Tournament-Type 2,L5 Place-Type 2,L5 Tournament-Type 3,L5 Tournament-Type 3,L5 Place-Type 3,L5 Tournament-Type 4,L5 Tournament-Type 4,L5 Place-Type 4,L5 Tournament-Type 5,L5 Tournament-Type 5,L5 Place-Type 5,SG-PUTT,SG-ARG
FISK,STEVEN,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T10,PGA Championship,Major,T38,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T19,0.5,0.47
VAN ROOYEN,ERIK,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,70,ONEflight Myrtle Beach Classic,PGA Tour,T17,THE CJ CUP Byron Nelson,PGA Tour,T38,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,T19,0.48,1.05
BRIDGEMAN,JACOB,PGA,PGA Tour,PGA Championship,Major,T39,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T34,U.S. Open,Major,T47,Travelers Championship,PGA Tour,T11,0.45,-0.52
GRILLO,EMILIANO,PGA,PGA Tour,PGA Championship,Major,T20,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T38,RBC Canadian Open,PGA Tour,T23,U.S. Open,Major,T42,0.43,0.39
FERGUSON,EWEN,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T19,Soudal Open,DP World Tour,T25,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T17,0.42,0.47
BERGER,DANIEL,PGA,PGA Tour,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T45,the Memorial Tournament presented by Workday,PGA Tour,T35,U.S. Open,Major,T25,Travelers Championship,PGA Tour,CUT,0.42,0
CARR,BEN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,2,UNC Health Championship,Korn Ferry Tour,T39,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T7,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T19,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,0.41,1.23
AKINA,KIHEI,AM,Amateur,79th Western Intercollegiate,Amateur,T8,Big 12 Men's Golf Championship,Amateur,5,NCAA Athens Regional,Amateur,2,NCAA DI Men's National Championship- Stroke Play,Amateur,T5,The Amateur Championship,Amateur,T14,0.41,1.29
SIDES,WILLIAM,AM,Amateur,2026 ACC Men's Golf Championship - Stroke Play,Amateur,T14,NCAA Bryan Regional,Amateur,4,THE CJ CUP Byron Nelson,PGA Tour,16,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T10,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,0.41,0.75
KIM,CHAN,KFT,Korn Ferry Tour,THE CJ CUP Byron Nelson,PGA Tour,T35,UNC Health Championship,Korn Ferry Tour,T38,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T13,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T33,Memorial Health Championship presented by LRS,Korn Ferry Tour,T3,0.4,0.85
BROWN,BLADES,KFT,Korn Ferry Tour,Colonial Life Charity Classic,Korn Ferry Tour,T17,THE CJ CUP Byron Nelson,PGA Tour,T16,UNC Health Championship,Korn Ferry Tour,T14,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T55,Memorial Health Championship presented by LRS,Korn Ferry Tour,T13,0.38,0.43
YELLAMARAJU,SUDARSHAN,PGA,PGA Tour,PGA Championship,Major,T8,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T40,0.38,0.19
PONDER,THOMAS,PTA,PGA Tour Americas,Diners Club Peru Open,PGA Tour Americas,T9,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T10,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,3,Inter Rapidisimo Golf Championship,PGA Tour Americas,T17,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,PGA Tour Americas,4,0.37,0.95
ANCER,ABRAHAM,LIV,LIV Golf,Virginia,LIV Golf,3,Kolon The 68th KOREA Open,ASA,43,Korea,LIV Golf,T29,Andalucia,LIV Golf,T22,International Series Morocco presented by Visit Morocco,Asian Tour,T5,0.36,-0.13
NEERGAARD-PETERSEN,RASMUS,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T42,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T75,Charles Schwab Challenge,PGA Tour,39,RBC Canadian Open,PGA Tour,T19,0.35,-0.02
YU,KEVIN,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T35,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T53,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,CUT,0.34,0.28
THOMPSON,DAVIS,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T45,THE CJ CUP Byron Nelson,PGA Tour,T13,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T35,0.34,-0.05
PENDRITH,TAYLOR,PGA,PGA Tour,PGA Championship,Major,T29,THE CJ CUP Byron Nelson,PGA Tour,T44,the Memorial Tournament presented by Workday,PGA Tour,T47,RBC Canadian Open,PGA Tour,61,Travelers Championship,PGA Tour,T43,0.33,-0.03
KOBORI,KAZUMA,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T28,Soudal Open,DP World Tour,T6,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,T19,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,0.33,0.7
CONNERS,COREY,PGA,PGA Tour,PGA Championship,Major,T55,the Memorial Tournament presented by Workday,PGA Tour,53,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T23,Travelers Championship,PGA Tour,T7,0.32,-0.31
HOEY,RICO,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T17,PGA Championship,Major,T53,THE CJ CUP Byron Nelson,PGA Tour,T60,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T19,0.31,-0.03
STEINLECHNER,MAXIMILIAN,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T3,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T59,KLM Open,DP World Tour,T25,DS Automobiles 83° Open d’Italia,DP World Tour,T7,0.3,1.16
WIESBERGER,BERND,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,PGA Championship,Major,T13,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,T21,DS Automobiles 83° Open d’Italia,DP World Tour,T4,0.29,0.79
PUTNAM,ANDREW,PGA,PGA Tour,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T37,Charles Schwab Challenge,PGA Tour,T55,RBC Canadian Open,PGA Tour,T65,U.S. Open,Major,T17,0.29,0.01
WATSON,BUBBA,LIV,LIV Golf,Virginia,LIV Golf,9,Kolon The 68th KOREA Open,ASA,T35,Korea,LIV Golf,CUT,Andalucia,LIV Golf,2,International Series Morocco presented by Visit Morocco,Asian Tour,T29,0.26,0.35
FOWLER,RICKIE,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T60,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,T38,Travelers Championship,PGA Tour,CUT,0.26,-0.92
GRIFFIN,LANTO,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T32,ONEflight Myrtle Beach Classic,PGA Tour,T13,THE CJ CUP Byron Nelson,PGA Tour,T13,Charles Schwab Challenge,PGA Tour,T60,RBC Canadian Open,PGA Tour,T67,0.25,0.38
VALIMAKI,SAMI,PGA,PGA Tour,Masters Tournament,Major,CUT,RBC Heritage,PGA Tour,T55,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,T60,KLM Open,DP World Tour,10,0.24,-0.14
BRYANT,DAVIS,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T38,Soudal Open,DP World Tour,T31,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T30,KLM Open,DP World Tour,T48,DS Automobiles 83° Open d’Italia,DP World Tour,T2,0.23,0.9
ISHIKAWA,RYO,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T3,UNC Health Championship,Korn Ferry Tour,T15,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T33,Memorial Health Championship presented by LRS,Korn Ferry Tour,T12,0.23,0.81
REDMAN,DOC,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,1,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T48,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T13,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,0.23,0.6
PEREIRA,COREY,PTA,PGA Tour Americas,Diners Club Peru Open,PGA Tour Americas,T5,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T24,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,CUT,Inter Rapidisimo Golf Championship,PGA Tour Americas,T2,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,PGA Tour Americas,1,0.23,0.15
GARCIA,SERGIO,LIV,LIV Golf,Mexico City,LIV Golf,2,Virginia,LIV Golf,T39,Korea,LIV Golf,T29,Andalucia,LIV Golf,CUT,International Series Morocco presented by Visit Morocco,Asian Tour,4,0.22,0.17
GRACE,BRANDEN,LIV,LIV Golf,Virginia,LIV Golf,T14,Korea,LIV Golf,T21,Andalucia,LIV Golf,T12,International Series Morocco presented by Visit Morocco,Asian Tour,WD,DS Automobiles 83° Open d’Italia,DP World Tour,T11,0.22,-0.52
STOUT,PRESTON,AM,Amateur,Big 12 Men's Golf Championship,Amateur,1,NCAA Marana Regional,Amateur,T18,THE CJ CUP Byron Nelson,PGA Tour,CUT,NCAA DI Men's National Championship- Stroke Play,Amateur,1,U.S. Open,Major,CUT,0.21,0.33
HOSSLER,BEAU,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T3,Charles Schwab Challenge,PGA Tour,T45,RBC Canadian Open,PGA Tour,CUT,0.2,0.09
JAKUBCIK,FILIP,AM,Amateur,Big 12 Men's Golf Championship,Amateur,T28,NCAA Marana Regional,Amateur,6,NCAA DI Men's National Championship- Stroke Play,Amateur,T1,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T33,Memorial Health Championship presented by LRS,Korn Ferry Tour,T4,0.2,0.91
SPIETH,JORDAN,PGA,PGA Tour,PGA Championship,Major,T56,THE CJ CUP Byron Nelson,PGA Tour,T18,the Memorial Tournament presented by Workday,PGA Tour,T19,U.S. Open,Major,T66,Travelers Championship,PGA Tour,CUT,0.2,-0.58
HOGE,TOM,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T6,the Memorial Tournament presented by Workday,PGA Tour,T71,RBC Canadian Open,PGA Tour,T38,Travelers Championship,PGA Tour,51,0.18,0.78
LINDBERG,MIKAEL,DPT,DP World Tour,PGA Championship,Major,T60,Soudal Open,DP World Tour,T55,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T17,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,0.17,0.07
SMITH,JORDAN,PGA,PGA Tour,Cadillac Championship,PGA Tour,T55,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T59,Charles Schwab Challenge,PGA Tour,T13,RBC Canadian Open,PGA Tour,CUT,0.17,-0.31
YOUNG,CARSON,KFT,Korn Ferry Tour,THE CJ CUP Byron Nelson,PGA Tour,T8,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T13,Memorial Health Championship presented by LRS,Korn Ferry Tour,T17,0.17,0.53
DOSSEY,COOPER,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T3,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T7,U.S. Open,Major,T19,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,0.17,0.19
KIMSEY,NATHAN,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T8,KLM Open,DP World Tour,1,U.S. Open,Major,T17,0.16,0.54
DETRY,THOMAS,LIV,LIV Golf,PGA Championship,Major,T5,Soudal Open,DP World Tour,CUT,Korea,LIV Golf,T53,Andalucia,LIV Golf,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,T41,0.15,-0.32
HERBERT,LUCAS,LIV,LIV Golf,Singapore Open presented by The Business Times,Asian Tour,T24,Virginia,LIV Golf,CUT,Korea,LIV Golf,T8,Andalucia,LIV Golf,CUT,U.S. Open,Major,1,0.15,0.16
HOMA,MAX,PGA,PGA Tour,Cadillac Championship,PGA Tour,T22,Truist Championship,PGA Tour,T38,PGA Championship,Major,T52,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,CUT,0.14,-0.35
RITCHIE,JC,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T48,Soudal Open,DP World Tour,T3,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T17,0.13,0.26
THORBJORNSEN,MICHAEL,PGA,PGA Tour,Cadillac Championship,PGA Tour,16,PGA Championship,Major,T53,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T54,RBC Canadian Open,PGA Tour,CUT,0.12,-0.59
COUSSAUD,UGO,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T25,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,U.S. Open,Major,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,T17,0.12,0.3
HALL,HARRY,PGA,PGA Tour,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,T29,RBC Canadian Open,PGA Tour,T40,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T51,0.11,-0.87
SKINNS,DAVID,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T24,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,CUT,0.1,0.45
JOHNSON,MICHAEL,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T35,UNC Health Championship,Korn Ferry Tour,T12,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T7,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,0.09,0.24
FISHBURN,PATRICK,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T54,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T19,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,T47,0.08,0.16
MCCARTY,MATT,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T60,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T30,0.08,-0.65
DE LEO,GREGORIO,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T70,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T8,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,T4,0.08,0.68
OLESEN,JACOB SKOV,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T41,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T2,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T26,0.08,0.14
STEVENS,SAM,PGA,PGA Tour,PGA Championship,Major,T65,Charles Schwab Challenge,PGA Tour,T42,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,T7,Travelers Championship,PGA Tour,T62,0.07,-0.4
HUBBARD,MARK,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,2,Charles Schwab Challenge,PGA Tour,T31,the Memorial Tournament presented by Workday,PGA Tour,70,Travelers Championship,PGA Tour,T60,0.07,0.3
SMOTHERMAN,AUSTIN,PGA,PGA Tour,Cadillac Championship,PGA Tour,T42,Truist Championship,PGA Tour,T60,PGA Championship,Major,T19,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,0.06,0.05
MAAS,CHRISTIAAN,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,Amateur,CUT,NCAA Bryan Regional,Amateur,T3,NCAA DI Men's National Championship- Stroke Play,Amateur,T5,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T19,Memorial Health Championship presented by LRS,Korn Ferry Tour,T19,0.05,0.09
KUCHAR,MATT,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T22,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T24,Charles Schwab Challenge,PGA Tour,T22,the Memorial Tournament presented by Workday,PGA Tour,CUT,0.05,-0.14
ORTIZ,ALVARO,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T10,UNC Health Championship,Korn Ferry Tour,T46,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,1,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,T40,0.05,0.77
MIGLIOZZI,GUIDO,DPT,DP World Tour,Turkish Airlines Open,DP World Tour,T28,Estrella Damm Catalunya Championship,DP World Tour,T2,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,T35,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,0.04,0.79
GARNETT,BRICE,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T22,ONEflight Myrtle Beach Classic,PGA Tour,T24,THE CJ CUP Byron Nelson,PGA Tour,T19,Charles Schwab Challenge,PGA Tour,T4,RBC Canadian Open,PGA Tour,CUT,0.03,0.67
MOUW,WILLIAM,PGA,PGA Tour,PGA Championship,Major,T20,THE CJ CUP Byron Nelson,PGA Tour,T70,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T65,U.S. Open,Major,CUT,0.01,-0.33
PEPPERELL,EDDIE,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T11,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T24,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,0.01,0.35
TAYLOR,BEN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T28,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T7,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T27,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,0,0.49
GOOCH,TALOR,LIV,LIV Golf,South Africa,LIV Golf,2,Mexico City,LIV Golf,T24,Virginia,LIV Golf,T43,Korea,LIV Golf,T16,Andalucia,LIV Golf,T39,0,-0.16
JOHNSON,ZACH,CHAMP,PGA Tour Champions,Masters Tournament,Major,T5,Senior PGA Championship,PGA Tour Champions,CUT,Mitsubishi Electric Classic,PGA Tour Champions,T8,Insperity Invitational,PGA Tour Champions,1,Principal Charity Classic,PGA Tour Champions,3,-0.01,0.13
CASTILLO,RICKY,PGA,PGA Tour,Cadillac Championship,PGA Tour,T55,Truist Championship,PGA Tour,T60,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T42,RBC Canadian Open,PGA Tour,T45,-0.01,-0.27
DAY,JASON,PGA,PGA Tour,Cadillac Championship,PGA Tour,T38,Truist Championship,PGA Tour,68,PGA Championship,Major,T65,the Memorial Tournament presented by Workday,PGA Tour,CUT,Travelers Championship,PGA Tour,T55,-0.02,-0.63
MCGREEVY,MAX,PGA,PGA Tour,PGA Championship,Major,T51,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T32,U.S. Open,Major,T35,-0.03,-0.38
HILLIER,DANIEL,DPT,DP World Tour,PGA Championship,Major,CUT,Soudal Open,DP World Tour,T26,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,T14,DS Automobiles 83° Open d’Italia,DP World Tour,T7,-0.04,-0.58
HISATSUNE,RYO,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,T43,Charles Schwab Challenge,PGA Tour,T19,the Memorial Tournament presented by Workday,PGA Tour,66,U.S. Open,Major,T38,Travelers Championship,PGA Tour,52,-0.04,-0.16
KIM,S.H.,KOR,KPGA Korean Tour,KPGA Gyeongbuk Open,KPGA Korean Tour,T10,Kolon The 68th KOREA Open,ASA,T6,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,T8,Hana Bank Invitational,KPGA Korean Tour,2,KPGA Gunsan CC Open,KPGA Korean Tour,CUT,-0.04,0.14
BRENNAN,MICHAEL,PGA,PGA Tour,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,81,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T43,U.S. Open,Major,T6,-0.05,-0.44
BLAIR,ZAC,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,T32,Charles Schwab Challenge,PGA Tour,69,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,U.S. Open,Major,T27,Memorial Health Championship presented by LRS,Korn Ferry Tour,T40,-0.05,-0.04
STEELMAN,ROSS,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T10,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,2,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T10,Memorial Health Championship presented by LRS,Korn Ferry Tour,T33,-0.05,0.76
NAKAJIMA,KEITA,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T28,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T13,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,CUT,-0.05,0.09
WARING,PAUL,DPT,DP World Tour,Valero Texas Open,PGA Tour,T30,Turkish Airlines Open,DP World Tour,T30,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T48,KLM Open,DP World Tour,T13,-0.06,0.6
OLESEN,THORBJORN,PGA,PGA Tour,Texas Children's Houston Open,PGA Tour,T67,Valero Texas Open,PGA Tour,T14,THE CJ CUP Byron Nelson,PGA Tour,T49,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T62,-0.06,-0.44
PAVON,MATTHIEU,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T20,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,T40,-0.06,0.18
DOU,ZECHENG,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T13,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,-0.07,-0.12
MENANTE,DYLAN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T12,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T38,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T48,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.08,0.56
LUNDIN,JACK,PTA,PGA Tour Americas,Diners Club Peru Open,PGA Tour Americas,T20,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T33,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,2,Inter Rapidisimo Golf Championship,PGA Tour Americas,4,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,PGA Tour Americas,T15,-0.08,1.01
ERENO PEREZ,PABLO,CHA,Challenge Tour,Danish Golf Challenge,Challenge Tour,T41,Challenge de España,Challenge Tour,T20,KLM Open,DP World Tour,T7,English Open supported by HotelPlanner,Challenge Tour,3,Blot Play9,Challenge Tour,T14,-0.08,0.75
DEAN,JOE,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T3,Soudal Open,DP World Tour,T64,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T47,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,T12,-0.09,0.84
STEELE,BRENDAN,LIV,LIV Golf,South Africa,LIV Golf,T6,Mexico City,LIV Golf,T24,Virginia,LIV Golf,T25,Korea,LIV Golf,T31,Andalucia,LIV Golf,T39,-0.1,0.53
VARNER III,HAROLD,LIV,LIV Golf,South Africa,LIV Golf,T6,Mexico City,LIV Golf,T38,Virginia,LIV Golf,T12,Korea,LIV Golf,T19,Andalucia,LIV Golf,T51,-0.1,0.28
HORSCHEL,BILLY,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T42,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T15,U.S. Open,Major,CUT,-0.1,0.04
REAVIE,CHEZ,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T28,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T13,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,T33,-0.11,0.79
