Last Name,First Name,main-tour-inner,main-tour-hover,L5 Tournament-Type 1,L5 Tournament-Type 1,L5 Place-Type 1,L5 Tournament-Type 2,L5 Tournament-Type 2,L5 Place-Type 2,L5 Tournament-Type 3,L5 Tournament-Type 3,L5 Place-Type 3,L5 Tournament-Type 4,L5 Tournament-Type 4,L5 Place-Type 4,L5 Tournament-Type 5,L5 Tournament-Type 5,L5 Place-Type 5,SG-PUTT,SG-ARG
LOWRY,SHANE,PGA,PGA Tour,PGA Championship,Major,T44,the Memorial Tournament presented by Workday,PGA Tour,T22,RBC Canadian Open,PGA Tour,T29,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T22,1.47,0.32
MITCHELL,KEITH,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,T4,Charles Schwab Challenge,PGA Tour,5,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T22,Travelers Championship,PGA Tour,T29,1.46,0.81
POSTON,J.T.,PGA,PGA Tour,PGA Championship,Major,T4,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,T35,U.S. Open,Major,69,Travelers Championship,PGA Tour,1,1.39,0.71
KOIVUN,JACKSON,AM,Amateur,Ford Collegiate,Amateur,1,2026 SEC Men's Golf Championship Stroke Play,Amateur,T10,NCAA Athens Regional,Amateur,T10,NCAA DI Men's National Championship- Stroke Play,Amateur,1,U.S. Open,Major,T23,1.38,0.09
MORIKAWA,COLLIN,PGA,PGA Tour,Cadillac Championship,PGA Tour,T62,PGA Championship,Major,T55,RBC Canadian Open,PGA Tour,T29,U.S. Open,Major,T17,Travelers Championship,PGA Tour,3,1.37,-0.1
ABERG,LUDVIG,PGA,PGA Tour,PGA Championship,Major,T4,Charles Schwab Challenge,PGA Tour,T17,the Memorial Tournament presented by Workday,PGA Tour,39,U.S. Open,Major,T17,Travelers Championship,PGA Tour,T55,1.34,-0.46
GERARD,RYAN,PGA,PGA Tour,PGA Championship,Major,T70,Charles Schwab Challenge,PGA Tour,T10,the Memorial Tournament presented by Workday,PGA Tour,2,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T44,1.33,0.44
VINCENT,SCOTT,LIV,LIV Golf,Mexico City,LIV Golf,15,Virginia,LIV Golf,4,Korea,LIV Golf,T8,Andalucia,LIV Golf,T10,International Series Morocco presented by Visit Morocco,Asian Tour,5,1.33,1.04
ENGLISH,HARRIS,PGA,PGA Tour,Truist Championship,PGA Tour,T24,PGA Championship,Major,T18,the Memorial Tournament presented by Workday,PGA Tour,T17,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T38,1.32,-0.02
JOHNSON,DUSTIN,LIV,LIV Golf,Virginia,LIV Golf,T5,PGA Championship,Major,T18,Korea,LIV Golf,T44,Andalucia,LIV Golf,T32,U.S. Open,Major,4,1.31,0.86
MCNEALY,MAVERICK,PGA,PGA Tour,Truist Championship,PGA Tour,T37,PGA Championship,Major,T18,the Memorial Tournament presented by Workday,PGA Tour,T10,U.S. Open,Major,T32,Travelers Championship,PGA Tour,T55,1.31,-0.1
POTGIETER,ALDRICH,PGA,PGA Tour,RBC Heritage,PGA Tour,T35,Cadillac Championship,PGA Tour,T25,Truist Championship,PGA Tour,T14,PGA Championship,Major,T8,RBC Canadian Open,PGA Tour,T48,1.29,1.22
KIM,TOM,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T15,THE CJ CUP Byron Nelson,PGA Tour,T6,Charles Schwab Challenge,PGA Tour,T54,RBC Canadian Open,PGA Tour,3,U.S. Open,Major,T54,1.27,0.99
SUBER,JACKSON,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,4,RBC Canadian Open,PGA Tour,T67,U.S. Open,Major,T30,Travelers Championship,PGA Tour,T4,1.25,1.22
HENLEY,RUSSELL,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,1,the Memorial Tournament presented by Workday,PGA Tour,T22,U.S. Open,Major,T65,Travelers Championship,PGA Tour,T12,1.21,-0.55
SCHAUFFELE,XANDER,PGA,PGA Tour,Truist Championship,PGA Tour,T60,PGA Championship,Major,T7,the Memorial Tournament presented by Workday,PGA Tour,T29,U.S. Open,Major,T11,Travelers Championship,PGA Tour,T51,1.21,-0.69
REED,PATRICK,PGA,PGA Tour,Joburg Open,DP World Tour,CUT,Masters Tournament,Major,T10,PGA Championship,Major,T12,U.S. Open,Major,T45,DS Automobiles 83° Open d’Italia,DP World Tour,T10,1.18,0.35
