Last Name,First Name,Short Game,Approach,Driving-Distance,Driving-Accuracy,Total SG Adjustment,Putting 2-5ft,Putting 5-30ft,Putting 30+ ft,Course-Fairway,Course-Rough,Course-Bunker,Approach 50-100yds,Approach 100-150 yds,Approach 150-200 yds,Approach 200+ yds
FRITTELLI,DYLAN,0,0,-0.01,-0.09,-0.1,6.8,11.6,3.5,3.2,2.2,1.4,2.1,6.2,5.7,3.3
DUMONT DE CHASSART,ADRIEN,-0.03,0,-0.01,-0.07,-0.11,6.9,11.7,3.5,3.1,2.1,1.4,2,6.2,5.7,3.3
POTGIETER,ALDRICH,0.02,0,-0.05,-0.08,-0.11,7,12,3.6,3.1,2,1.2,2.2,6.3,5.4,3.2
COLE,ERIC,-0.07,0,0.01,-0.05,-0.11,6.8,11.6,3.4,2.9,1.9,1.3,1.9,6.1,5.9,3.4
HUGHES,MACKENZIE,-0.05,0,0,-0.06,-0.11,6.8,11.5,3.5,3.1,2.1,1.4,2,6.1,5.8,3.4
SARGENT,GORDON,0.02,0.01,-0.04,-0.11,-0.11,6.9,11.8,3.7,3.5,2.5,1.5,2.2,6.3,5.5,3.2
DUNLAP,NICK,-0.01,0,0.01,-0.11,-0.12,6.9,11.7,3.6,2.9,2,1.5,2,6.1,5.9,3.4
WHALEY,VINCE,-0.05,0,0,-0.07,-0.12,6.9,11.7,3.6,3.2,2.2,1.4,2,6.1,5.8,3.4
MALNATI,PETER,-0.04,0,0.01,-0.11,-0.13,6.9,11.5,3.6,3.2,2.3,1.6,2,6.1,6,3.4
GOTTERUP,CHRIS,-0.03,0,-0.04,-0.06,-0.13,7,11.9,3.5,2.9,1.9,1.2,2.1,6.2,5.5,3.2
RILEY,DAVIS,-0.02,0,0,-0.11,-0.13,6.9,11.6,3.6,3.2,2.3,1.5,2,6.1,5.8,3.3
NYHOLM,PONTUS,0.01,0,-0.03,-0.12,-0.14,6.9,11.8,3.6,3.2,2.2,1.4,2.2,6.2,5.6,3.2
LAMPRECHT,CHRISTO,0,0,-0.04,-0.12,-0.15,6.9,11.7,3.6,3.4,2.4,1.5,2.2,6.3,5.5,3.2
JAEGER,STEPHAN,-0.04,0,-0.02,-0.1,-0.16,6.8,11.6,3.5,3.1,2.1,1.4,2.1,6.2,5.7,3.3
