course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Plantation Course at Kapalua",73,7371,453,190,-2.45,0.05,-0.05,-0.52,294.8,20.5,0.7021,-0.004,0.009,0.02,0.086,48.8,0.37,0.15,0.43,0.0641,0.767,0.001,0.033,0.002,0.024,0.008,0.001,-0.005,-0.012,0.39,0.08
"Quail Hollow Club",71,7427,475,194,0.86,0.15,0.12,-0.33,297.7,19.4,0.5477,-0.009,0.002,-0.018,0.027,31.7,0.33,0.21,0.35,0.0428,0.5951,-0.038,-0.013,-0.006,0.012,0.008,0,-0.016,-0.021,0.51,0.04
"Quail Hollow Club (PGA Championship)",71,7526,479,209,2.31,0.23,0.2,-0.28,296.9,18.7,0.5871,-0.019,-0.038,-0.029,0.034,31.2,0.41,0.34,0.38,0.0447,0.5399,-0.067,-0.018,-0.019,-0.096,0,-0.005,-0.036,-0.027,0.43,0.03
"RTJ Trail (Grand National)",71,7095,453,190,-2.13,0.01,-0.06,-0.51,282.9,17,0.6688,-0.006,0.03,0.058,0.037,37.5,0.36,0.34,0.45,0.0136,0.7379,0.093,0.041,-0.029,0.064,0.091,0.001,-0.008,-0.017,0.19,0.03
"Ridgewood CC",71,7290,467,190,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.008,-0.023,0.026,-0.03,32.6,0.33,0.31,0.41,0.0104,0.6491,0.003,0.035,0,-0.059,-0.008,0.004,0.017,0.006,0.11,0.03
"Robert Trent Jones GC",71,7265,465,187,-0.82,0.01,0,-0.29,285.6,17.6,0.6464,-0.004,-0.026,0.046,0.033,29.9,0.31,0.26,0.4,0.0439,0.714,0.036,0.051,-0.021,-0.015,-0.037,0.005,-0.011,-0.012,0.39,0.01
"Royal Liverpool",71,7273,467,182,1.87,0.12,0.18,-0.21,275.7,22.1,0.522,0.014,-0.037,-0.037,-0.111,30,0.42,0.25,0.67,0.0373,0.5724,-0.078,-0.022,0,-0.029,-0.182,0.001,0.025,0.028,0.31,0.19
"Royal Montreal GC (Blue)",70,7050,453,178,-0.32,-0.01,0.04,-0.37,280.5,17.2,0.6313,0.005,0.054,0.005,-0.005,34.1,0.31,0.24,0.4,0.0408,0.6167,0.011,0.002,0.019,0.056,0.087,-0.002,0.013,0.01,0.22,0
"Royal Portrush Golf Club",71,7321,467,193,0.72,0.11,0.11,-0.32,293.5,20.9,0.5246,0.007,-0.055,-0.035,-0.029,27,0.42,0.24,0.55,0.0298,0.6343,-0.043,-0.032,-0.063,-0.066,-0.173,0,0.019,0.01,0.2,0.11
"Royal Troon",71,7323,468,193,3.01,0.22,0.19,0.01,276.8,23.7,0.5496,0.001,0.003,-0.058,-0.115,33,0.48,0.2,0.49,0.0638,0.5285,-0.061,-0.056,0.036,0.017,-0.149,-0.007,-0.006,0.019,0.41,0.19
"Sea Island Golf Club (Seaside Course)",70,6883,436,195,-1.22,0,-0.03,-0.43,281.7,15.9,0.6986,0.005,0.024,0.027,-0.006,42.3,0.39,0.16,0.39,0.1014,0.7446,0.016,0.034,0.014,0.05,0.049,0.003,0.012,0.004,0.45,0.06
"Sedgefield Country Club",70,6958,442,192,-1.15,-0.02,0,-0.56,286.1,18.4,0.6201,-0.009,-0.038,0.068,0.02,29.5,0.42,0.33,0.67,0.0476,0.7348,0.057,0.075,-0.037,-0.072,0.025,0.002,-0.016,-0.021,0.28,0.13
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.5289,0.006,-0.077,0.007,0.006,30.8,0.51,0.44,0.52,0.0411,0.63,0.002,0.01,-0.051,-0.091,-0.098,0.011,0.016,-0.015,0.52,0.14
